Trial02
Date:,2023/10/25
Time:,15:49:06
Type:,Francesco
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-617.894348,567.230103,1470.994507,-565.202454,442.026001,1156.580200,-407.895142,451.151093,1425.734375,49.900528,1198.442017,1426.725342,-31.179674,1009.841797,1175.188843,64.627831,854.248596,1425.141724,884.099854,433.715881,1366.262939,756.974792,503.675995,1058.635742,700.315002,435.932312,1326.972290,708.224548,-561.950134,1319.531616,710.346741,-433.489380,1013.345642,599.247620,-362.991364,1267.869263,-395.970856,-310.768219,1318.391235,-398.771820,-379.555847,991.112488,-310.981781,-201.583725,1148.516357
2,-618.412964,567.172302,1470.691650,-565.838989,441.935425,1156.433716,-409.162964,451.069580,1425.823120,50.224762,1198.161743,1426.973511,-30.736303,1007.916077,1175.830566,64.116280,846.947815,1424.097168,885.507446,433.807526,1366.692383,758.416138,504.149292,1059.475342,701.362793,435.659210,1327.356323,708.711426,-562.079163,1318.949219,709.997314,-433.943573,1012.686584,599.574097,-363.202911,1267.394897,-396.828217,-311.244995,1318.762329,-398.635040,-378.991364,991.346375,-311.789337,-201.638306,1149.716064
3,-618.872070,567.116882,1470.354248,-566.346680,441.779663,1156.204346,-410.501862,450.832367,1425.686890,50.473919,1197.889771,1427.137573,-29.903650,1005.697083,1177.284302,63.570107,839.917908,1422.964233,887.092773,433.998413,1367.024536,759.370911,504.419647,1060.207886,702.527283,435.038330,1327.976318,709.021851,-562.342834,1318.441162,709.468628,-434.519073,1012.123047,600.072449,-363.527893,1266.826660,-397.926758,-312.142731,1319.540039,-398.396149,-378.607605,991.706177,-312.190063,-201.583344,1151.067627
4,-619.263000,567.040222,1470.137695,-566.680176,441.648071,1155.962402,-411.607666,450.729614,1425.684570,50.771008,1197.724365,1427.353394,-29.550667,1003.749756,1178.519897,63.009697,832.847839,1421.875854,888.779053,434.328064,1367.453979,759.815308,505.141846,1061.081177,703.679993,434.527435,1328.589722,709.342834,-562.502441,1317.943359,709.142456,-435.523499,1011.613586,600.676392,-363.462402,1266.351807,-398.638672,-313.086700,1320.214355,-397.994781,-378.064392,992.100403,-313.148041,-201.827454,1152.711060
5,-619.618652,566.970398,1469.858276,-566.838013,441.511749,1155.822144,-412.363953,450.549530,1425.676392,51.000336,1197.348877,1427.540405,-28.602924,1002.171936,1179.789551,62.548504,825.841309,1420.152466,890.494263,434.451752,1367.770264,759.934570,505.864594,1062.163330,704.717529,434.045929,1329.333618,709.536316,-562.531433,1317.531494,709.055420,-436.384888,1011.063293,601.207214,-363.419647,1266.042847,-399.961700,-313.983826,1320.980347,-397.640198,-377.335938,992.446228,-313.821167,-201.813583,1154.517700
6,-619.927063,566.876404,1469.715088,-566.974243,441.354370,1155.798828,-413.115143,450.420166,1425.806641,51.481071,1197.134277,1428.026367,-28.131090,1000.427673,1181.019409,62.257935,819.000244,1418.430054,892.190430,434.718719,1367.961060,759.667725,506.255096,1063.122070,705.828857,433.574463,1330.157104,709.414429,-562.319458,1316.986938,708.584656,-437.173737,1010.335632,601.625610,-363.689423,1265.285522,-401.092987,-315.053925,1321.822998,-397.182556,-376.804626,993.130005,-314.541718,-201.758652,1156.112549
7,-620.238220,566.871704,1469.614624,-566.997620,441.219696,1155.829590,-413.685760,450.202728,1425.911377,51.778133,1196.710571,1428.285156,-27.380192,999.439026,1182.447388,61.507938,813.900940,1417.438721,893.853088,435.090759,1368.124756,759.277588,506.726990,1064.092896,706.818787,433.199860,1331.116943,709.306152,-562.312256,1316.850098,708.368286,-438.507446,1009.698486,601.165771,-363.393890,1264.044067,-402.651642,-316.187653,1322.943481,-396.869293,-376.468689,993.901611,-315.348877,-201.977524,1158.200928
8,-620.565918,566.842834,1469.576660,-566.929993,441.052338,1155.977051,-413.968353,449.957428,1425.985474,52.163212,1196.466919,1428.791626,-26.686359,998.007507,1182.910767,61.091385,809.390564,1416.193604,895.341431,435.414612,1368.192993,758.571472,506.982574,1065.071533,707.768372,432.655182,1331.973877,709.246460,-562.379456,1317.062866,708.285400,-439.164581,1009.094116,602.078552,-363.881165,1264.164795,-404.003540,-317.345123,1323.866699,-396.447113,-376.101440,994.777405,-316.136444,-202.042740,1160.120850
9,-620.746765,566.837830,1469.557983,-566.776611,440.795410,1156.301514,-413.903015,449.730286,1426.072754,52.443329,1195.432251,1428.762329,-26.290676,996.893311,1183.381470,60.623135,805.555847,1414.731079,896.591919,435.665771,1368.139893,757.937561,507.271057,1066.024536,708.513672,432.296143,1332.769653,709.019470,-562.356812,1317.071411,708.103149,-440.560364,1008.600342,601.856018,-363.809448,1263.394775,-405.610291,-318.513306,1324.937744,-396.206268,-375.580719,995.682190,-317.276245,-202.509918,1162.294067
10,-620.886475,566.840759,1469.585449,-566.625977,440.525909,1156.783447,-413.625092,449.494659,1426.194458,52.813068,1194.915039,1429.423706,-26.063381,995.955872,1183.921631,60.432499,802.257813,1413.599854,897.958923,435.884186,1368.204712,757.301025,507.504822,1066.916748,709.202026,431.855957,1333.600952,708.729614,-562.272644,1317.119995,707.761902,-441.482330,1008.156738,601.675903,-363.887451,1262.633911,-407.360199,-320.089630,1326.296631,-395.689606,-375.153015,996.588928,-318.057892,-202.765564,1164.787964
