BLOC303
Date:,2023/12/07
Time:,15:41:20
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-856.065552,1025.540405,1428.713135,-706.535950,794.757019,1265.018921,-484.664001,743.643860,1518.277222,169.909073,1235.083008,1231.838013,41.064522,1103.335327,1063.724731,133.120239,981.815674,1300.461304,1067.695557,484.082886,1297.791504,871.020752,562.583679,1097.963013,683.581787,411.868103,1387.755493,812.804260,-711.348206,1304.829834,804.175049,-540.175171,1092.796265,659.111938,-496.012970,1377.890015,-710.351440,-373.580322,1333.347046,-486.685455,-289.623505,1133.749634,-532.324402,-122.851097,1416.451172
2,-855.740479,1025.616211,1428.894775,-704.940552,793.834839,1267.277466,-480.341797,739.095825,1517.529175,170.403046,1234.479858,1232.748657,40.366589,1099.016724,1068.272217,131.665649,973.302734,1302.856689,1067.945313,483.557404,1298.175659,867.065552,560.904541,1102.508545,671.466309,411.661926,1388.491333,812.130188,-711.492920,1305.378418,801.369812,-535.538574,1096.575439,653.451843,-485.643677,1379.231445,-710.015991,-373.067139,1333.504395,-484.115265,-287.512421,1136.787720,-525.644287,-117.211967,1418.152710
3,-855.403320,1025.618042,1429.054688,-703.283691,793.030151,1269.496704,-476.225464,734.218445,1516.980835,171.048065,1233.729736,1233.757568,40.065834,1094.318481,1072.729858,130.334198,964.473083,1305.405029,1067.991333,483.097687,1298.569214,862.896545,559.200256,1107.133301,659.199097,411.829834,1389.018799,811.379211,-711.440735,1306.045166,799.352234,-531.119629,1101.319336,647.788513,-475.205109,1380.670288,-709.842773,-372.730255,1333.724976,-481.576385,-284.993683,1139.819702,-519.374329,-111.749992,1419.684082
4,-855.108337,1025.621704,1429.238403,-701.847290,792.179932,1271.795776,-472.243591,729.498413,1516.404907,171.570587,1233.068359,1234.796997,39.569473,1089.687256,1077.721680,129.063385,955.626343,1307.901978,1067.833496,482.453583,1298.888794,858.598877,557.481934,1111.610474,647.067688,412.318237,1389.447632,810.615540,-711.616577,1306.765015,797.491150,-527.104248,1106.302979,642.329956,-464.105804,1382.040771,-709.677246,-372.264252,1333.986938,-479.249054,-282.783295,1143.396240,-512.854370,-106.013023,1421.437134
5,-854.746887,1025.675781,1429.351685,-700.285461,791.342041,1273.891724,-468.333435,725.123169,1515.620605,172.171951,1232.358643,1235.968994,39.173683,1085.034058,1082.975708,127.630371,946.604492,1310.411499,1067.762573,481.867981,1299.314087,854.558105,555.579956,1116.143188,634.262939,412.628265,1389.365356,809.677917,-711.669983,1307.489990,794.932983,-522.586792,1110.515625,636.908447,-452.790985,1383.392944,-709.402039,-371.862762,1334.192017,-476.843597,-280.271942,1147.030029,-506.162720,-100.419182,1422.991089
6,-854.443054,1025.730957,1429.455322,-698.931824,790.714355,1275.881836,-464.618805,721.200989,1514.853638,172.867615,1231.654297,1236.902344,38.836937,1080.234253,1088.216553,125.989693,937.470886,1313.032227,1067.715576,481.225128,1299.715088,850.730103,553.779480,1120.769165,622.038879,413.133209,1389.233154,808.831299,-711.770691,1308.110962,792.201721,-517.931885,1114.829834,631.547302,-441.299957,1384.640137,-709.142212,-371.475586,1334.417969,-474.312897,-277.762177,1150.840820,-499.361267,-94.390793,1424.537842
7,-854.201111,1025.730713,1429.602661,-697.747253,789.687622,1278.082764,-460.949738,717.312927,1513.999146,173.636154,1230.921509,1237.986694,38.772606,1075.285645,1093.647217,124.142128,927.822021,1315.546509,1067.671509,480.651978,1300.136841,846.838440,552.026123,1125.246338,610.189575,413.073944,1388.989990,807.884888,-711.964905,1308.708984,789.461548,-513.460632,1119.460693,626.196106,-429.855927,1385.454590,-708.934998,-370.931458,1334.585449,-472.048431,-275.072083,1154.462524,-492.470306,-88.402809,1425.966064
8,-853.898315,1025.746460,1429.789429,-696.556885,788.862854,1279.937134,-457.398804,713.488159,1513.113281,174.447174,1230.173706,1239.210449,38.964104,1070.389282,1099.428467,122.113144,917.834229,1318.244873,1067.341309,480.131531,1300.568359,842.599609,550.031433,1129.722656,599.255676,412.983948,1389.122437,807.111023,-712.286316,1309.421509,786.531921,-508.961151,1124.072266,620.714661,-418.685181,1386.697021,-708.683289,-370.314362,1334.974854,-469.801147,-272.534302,1158.442627,-485.592102,-82.327232,1427.118042
9,-853.650391,1025.823975,1429.929443,-694.927307,788.615723,1281.677124,-454.140167,709.498047,1512.080933,175.313049,1229.428955,1240.291382,39.202103,1065.415649,1105.091919,119.917465,907.657532,1320.874878,1067.110596,479.614136,1301.063599,838.776001,548.347961,1134.548950,588.822449,412.515533,1389.296997,806.280273,-712.650024,1310.005005,783.601929,-504.646881,1128.706421,615.006165,-407.589661,1387.395874,-708.557495,-369.886597,1335.136963,-467.438019,-269.814819,1162.366089,-478.736511,-76.118004,1428.439087
10,-853.437317,1025.951904,1430.083496,-693.894043,787.692444,1283.714111,-451.001984,705.266479,1510.935059,176.307648,1228.578857,1241.362427,39.266716,1060.497192,1111.419434,117.430107,897.314209,1323.681396,1067.008301,479.098419,1301.583740,834.989197,546.745117,1139.403564,578.576477,411.947388,1389.381714,805.679871,-712.850098,1310.696289,780.595032,-500.434357,1133.490967,609.279785,-396.795746,1388.171387,-708.392090,-369.509308,1335.334229,-465.264740,-267.310699,1166.148438,-471.837494,-69.761795,1429.317261
