PathFileType,4,(X/Y/Z),/home/skhan/TracX/Projects/SHARESPACE/EXERCISES/pose-3d/online_20250326-115011_185-225.trc
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames
30,30,1200,37,m,30,0,1200
Frame#,Time,Hip,,,RHip,,,RKnee,,,RAnkle,,,RBigToe,,,RSmallToe,,,RHeel,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,Spine_01,,,Spine_02,,,Spine_03,,,Spine_04,,,Spine_05,,,LLatissimus,,,RLatissimus,,,RClavicle,,,RShoulder,,,RElbow,,,RWrist,,,LClavicle,,,LShoulder,,,LElbow,,,LWrist,,,Neck,,,Neck_02,,,Neck_03,,,Head,,,Nose,,,LEye,,,LEar,,,REye,,,REar,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37
0,0.0,0.21352834593548148,-0.5696338731529613,0.5489453874429658,0.08060829930172791,-0.5286088804019146,0.503780099226214,0.0699326421434238,-0.18736528982674006,0.30789404152868594,0.1013731868084093,-0.30982237343419144,-0.1855935950203454,0.07374466466403203,-0.1673007243745614,-0.333115868089171,0.011299358023970836,-0.19156100919226435,-0.30994830562332665,0.12450063313203873,-0.38419736026554574,-0.24079422766310368,0.34149591604895085,-0.5445533032556725,0.4611109628538814,0.41216358426116373,-0.2330984399493802,0.24366885042515052,0.2744925380214966,-0.3365673553754433,-0.21519712249376,0.31893626483986137,-0.17156684894194407,-0.3502742486233075,0.37174432438114835,-0.23647710287454407,-0.3540361514804718,0.2350279656045995,-0.38453552887549597,-0.26683957710183126,0.21415350044909373,-0.5770639409777967,0.5977089629602333,0.21724206510599237,-0.5874906952326057,0.6742799983767191,0.22109284775345092,-0.6023616748859978,0.7691809357478071,0.22596001563907972,-0.6165745003825669,0.8776474696875661,0.23157597406658859,-0.6235375384357343,0.9890268876984637,0.35269276558831664,-0.6144914375302328,0.7549291883691981,0.08663302614814855,-0.5951087097502091,0.7965912880168111,0.20974855645798934,-0.6297545541256925,0.9546845397691622,0.039956924342818355,-0.6152123803955066,0.9833204755338475,-0.06547647572430906,-0.535466784899903,0.7247679951164724,0.035389602788164776,-0.320220865917414,0.5343671955297213,0.2505235059340677,-0.6324247934744326,0.9498821515949196,0.42394554453495037,-0.6392883172364262,0.9189664483291885,0.5133193103539603,-0.584021574070873,0.6322129254280028,0.4415389715131754,-0.36213256197689764,0.4846782906295426,0.23546492400482752,-0.6152144196380855,1.0799521000028045,0.23668521384010668,-0.6131445105419591,1.126198285838488,0.23797532295605414,-0.6105906503647729,1.1915144978360463,0.23936672893682578,-0.6069694390585393,1.2942721043405006,0.23686821907138822,-0.5289073204584472,1.1602564644156108,0.2743407511152386,-0.5538022145976794,1.1896226655816302,0.3346873700428275,-0.6138259419369456,1.1566344409126195,0.2003911465855174,-0.5478571076643646,1.201009233555393,0.1428525437304119,-0.5983217359169084,1.1812932978667328
1,0.03333333333333333,0.21328075268783678,-0.5737413259861245,0.5484193439092908,0.08034861553523123,-0.5290367844147085,0.5025670743250962,0.06958502857353313,-0.18637954526660516,0.30835464039631416,0.10193513242470395,-0.3121025163434523,-0.18616111636511037,0.07366688479400746,-0.1691466305190734,-0.33279526872586085,0.011990402918807376,-0.19369118447816208,-0.30977870035012506,0.12549136709602393,-0.38569781681694304,-0.24073600162369568,0.3411011329619955,-0.5435612995496979,0.461320445488009,0.4118699655353355,-0.23199110673081041,0.2434969002216877,0.2744072145399468,-0.33662311408424417,-0.21507764439710292,0.31894278162479534,-0.17146997077569656,-0.35063094073460477,0.37216018260374306,-0.23551989280365077,-0.3541158325225713,0.234478665214963,-0.3836700407139796,-0.26600593296137603,0.2141617191240157,-0.5805286759067739,0.5973531682000379,0.21724775670271979,-0.5907873385827478,0.6738540023131041,0.22114561799814542,-0.6051218029901634,0.7689044314207876,0.22601087737889153,-0.6186144375557587,0.8776267808989621,0.23156003240096223,-0.624397933669718,0.9890488326300549,0.3528943503724597,-0.6177470279441435,0.7544026686915687,0.08622446980478886,-0.5977371999643754,0.796169064514455,0.20994683590152902,-0.6311010383953561,0.9547899904534979,0.039717892694234695,-0.6157522020106163,0.9835111540245397,-0.06513564398391725,-0.5366757346945683,0.7239475829512183,0.03562506081173968,-0.31982620441594506,0.5344222224070075,0.25070050454316023,-0.6339424696816958,0.9496129589359177,0.4239457583113037,-0.639116872810254,0.9191758763472886,0.5134030458707777,-0.5836324056694719,0.6327714718970919,0.4416831515711935,-0.36164646262579403,0.4855272442314341,0.23522609622511031,-0.6156147678722396,1.0799338248481032,0.2363739331287004,-0.6133749883296331,1.1263268245308027,0.2374773539462693,-0.6107101440539145,1.1915463854089505,0.238493545357608,-0.6070332227049136,1.294436068015021,0.237251970289269,-0.526490261927512,1.1600991417525468,0.2743175469918467,-0.5521814138563471,1.1895453119802386,0.3346206287821437,-0.6138968796728306,1.1565641652560243,0.2007747732048957,-0.5452880989172345,1.200520977218143,0.1427281376427051,-0.5983249845738859,1.1816337583083065
2,0.06666666666666667,0.21243783604395944,-0.5776138255948176,0.5482074011558665,0.0799875708599971,-0.5280154529251888,0.5015477245674445,0.06998171515873211,-0.1856781704787927,0.30812083673657165,0.10188302368028643,-0.31486858021573816,-0.18710337543154706,0.07405871652123394,-0.16962901319991394,-0.3320494328102938,0.013055778930165489,-0.19428500847302713,-0.3091580812357329,0.12483475588030621,-0.38981786873637503,-0.24255883794156968,0.3406346658503045,-0.5417601404813394,0.4617925843984345,0.4119321354107484,-0.2325586358455423,0.24185793877893558,0.27433394810900275,-0.3369141394479633,-0.2157712159401759,0.31862183807073685,-0.17060504961406983,-0.3500909468584741,0.37179562507707137,-0.23488953142796584,-0.35362427018827647,0.23447289889804404,-0.3841109429126891,-0.2668470075204494,0.21355278932801264,-0.5842572342403699,0.5968298795763445,0.21636077947236831,-0.594051893203946,0.6732770616216674,0.2205411187619189,-0.6073741397993775,0.7683198360044812,0.2254222928162526,-0.6201479697863138,0.8773499430415739,0.23093629127516302,-0.6246585184431075,0.9889918926598333,0.3524524957141861,-0.6208115307285801,0.7542614289291307,0.08495190804555097,-0.5983579467657215,0.7955648059447555,0.2095321414397623,-0.6320429902860903,0.9544395479865074,0.03925189042048468,-0.6168056228727204,0.9835571739362343,-0.06570940910487706,-0.5371911534457409,0.7244335954972891,0.03552291946667634,-0.32135493000043347,0.5347581480187166,0.2503187137851581,-0.6348976954059757,0.9493200685722037,0.4233814615365033,-0.6394085696548485,0.9192535511438364,0.5132954001688408,-0.5847536910052054,0.6339820138563829,0.4422523943911538,-0.36263382419377654,0.4864979325176127,0.23474575238185771,-0.6159941043298873,1.0797554445977822,0.2357499404583816,-0.6130550954965839,1.1261891511929492,0.23691817141466062,-0.6098867810753803,1.1914579532402887,0.23803405722958124,-0.6055889508698046,1.2942885349496351,0.23688781207082196,-0.5261358727199553,1.1596345145449223,0.274046584310669,-0.5517569859925291,1.1890597663858424,0.334382271516594,-0.6134296138704841,1.1564229558188526,0.2004026173252556,-0.5449286841641018,1.200117390207171,0.14247399742516453,-0.597390195513414,1.1817660788292765
3,0.1,0.2139726223739386,-0.5778225337747304,0.5487129890094798,0.08043764605356558,-0.5265463742535899,0.50155023939883,0.06992241245904791,-0.18401310688170097,0.30773039548325154,0.10191920741452813,-0.3164342037204794,-0.187607430120275,0.07344656293759479,-0.16968189036173917,-0.33231359074767175,0.013130119411902215,-0.19443156056334568,-0.3090519648313228,0.12446522691902145,-0.39028885608063824,-0.2422076653753832,0.3409134326015236,-0.5404221411891731,0.46216558437309896,0.41252207979539157,-0.2318673924281951,0.24168913702001787,0.27440341571310417,-0.33728866949522296,-0.21631702937152494,0.3184583704244458,-0.17019654950316376,-0.35033148212696436,0.37191381882332303,-0.23367219174711057,-0.3536003047698133,0.23451215392246283,-0.38659432154580553,-0.2676309836028652,0.21513674718100181,-0.5845574419349291,0.5973429605462494,0.21739471331239707,-0.5944770765192535,0.6735652150246161,0.22118574300611804,-0.6080014760847174,0.768380911760247,0.22580757678428579,-0.6201584962326946,0.877388198180209,0.2311125622909766,-0.624739779719514,0.9890855834413257,0.3540256757518102,-0.6218677124343472,0.754007280627687,0.08543906508691483,-0.5981672948560754,0.7953139929760633,0.2097322882319177,-0.6317793731950839,0.9546935357932647,0.03932773224605872,-0.6156875216902165,0.9834568222370736,-0.0654030929180658,-0.5374814136427389,0.7241790791612136,0.03489229163444639,-0.32336887569977935,0.5351241782820171,0.2508415670098223,-0.635507651402211,0.9495345443911902,0.42354084138409653,-0.6389690408127746,0.919477225332771,0.5132804473339408,-0.5843615598032946,0.6345736612408415,0.4422127810288819,-0.36251020042970994,0.48603999668367587,0.23485211502809206,-0.616280488794512,1.0797223436479033,0.23576736168055865,-0.6135722061040162,1.1262704736189844,0.2370753074028788,-0.6102005020636431,1.1917590130607443,0.23843939095327463,-0.6056524260402152,1.2946265259891443,0.2371143717614954,-0.5248978223669496,1.1594748062251903,0.27429141119226297,-0.5503358178326189,1.1888514253019227,0.33452862946905276,-0.6133398479420649,1.1561641719307054,0.20066241939524163,-0.5437107734011688,1.1999647167419294,0.14278682095507744,-0.5975065218561728,1.1821293614372108
4,0.13333333333333333,0.21476120576642027,-0.5791826936350493,0.5496247720568808,0.08089075913286443,-0.5232302262542263,0.5026553106206051,0.06974539487875896,-0.18407577381211693,0.3075308728776675,0.10154377302804679,-0.31643757948963774,-0.1881017972394437,0.07212261679291318,-0.16926385396570554,-0.33191705790990655,0.012724168496347549,-0.19507687905505602,-0.3086614581329905,0.12458450842236887,-0.38953045933181946,-0.24211529270043153,0.34111311288338875,-0.5391590100888135,0.4628709662403454,0.41323439133730816,-0.2322804568810298,0.24088089787233014,0.2740596054686309,-0.33644445962031955,-0.21597026318966006,0.3186780451315367,-0.17065685145456552,-0.3503652095055394,0.3718511781041131,-0.23265981104701794,-0.35318335907348114,0.23421299046561941,-0.3855161002451334,-0.26687427651428386,0.21607343831005874,-0.5860558243752012,0.5978726743996653,0.21811942989133729,-0.5961294733886885,0.6739526169770033,0.22171074996055506,-0.6089141528207417,0.768759557296503,0.22622415390684522,-0.620826885373907,0.8775624869154355,0.23120371909816423,-0.6250204623473476,0.9891171274912219,0.3548526112518009,-0.6220022331850006,0.7543662144125605,0.08530460970892967,-0.5988208147423252,0.7951619895908587,0.21017330501820486,-0.6325408559573383,0.9548299210390723,0.038859545510660704,-0.6155590068015652,0.9834314443697318,-0.06564435950220152,-0.5379784727060437,0.7227647173750229,0.03440696056620796,-0.3244808592525449,0.5349774814202047,0.25120042811542753,-0.6360548508796889,0.9497432294510847,0.42360287503830973,-0.6387371348818082,0.9196714355160936,0.5135805730544163,-0.5850551177944621,0.6348791889436243,0.4427581240128311,-0.3627733543947935,0.48552191460305416,0.2349021457610002,-0.6169200716667202,1.0796019766721643,0.23542914097121304,-0.6138323966614393,1.1262279421174968,0.2365740741100142,-0.6100826411394835,1.1917711609373836,0.2375954353583812,-0.6049137673363564,1.2944123889220263,0.23689317754640962,-0.5230392113557185,1.1594005725829408,0.2740799599357381,-0.5483612355703184,1.1887600842233406,0.33456255048762223,-0.6135393507809433,1.1563815496633905,0.20047699010709213,-0.5416822895728884,1.1995639737405432,0.14265671889183212,-0.5965199187165341,1.1821452566946193
5,0.16666666666666666,0.2146446291785653,-0.5786445407455563,0.5494620962411968,0.0807825810146902,-0.5231439809914811,0.5021272131791465,0.06982773890447347,-0.18355324608397344,0.30728596703316996,0.1017327377465425,-0.31892796063476964,-0.1885054453397158,0.07236950234575226,-0.1695686846519813,-0.33219373413674724,0.01333264639996644,-0.19530358842835627,-0.30865273911771146,0.12390313909303742,-0.3922511023765371,-0.24221088390764145,0.3412135512567811,-0.538692809865551,0.4622844606030049,0.4135559067381769,-0.23180512789563743,0.240301609585003,0.2736872830203607,-0.3360638076068603,-0.2159359646194509,0.31846804036810245,-0.1702049071719167,-0.3495437778370677,0.3715720912312595,-0.23266708324549223,-0.3524990893261139,0.23421023086469828,-0.38603504721865944,-0.2668984881880975,0.21611634627347945,-0.5857217295632503,0.5978197291417062,0.2180355132470075,-0.5961652095361355,0.6737697390761037,0.22155436139668278,-0.6088338508008253,0.7685427050151922,0.22621913965461665,-0.6213069035773674,0.8774275934886594,0.23107759314600163,-0.6255644303162419,0.9889548266277266,0.3552276357875466,-0.6212560447028225,0.7543100659822122,0.0849996798399475,-0.5981790945697161,0.795111813055229,0.21002180774701135,-0.6327011187802153,0.9548074970432538,0.03842687279853348,-0.6172093322110976,0.9834733827208484,-0.06509339998262297,-0.5375162265815298,0.7223622298959737,0.03534654999761421,-0.32304149249703157,0.5352519242517022,0.25132586985718447,-0.6372014394378239,0.949305714037643,0.4232826738394523,-0.6383466019064554,0.9196700398843642,0.5139557355861724,-0.5841616768885385,0.6348746323226695,0.4425874729437173,-0.3630363870541917,0.4852564213117179,0.23469672387519372,-0.6175885467554264,1.0793867904759833,0.23514901712702657,-0.6148217720266103,1.1260173060400012,0.23593092318284778,-0.6115680906841902,1.1916404295228618,0.23662885226931651,-0.6067955675953001,1.294424575278329,0.23766686904211728,-0.5227774992606411,1.1591622167946884,0.2749024048735977,-0.5479704024771076,1.188499972036617,0.33453091236163635,-0.6141056999110216,1.155801123851421,0.2008667039885308,-0.5408106043552874,1.1991077497137763,0.14303087776903786,-0.5966292847338281,1.1820100931755468
6,0.2,0.2154648911012339,-0.5779443530424475,0.5503994363948186,0.08083874073874062,-0.521203011778451,0.5023501251385186,0.06924577058226296,-0.18437352794677772,0.3059308644399515,0.10194818762121978,-0.31758342799516437,-0.18909484188036155,0.07203305802801196,-0.17107235096477655,-0.3330559946634582,0.012966140550569024,-0.19566377998632184,-0.30881022554639004,0.12424196990010673,-0.3893183334777528,-0.2425003464243473,0.34082353809738886,-0.5375644532029094,0.4627632899496258,0.4130957420307969,-0.23142160577688975,0.24073651804890933,0.2735278021231398,-0.33739372708616855,-0.21630247350679727,0.3189967003720889,-0.17007065149877743,-0.34925558296669995,0.37197289365076125,-0.23295394715581702,-0.3519826747098009,0.2340041124436067,-0.3870679174358328,-0.26695584772914577,0.21686122314087097,-0.5852888128989351,0.5987819971455812,0.2187010266132456,-0.5953365473496142,0.6745327887246763,0.22213984142801235,-0.6083891733619518,0.7689507775080682,0.22654310274395628,-0.6212874641500397,0.8774694271088718,0.23134915480260188,-0.62552551381085,0.9888462530778355,0.356103220935902,-0.6197200959053317,0.7548783559277678,0.08509066707988967,-0.5988482838306902,0.7955402227009937,0.21062723036785955,-0.631658132955835,0.9548371518803043,0.03853900838935914,-0.6177510658130507,0.9828479899445084,-0.06538177905902941,-0.5383980300175333,0.7222243071698822,0.03538357261300312,-0.32167090926100855,0.5355088550707349,0.2513566929040309,-0.6367941467809644,0.9487713896895313,0.422857255680802,-0.6383008763129644,0.9201582403709205,0.5136496798125711,-0.5831359014524967,0.6351999778995445,0.44215320060801233,-0.3623181939005196,0.4852150950372789,0.234985689448751,-0.617465854930079,1.0791567299072389,0.23554979085752697,-0.6145206061562318,1.1257344050466613,0.23633437583978603,-0.6111691350965609,1.1912945725988437,0.2369883544348255,-0.6061676294382135,1.2940371316598525,0.2374379427089857,-0.5228208138755496,1.1591094047103436,0.2746993485782332,-0.5479679238703683,1.1884125845077693,0.334735559362274,-0.6143006641946936,1.1556308341118215,0.20071502688942422,-0.5409812899834708,1.1991702929910428,0.14325739951243066,-0.596966686039996,1.1812050647897068
7,0.23333333333333334,0.2145949763424688,-0.5801120789590082,0.5505509316369244,0.08084678993049571,-0.5214265222610963,0.5023083783477502,0.06880061115088981,-0.18499078116611267,0.3052330348981269,0.10210521852766649,-0.3182206863060394,-0.18895215491444148,0.07196256757393797,-0.17026420458691588,-0.33238921232992114,0.013095631499285445,-0.19501031782353617,-0.3080287084686034,0.12413216084337035,-0.3894746039209508,-0.24188614220718152,0.3405983005313412,-0.5366221202252517,0.46357279185874856,0.41278815071311215,-0.23105406772673764,0.23978354616418535,0.27272066842950277,-0.3381555263915608,-0.21573540230762317,0.319353056534657,-0.1703914980451892,-0.3488644584570792,0.3718391911732737,-0.23271149170777444,-0.3510370301708021,0.2331432785984543,-0.3875751770401654,-0.2661335405373922,0.21610167906835992,-0.5867041579290464,0.5989010846479156,0.21811487416852923,-0.5965135180606874,0.6745775922641704,0.22159524005100237,-0.6090764417790091,0.7689676140784848,0.22633689934742307,-0.6217070159410659,0.8775021784621251,0.2309499740382016,-0.6255617784620455,0.9886972012752269,0.35575983407807565,-0.6208940341502365,0.7550092499091661,0.0842733805854537,-0.6011793936692525,0.7952143268722437,0.210382072087408,-0.6323253031837008,0.9546757919189608,0.03789930544187321,-0.6181554883499262,0.9829494459655815,-0.06564068577121875,-0.5391099391460674,0.7214943938238612,0.03533043151205448,-0.3207114609179416,0.5350886623455958,0.25111802063756417,-0.6370384620897462,0.9488326938769036,0.4226270824592664,-0.6382422946918171,0.9199363414738897,0.5135645547683926,-0.5839385310049585,0.6353628294326378,0.442356246775878,-0.36228926218065144,0.4854418860148298,0.23463925487925344,-0.6177968990159003,1.0789853243974326,0.23501884033287665,-0.614508126269248,1.1257122276397635,0.23560135860676315,-0.6114562440556278,1.1911980940979126,0.2362283939588337,-0.6063383799654429,1.294112395104326,0.2377677911107036,-0.5219462729300521,1.1591221217573233,0.27464698656834186,-0.5478744307217019,1.1884808666612536,0.334646140126403,-0.615069291143448,1.1553231276354599,0.20069403184608048,-0.5410371509856851,1.1993578804111134,0.14358342139686342,-0.5971099031101944,1.181362495873173
8,0.26666666666666666,0.2148692821095262,-0.5809973028080335,0.5511515232130066,0.0806043639310319,-0.5235339315150755,0.5025009204727017,0.06972830365516192,-0.18491002856716615,0.30510110975903687,0.10213573803255198,-0.31877921229890105,-0.18983993551915843,0.07127133827418733,-0.16937429778332666,-0.33102767127410015,0.013425094418046528,-0.19450572354671647,-0.30703465530570556,0.1239182986059388,-0.3895492593958477,-0.24245995230535652,0.34059478675923105,-0.5380540777736806,0.46397653319823484,0.4131690187091763,-0.23206840096686598,0.23927836175629646,0.27196623957102084,-0.33846154166069187,-0.21529790276955946,0.32003296864942155,-0.17121530396238047,-0.34924589826111746,0.37208708450019196,-0.232965164826728,-0.3509026244359051,0.23233055176487435,-0.38772174639100476,-0.2654925312889837,0.21639663473511023,-0.5871464305254143,0.5994044502373734,0.2184023480222817,-0.5971200563602685,0.6749610445196651,0.22162068921820888,-0.6100147783272891,0.7692774377365819,0.22614108638172747,-0.6220513189470733,0.8779126584365594,0.23073760383231495,-0.6259536553092334,0.9889237285343682,0.35604661495838485,-0.6212825453883322,0.7554469792872867,0.08437564651914652,-0.6013469527476349,0.7956853001961856,0.20995352976438525,-0.6328291728952983,0.9548826515634126,0.03843387982404758,-0.6180359906198327,0.9831587553298831,-0.06540061138955719,-0.5390037968959446,0.7219650787012417,0.03534624567240761,-0.31983487142650185,0.5350484193158428,0.2510496025744221,-0.6379190066279025,0.9487787793934308,0.42257609595016243,-0.6382956870096028,0.9200476614262662,0.5132321522601434,-0.583754865674673,0.636054986622857,0.44234812972884363,-0.3617533333160838,0.4854452349927766,0.23442225371301487,-0.6181267212071158,1.078908236139875,0.23493051107080146,-0.6147078106545445,1.1255320855645512,0.23555519360865237,-0.6114510635782868,1.1909028248413698,0.23614677882101587,-0.6060245875873977,1.2936404077891783,0.23712500290573688,-0.5208860852819489,1.159197413405326,0.27407869884908986,-0.5465596878108894,1.1885136485842236,0.33434900477041185,-0.6152241963440844,1.1549985909400424,0.20013685489812222,-0.5401855738893696,1.199127535050632,0.14366765024401193,-0.5970972520271559,1.1814241004621697
