PathFileType,4,(X/Y/Z),/media/skhan/a3834ba8-63e8-4c94-a591-37426067a347/TracX/Projects/20250523/20250523_SH12_Ex03/output/20250523/20250523_SH12_Ex03_motion_20250603_172924.csv
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames
30,30,1101,37,m,30,0,1101
Frame#,Time,Hip,,,Spine_01,,,Spine_02,,,Spine_03,,,Spine_04,,,Spine_05,,,Neck,,,Neck_02,,,Neck_03,,,Head,,,Nose,,,LEye,,,LEar,,,REye,,,REar,,,RLatissimus,,,LLatissimus,,,RClavicle,,,RShoulder,,,RElbow,,,RWrist,,,LClavicle,,,LShoulder,,,LElbow,,,LWrist,,,RHip,,,RKnee,,,RAnkle,,,RBigToe,,,RSmallToe,,,RHeel,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37
0,0.0,0.1779986810573961,0.23824628212626114,0.06918054967499442,0.1779986810573961,0.23824628212626114,0.06918054967499442,0.1700256771961679,0.19292196123205402,0.07720969896287279,0.15348113458239557,0.1371212602640395,0.09472311723814703,0.153973321702688,-0.0033410050277211945,0.10628384012706607,0.12455793024490966,-0.1222960830831386,0.11728405559913947,0.1128752413236053,-0.20176527626591173,0.12902979494509687,0.10953070273523237,-0.2559706560392466,0.12368088680680046,0.11374770408926502,-0.29699918871894104,0.12197312239900432,0.13277784902595008,-0.4637065048003727,0.10750984816543872,0.06433944215233,-0.4064611933736526,0.239967990032886,0.0762457935976112,-0.41741732222502664,0.20377185703757905,0.0729308719577791,-0.40584203629697335,0.18063711413823375,0.037706071902264646,-0.43192617521960525,0.2251738150878621,0.07491233879316476,-0.4081781270868772,0.18088396005664686,0.2306844012944081,-0.16305583110241476,0.11590030205912936,0.05546223329322973,-0.12478866481049614,0.028298710902807517,0.13322389036987373,-0.21805991550658566,0.061862672017237524,0.2895680685010485,-0.3001171822913308,0.10282027374301801,0.3359448954392573,-0.04064997289627875,0.15882997033233473,0.17896607056846386,-0.16467577018874668,0.286938312374204,0.13768332375163558,-0.22375377322101414,0.07038245295150498,-0.04141600421060693,-0.25211044711102887,0.08098191936473462,0.007981942368672529,-0.004198067185296667,0.1743115700307997,0.10304503770846271,-0.17646431751655245,0.30744249826985026,0.1779986810573961,0.23824628212626114,0.06918054967499442,0.23839372612199775,0.4798742674783374,0.34480029869284307,0.29448976158366874,0.7753722989387876,0.09917181586730958,0.348889992659992,0.96624639472354,0.017557531459115986,0.3570530886902649,1.0203066091566748,0.0,0.289782042545206,0.8172124791234545,0.030763507713206035,0.1779986810573961,0.23824628212626114,0.06918054967499442,0.08503975633134897,0.485083849642565,0.3307675225898006,-0.004326703060773471,0.7884023390155802,0.10535515978136933,0.017853457733775075,0.993120576573478,0.04492602210274743,0.007089520343391942,1.036950070897244,0.009422178487264062,-0.016629063225926922,0.8208664571482153,0.03291764954548081
1,0.03333333333333333,0.1782714107686014,0.23539280624187792,0.07315667870438207,0.1782714107686014,0.23539280624187792,0.07315667870438207,0.17018325648400284,0.19007590336539074,0.08110412522799791,0.15362276536149033,0.13425522902582457,0.0985369548300455,0.15404178864105122,-0.006229445392538098,0.1098045011448121,0.12455837354746829,-0.12520707536067352,0.12031043772662724,0.11309846278019126,-0.20476017639472197,0.13166077719220348,0.10989382098368429,-0.2589423340661129,0.12603872949913952,0.11432573395416823,-0.2999298076454861,0.12407405850114783,0.13327615953205593,-0.466605558795391,0.10918032548375825,0.06471075766205667,-0.4084242981649194,0.2411446654296221,0.07653819440589113,-0.4191604221824425,0.20486085998241438,0.07333890212193007,-0.40769946198598983,0.18182084396747103,0.03826412601047807,-0.43364730834094795,0.225698324151696,0.07537265210994458,-0.40988851699025874,0.18207280278767848,0.23092467045418158,-0.16523769158487653,0.11824105672134168,0.0559444537280667,-0.1272790749116273,0.0309514673529174,0.1332562345270897,-0.2207220196477844,0.06447520005440725,0.29020171151668595,-0.30210052223691514,0.10433210381274521,0.3369254676188095,-0.042509331395647,0.1594311544703937,0.17989628695982912,-0.1656821979382982,0.2882747180567309,0.13771145035016083,-0.22647093272144425,0.07300861971914988,-0.041465065195540995,-0.25450030704541393,0.08304800835623578,0.006936915470434102,-0.005878797482170655,0.1749152143292648,0.10180305056467558,-0.17786381730586465,0.3085423970899631,0.1782714107686014,0.23539280624187792,0.07315667870438207,0.2391460497639336,0.47751081595250455,0.3482288091178796,0.29535708232609176,0.7728123810566656,0.1023902932057175,0.3498990900233998,0.9635923996680826,0.02065225099065182,0.3582958623004524,1.0175622577210606,0.00293965421328107,0.2909307366178691,0.8146182836689724,0.03394478331209423,0.1782714107686014,0.23539280624187792,0.07315667870438207,0.08539564559854249,0.482760422260471,0.33426423648988296,-0.0037527011576595185,0.7859334566976833,0.10856890378897537,0.01837516933409262,0.9905612879797862,0.04781803193650784,0.007724437531598835,1.0343513022232727,0.012232239880631712,-0.015943129967915613,0.8184358668819068,0.036129927604911835
2,0.06666666666666667,0.17845194709267656,0.23279287704759233,0.07704983536917842,0.17845194709267656,0.23279287704759233,0.07704983536917842,0.1702079269023413,0.18748649359207414,0.08486988998563239,0.15363076905270526,0.1316338080744077,0.10217829137048179,0.15396676433321005,-0.008880577875839488,0.11299788277509248,0.12439809461359225,-0.1278806920955453,0.1228018880151194,0.1132691682534499,-0.2075387142002588,0.13360680275426284,0.11025732282008742,-0.2616826799735443,0.1276315132597107,0.11498682839908103,-0.30259983828308634,0.12533823574109612,0.13381629415720372,-0.46923500096705534,0.10992460472985921,0.06518836146094154,-0.4097077234266675,0.2412003074978619,0.0769302031329435,-0.42018349780158276,0.2048222722076075,0.07388177004880865,-0.4088551143582088,0.1818889693135748,0.03902276664296382,-0.4346237737540349,0.22499088986631402,0.07600466782106484,-0.4108792742872334,0.1821569162865157,0.23106399120065768,-0.16681640967016348,0.11979273952897061,0.056428450811076364,-0.12935795866846567,0.03296866378756406,0.13315897007471764,-0.2230508440892885,0.06641973225426102,0.29088263630017497,-0.3034145272911109,0.10483395164981817,0.3380816904715398,-0.043716503367001405,0.15894399626257877,0.1812975428864037,-0.1650923302517046,0.28958148813816414,0.1376101061414887,-0.2288785759684131,0.0749793474743139,-0.04166315958433123,-0.2564233724392022,0.08425351894820725,0.00545607663093237,-0.006927779064451643,0.17417082963299949,0.10003327482106925,-0.17824144590657628,0.3088055086741999,0.17845194709267656,0.23279287704759233,0.07704983536917842,0.23999415753408562,0.4756059404662906,0.35132350831799763,0.2963548207328138,0.7706449414985411,0.10520401490163817,0.35106681335703827,0.9613107251946011,0.02331674053327036,0.35977320970322896,1.015158298763228,0.005414756015930493,0.2923208117833655,0.81241043470941,0.03671771192272978,0.17845194709267656,0.23279287704759233,0.07704983536917842,0.08572470823977513,0.48094625691788423,0.33743740517075055,-0.0031538484880428166,0.7839146596460814,0.11135850055302034,0.018903473388580894,0.9884239777590951,0.05019248780916796,0.008385457492206134,1.0321755336655114,0.014521728948043471,-0.015194136552247944,0.8164685610993248,0.03891842775548027
3,0.1,0.17858518318238623,0.2294473148177489,0.0819375484309204,0.17858518318238623,0.2294473148177489,0.0819375484309204,0.17007956145872405,0.1841661954061274,0.08954897409620684,0.15345817085955551,0.12826953330932472,0.10665760290548487,0.15365321787885192,-0.012285120423701456,0.11675213660162703,0.12393229830586944,-0.1312949944087292,0.12544356642178645,0.1133322861664888,-0.2110940884667232,0.13539823231247966,0.11060400096885831,-0.2651694839909408,0.12890962515176368,0.11576006614271556,-0.30596586220072086,0.12615404363787858,0.1343941687389309,-0.4725410419273154,0.11002529378936449,0.06574809981759253,-0.4109323280416351,0.24021395657403427,0.07737791174782013,-0.421060539956411,0.2037168242005194,0.07455830443850926,-0.4099039944034724,0.1809252879036345,0.040028943563682154,-0.43541999094923384,0.22298168723860717,0.07685613977916711,-0.4117100327471217,0.18123297519455547,0.23098731460877187,-0.16847716561839826,0.12104648872056054,0.05692413852732869,-0.13182375428910703,0.03494500436943727,0.1328089882038006,-0.22592084597345136,0.06824068135937303,0.29167865508837776,-0.3045506108861688,0.10450692330735532,0.3396383223915804,-0.04476509348431973,0.1573923482084173,0.18444565844068914,-0.16149053665984775,0.29271593836379717,0.13727533068782058,-0.23186579979351868,0.07683493890425268,-0.04213168162009623,-0.2586020906117208,0.08493749743262426,0.002998808935857378,-0.007888166892995565,0.1719164577201234,0.09694214479802024,-0.1775432142027221,0.3088333147110599,0.17858518318238623,0.2294473148177489,0.0819375484309204,0.24121282830360485,0.4733938567590393,0.3548647025496273,0.29780401562214964,0.768023341313884,0.1083084128378956,0.3527702271475368,0.9585251301875737,0.026217684569780964,0.3619548670025874,1.012178725082805,0.008045878167055057,0.29439847527108054,0.8097295323566105,0.03977238422181373,0.17858518318238623,0.2294473148177489,0.0819375484309204,0.08612633734596692,0.4789027888658221,0.3411058119661554,-0.0023447648379616346,0.7815420428012094,0.11442191462063585,0.019573457727792672,0.9858748191415132,0.052638355025701494,0.009230106024549546,1.0295872856891797,0.01687136352981986,-0.014160673113781297,0.8141765697864017,0.041983212877208305
4,0.13333333333333333,0.1787103863949967,0.2255688083061575,0.0875319525213213,0.1787103863949967,0.2255688083061575,0.0875319525213213,0.16983522865818812,0.18033482087875613,0.09485577138213928,0.1531478776541277,0.12438220409205443,0.11168974028638706,0.15316858097919606,-0.016216808976657768,0.12076896959658315,0.12325653843983804,-0.1352119328375576,0.12792595783207422,0.11342736262534171,-0.2151681469587517,0.1367345973680461,0.11108046337655313,-0.2691387000074219,0.12959770853642538,0.11678820532260797,-0.30975408397960147,0.1262754021714322,0.13514755884922877,-0.4762556788742194,0.10931258794151288,0.06655845829285259,-0.4119445968385364,0.23801642981492893,0.07805776086919501,-0.4216777559152175,0.20138559007244256,0.07554975933650411,-0.410707834333964,0.17876387888577724,0.0414144985272501,-0.43594015623667065,0.21961329930694817,0.07811842806652008,-0.41226709362819336,0.17914401555813125,0.23072979821214362,-0.17002654527125882,0.12182493886916296,0.05735196620915293,-0.13438961163278867,0.036720116676324854,0.1323415647798168,-0.22908560152083263,0.06965633827508357,0.29259399771954053,-0.3053273400556325,0.10333250582890391,0.3415843098973875,-0.04550935524268337,0.15492666623857573,0.1926054007182823,-0.15024540858322658,0.2993302106887463,0.1367740991890391,-0.23520963064143946,0.07831516240291181,-0.04278701795014718,-0.26078433081127406,0.08487849120071081,-0.00027146702141650665,-0.008637102131794952,0.16804334382498065,0.0923047585853051,-0.1747007383844923,0.30931738481192445,0.1787103863949967,0.2255688083061575,0.0875319525213213,0.24281167985675417,0.4710676002905681,0.35855456425440724,0.2997398278074433,0.7651534917945758,0.1114297995590159,0.35502601985798377,0.9554580722763257,0.029107949561324602,0.36484174353666676,1.0088513201349023,0.01061360693996872,0.2971954213820824,0.8067884154447926,0.04285004614608442,0.1787103863949967,0.2255688083061575,0.0875319525213213,0.08666448796572182,0.4768545859689109,0.34494639361061347,-0.0012876852054204417,0.7790444835597214,0.11745563150006436,0.020420791198434853,0.9831523807735599,0.054891950040596466,0.010271747668974986,1.0268366118249792,0.019037727680492268,-0.01282399959706774,0.8117792038099954,0.0450201643365025
5,0.16666666666666666,0.17913087111994316,0.22157402943245585,0.09348218812593104,0.17913087111994316,0.22157402943245585,0.09348218812593104,0.1698006905518903,0.1764081090648248,0.10043267431435823,0.15302515937872002,0.12039142990253893,0.11692458065562916,0.15287862240649436,-0.020247987443418592,0.124700335776233,0.12287498023205895,-0.13921609852400688,0.12986820999463494,0.11414011038685355,-0.2193158970701502,0.13725344047935029,0.11235601062765416,-0.27312869487403324,0.1293334238210014,0.11890272683021777,-0.3134260766394894,0.12531075022436747,0.13676687552130315,-0.4798713110662368,0.10752150526162618,0.06823161866587171,-0.4125642554273428,0.23442669723615767,0.07952667147649188,-0.42191576950919646,0.1976431439183634,0.0774318970106941,-0.4111116473899088,0.17521724472512243,0.04364695735535151,-0.43609506356595923,0.2148905945636069,0.08034703536921231,-0.412422071897895,0.17569806191391227,0.2307430092568925,-0.17118682979347746,0.12191111051675309,0.05829051194329775,-0.13654515022088998,0.03792328337182166,0.1323074302195814,-0.23213456410723837,0.07033509028403029,0.2940472298218271,-0.3055493021356785,0.10123153884526753,0.3441779292321742,-0.04575450578818233,0.15168202697405292,0.21292654656646928,-0.12481813541097773,0.3046325702656793,0.13661467891408138,-0.23851678190674233,0.07910266745368592,-0.0431003994771022,-0.26260705592419153,0.08387378853477964,-0.0037784189705129495,-0.008939722074060765,0.16252163973573908,0.08568153294333428,-0.16758674671429466,0.31104195748764885,0.17913087111994316,0.22157402943245585,0.09348218812593104,0.2450244642421962,0.46897227393274027,0.36210177402287524,0.3023616034288941,0.7624046931306057,0.1142980708243877,0.3580046680326221,0.9525012366776431,0.03174594822756843,0.36856840351279874,1.005582294683428,0.01290119910402807,0.3008664817538856,0.803955971694458,0.04568744625575121,0.17913087111994316,0.22157402943245585,0.09348218812593104,0.08758690029000692,0.47512978186629823,0.34864622707277576,0.00018811559500395668,0.7767556137073349,0.12018797123501887,0.021589645635883645,0.9806092011314761,0.05673867293109629,0.01161484900040485,1.0242775572686331,0.02081815994826936,-0.011042872398651144,0.8095915144908384,0.04775388403561265
6,0.2,0.17976992901812677,0.21752143040320454,0.09953064878486217,0.17976992901812677,0.21752143040320454,0.09953064878486217,0.1699073278016683,0.17244938836847956,0.10604367774858828,0.15299568735004918,0.1163779082063061,0.12215665708053755,0.15256999748212732,-0.024290268776144073,0.12846625773556233,0.12245927921189041,-0.1431773442249874,0.13135956301787607,0.1150075152830939,-0.2233808284979924,0.13717375134056206,0.1138616725353566,-0.27700024023142933,0.12842509835096816,0.12136299853918821,-0.3168998579855732,0.12366791168055095,0.13847502607011064,-0.48332472057864634,0.10514830429706906,0.0699962075704876,-0.4129710478336896,0.2301093453670714,0.08101309337144515,-0.42198645927825473,0.1931621054021065,0.07942815413527413,-0.41131280860323705,0.1709486274116869,0.04589932946985566,-0.4361455304923257,0.20959009640292253,0.08276584948448833,-0.412385428971927,0.171561516196843,0.23067234410275939,-0.17205304022996648,0.12153434748044313,0.059149685978340395,-0.13827973523645345,0.03881229259420997,0.1322978965138001,-0.2350195962654325,0.07047312555331212,0.2955476038215058,-0.3053200829123851,0.09854360997993614,0.3469724325991837,-0.04562606737377411,0.148075828969928,0.2462010506092487,-0.09047790218912513,0.30019404733578975,0.13639309269051975,-0.2417235346239168,0.07938122048457565,-0.043463863377614105,-0.2640721262761431,0.08223891003963643,-0.00779105055875088,-0.008893780444231811,0.15583983484073224,0.07515914164484983,-0.15270661684744488,0.31413524889939515,0.17976992901812677,0.21752143040320454,0.09953064878486217,0.2477172770326822,0.4670915345683034,0.36532370909145884,0.3055179459280128,0.7597942970284262,0.1167689516366388,0.361536820242004,0.9496906406626087,0.03401656184642097,0.3729374707295023,1.0024218371945024,0.014817584695812775,0.30519778804718734,0.8012542357723731,0.04814434365075747,0.17976992901812677,0.21752143040320454,0.09953064878486217,0.08878441305720063,0.47369455247125963,0.35201525198587374,0.0019209351963625878,0.7746672198691587,0.12248757193507233,0.02293021485034631,0.9782545971053243,0.05810962642616435,0.013080821264292986,1.0219258662592474,0.02215851231535322,-0.009023139026832366,0.8075967013820321,0.05005480017134539
7,0.23333333333333334,0.18032680178205313,0.2135241602704433,0.10562057258777394,0.18032680178205313,0.2135241602704433,0.10562057258777394,0.16989660742437068,0.16856251394402327,0.11163554694244252,0.1528192296826836,0.11244279199850735,0.12734364779904525,0.1520382814844579,-0.02823905627676296,0.1320730763004344,0.12182848600160345,-0.14699316283290992,0.1325045719826369,0.11585454632038263,-0.227241088131372,0.13664341351114956,0.11539696696502903,-0.2806413492022447,0.12706156386591552,0.12390404730781357,-0.3200937841534424,0.12154483890037063,0.14004686724817234,-0.48653309225765917,0.10245323328727764,0.07166007404594926,-0.4132112356261299,0.22544776925228294,0.08233981874556882,-0.4219524711908251,0.18833536561616043,0.0813630360991376,-0.4113661368651574,0.16634459878146865,0.04794944491672097,-0.43618626548414696,0.20417654750079553,0.08518875593308622,-0.4122188758299983,0.1671234058948981,0.23032352652736293,-0.1726796761764096,0.12084113613666753,0.05972099729546268,-0.13960581063399907,0.039506355600743885,0.13212978957257063,-0.23769065311819648,0.07024127759493815,0.2968527015773291,-0.3047324702296884,0.09553165213845335,0.34973767454126636,-0.04523041306779368,0.14443442110887464,0.2830147818281494,-0.05647286169082005,0.289546061025496,0.13597034704114636,-0.24475038971196905,0.07930158029590842,-0.04400698345510963,-0.2651534114511416,0.08014605079589714,-0.012271454768852363,-0.008534420189080709,0.1483361280431598,0.058670700610517594,-0.12692737008999616,0.31556224255110343,0.18032680178205313,0.2135241602704433,0.10562057258777394,0.25057883173292766,0.4654592789372183,0.3682256526129542,0.3089066626374176,0.7573790859279277,0.11887799443013088,0.3653235876993121,0.947087404455053,0.0359673790824361,0.37763116854994555,0.9994389399504503,0.016423152223968115,0.30985699439387737,0.7987446763970468,0.05026061824955033,0.18032680178205313,0.2135241602704433,0.10562057258777394,0.08994147554759675,0.47257071947788437,0.3550742768573204,0.0035912748691325673,0.7728267377408824,0.12441077806741774,0.02415085393847293,0.9761474183905751,0.05910285368420861,0.01437931072008103,1.0198392577133735,0.023154918048065763,-0.007096220817451427,0.8058311326645796,0.05197535965432192
8,0.26666666666666666,0.18062689811904153,0.20965770821994137,0.11173613527882328,0.18062689811904153,0.20965770821994137,0.11173613527882328,0.1696203262495568,0.1648171436392698,0.11720350692392725,0.15235197204754664,0.10865713536747551,0.13249177752754562,0.15111943581124837,-0.03202160287262471,0.1355930582999208,0.12080315617088201,-0.15059359700953914,0.13348575689972253,0.11642186786748762,-0.23082246577056456,0.13590627951443018,0.11664654287094722,-0.28399834788930534,0.1255170493964303,0.12612400286111514,-0.3230052060068525,0.11927356468387713,0.1411549801812076,-0.48949026416943914,0.09981168258442732,0.07290208261567323,-0.413360394758555,0.22091353352506737,0.08321672443498473,-0.4218960442838402,0.18364587989789216,0.08292931769446543,-0.41135510881688386,0.16187996862824913,0.04949004665447178,-0.4363272015617191,0.19917276367857847,0.08732351823415013,-0.41200977308454595,0.1628713865225846,0.2295215410344065,-0.1731271671113491,0.12005739114783744,0.05973774815508158,-0.14057506562675562,0.040221614767424016,0.1316098708810892,-0.2401354983407633,0.06987791897027236,0.29773473752647217,-0.3038695550585399,0.09245930889331735,0.3523233747469291,-0.04466684287198169,0.14098776792655895,0.3188539474829407,-0.025828241905496863,0.2752676872261321,0.1352242583350686,-0.2475459563644285,0.07908215547500039,-0.044842816711219265,-0.2658600733059479,0.07781872022531595,-0.01717439606528902,-0.007904079240798192,0.14036686793171707,0.0373020188033293,-0.0921030854781481,0.3119203755840174,0.18062689811904153,0.20965770821994137,0.11173613527882328,0.25340356443057566,0.46407345033488456,0.37086344504917484,0.3123551280685482,0.7551682289826455,0.12070298985079567,0.36919256450177435,0.944702704011926,0.037680971135531524,0.38246783392700134,0.9966476305745438,0.01780791182718151,0.31464245225615894,0.7964353610426922,0.05211352185680283,0.18062689811904153,0.20965770821994137,0.11173613527882328,0.09090238289980065,0.4717620633938766,0.35788096299903294,0.0050726120513783874,0.7712591310407922,0.12603159934202157,0.02515584276013442,0.9743209620785891,0.05982222408726619,0.015422951686093115,1.0180492711193487,0.023907018070986896,-0.005370228550450279,0.804315291314773,0.053585088932955785
