Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.420480,-1.071231,2.880419,-42.944302,-3.513097,678.411133
2,0,-0.395201,-1.088428,2.870301,-42.887516,-5.779384,678.601440
3,0,-0.388686,-1.090622,2.870470,-42.993504,-7.431740,678.154846
4,0,-0.391641,-1.094640,2.871161,-43.322937,-7.996580,677.253235
5,0,-0.392667,-1.090980,2.873021,-43.856194,-7.456003,675.951904
6,0,-0.414835,-1.106763,2.864781,-44.626286,-6.380309,674.353271
7,0,-0.423230,-1.123228,2.848469,-45.128468,-5.326360,673.725525
8,0,-0.430639,-1.135909,2.835325,-45.476944,-4.367469,673.959106
9,0,-0.434461,-1.131329,2.833161,-45.649891,-3.086879,674.652771
10,0,-0.429508,-1.113906,2.839246,-45.344646,-2.258822,675.774109
11,0,-0.420248,-1.111817,2.835840,-44.741570,-2.402304,677.046997
12,0,-0.406531,-1.112354,2.840315,-44.108570,-3.556346,678.402710
13,0,-0.396886,-1.127800,2.836724,-43.581272,-5.167812,679.400208
14,0,-0.382778,-1.135273,2.838187,-43.160233,-6.662835,679.877869
15,0,-0.372591,-1.139971,2.836170,-43.013969,-7.438254,679.725952
16,0,-0.370261,-1.141690,2.834618,-43.135632,-7.450603,678.898071
17,0,-0.380142,-1.143047,2.831784,-43.534679,-6.667681,677.666748
18,0,-0.394731,-1.146493,2.823533,-44.136086,-5.336393,676.154114
19,0,-0.422065,-1.150383,2.814448,-44.725441,-3.672642,674.678589
20,0,-0.433250,-1.157057,2.808420,-45.007805,-2.411893,673.831543
21,0,-0.433873,-1.168657,2.798007,-44.711376,-2.093402,674.057556
22,0,-0.432306,-1.168904,2.796658,-44.158840,-2.197940,674.953003
23,0,-0.419558,-1.160306,2.805919,-43.460785,-2.865260,676.138000
24,0,-0.405726,-1.158047,2.810004,-42.616005,-4.096447,677.427917
25,0,-0.383194,-1.160201,2.811475,-41.922409,-5.529347,678.534668
26,0,-0.374467,-1.161842,2.816574,-41.550716,-6.646643,679.024597
27,0,-0.369003,-1.163538,2.815209,-41.507751,-7.054821,678.967285
28,0,-0.365609,-1.167093,2.810319,-41.783054,-6.625676,678.411133
29,0,-0.378749,-1.162647,2.807930,-42.293797,-5.311416,677.401367
30,0,-0.394379,-1.162857,2.802125,-42.940857,-3.382676,676.139587
31,0,-0.411909,-1.162060,2.789099,-43.440804,-1.197906,675.103149
32,0,-0.424638,-1.171700,2.775518,-43.767159,0.722301,674.335632
33,0,-0.430972,-1.179416,2.765097,-43.668156,1.966595,674.178223
34,0,-0.431917,-1.179682,2.763653,-43.341278,2.533825,674.579407
35,0,-0.425850,-1.176765,2.764531,-42.742638,2.520095,675.364563
36,0,-0.413375,-1.178480,2.764785,-42.073235,1.856063,676.251831
