Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,2.114148,-0.141382,1.904753,-0.257573,196.052582,965.138977,0.065859,-0.058507,-0.115569,-116.950401,158.515076,1197.944580,-0.363445,0.243299,0.097953,96.203819,158.694672,1200.231201,-0.341665,0.086153,1.246098,479.255798,450.557220,1472.229370
2,0,2.114771,-0.133899,1.906507,-0.252201,196.048584,965.067627,0.067181,-0.058921,-0.114745,-117.023689,158.499390,1198.014893,-0.362775,0.242600,0.098698,96.071785,158.647903,1200.385010,-0.354086,0.091565,1.239542,479.739777,450.153870,1476.432739
3,0,2.114293,-0.130632,1.909379,-0.245746,196.087830,965.027344,0.041697,-0.067055,-0.140024,-117.246475,158.211609,1198.328247,-0.358382,0.241063,0.100198,95.845924,158.512512,1200.420654,-0.340552,0.100163,1.244218,480.250336,450.517151,1480.850708
4,0,2.114052,-0.131071,1.907518,-0.245720,196.155487,964.992798,0.072859,-0.059582,-0.144803,-117.975975,159.033310,1199.185547,-0.356855,0.237165,0.103177,95.790306,158.538528,1200.737915,-0.339182,0.086657,1.227129,480.591125,450.397980,1486.021118
5,0,2.113709,-0.130014,1.908894,-0.259487,196.191360,964.973450,0.075159,-0.065986,-0.136932,-117.627922,159.009018,1198.811035,-0.355035,0.234003,0.103879,95.607033,158.463684,1200.952881,-0.357377,0.066742,1.220513,481.254669,450.142822,1492.384521
6,0,2.115242,-0.130712,1.908528,-0.264475,196.225800,964.971436,0.074047,-0.069119,-0.134643,-117.631721,158.891266,1198.787720,-0.361607,0.228313,0.108844,95.916489,158.882675,1201.885742,-0.350838,0.058341,1.205077,481.231689,449.677246,1498.616211
7,0,2.113062,-0.129493,1.909853,-0.265914,196.242050,965.002563,0.075697,-0.072458,-0.126677,-117.633644,158.736862,1198.719849,-0.360135,0.225688,0.110623,95.856300,158.993805,1202.356323,-0.339178,0.068057,1.213880,480.693909,449.770477,1505.550415
8,0,2.114661,-0.131831,1.911846,-0.271248,196.260834,965.036194,0.075153,-0.073891,-0.127505,-117.686562,158.638489,1198.676147,-0.357727,0.222055,0.114411,95.772202,159.109100,1202.796997,-0.340117,0.052336,1.202329,480.455658,449.249573,1513.153687
9,0,2.114574,-0.132686,1.912069,-0.246101,196.290985,965.099670,0.074712,-0.075546,-0.127529,-117.738853,158.538330,1198.642334,-0.355128,0.220411,0.114944,95.727730,159.287567,1203.326416,-0.334431,0.049405,1.199957,479.627686,448.474274,1520.850220
10,0,2.114105,-0.135155,1.911808,-0.217765,196.340240,965.161072,0.077744,-0.077859,-0.122978,-117.798492,158.414200,1198.594849,-0.356007,0.216876,0.116575,95.663918,159.464417,1203.795654,-0.331764,0.037477,1.193550,478.488129,448.018799,1529.309937
11,0,2.116059,-0.136994,1.912232,-0.143723,196.326416,965.199829,0.080895,-0.081080,-0.114511,-117.811081,158.231812,1198.521362,-0.358860,0.216797,0.114904,95.551956,159.600113,1204.225464,-0.331212,0.014536,1.181100,477.293823,447.476013,1538.243164
12,0,2.116541,-0.140931,1.913791,-0.053819,196.394226,965.226440,0.082233,-0.082120,-0.112791,-117.855598,158.126617,1198.531860,-0.373038,0.225760,0.106951,95.372017,159.805603,1205.046143,-0.323598,0.003599,1.172457,474.961609,447.057037,1547.303467
13,0,2.117667,-0.143155,1.915185,0.046598,196.470505,965.276855,0.082803,-0.082401,-0.112590,-117.906181,158.041245,1198.553955,-0.355663,0.205981,0.115779,95.406670,160.139145,1205.550903,-0.334213,-0.021502,1.161175,472.784210,446.351440,1557.126343
14,0,2.119938,-0.152972,1.912173,0.134426,196.698029,965.394470,0.083320,-0.068553,-0.118612,-117.725868,157.935211,1198.332886,-0.350388,0.202023,0.120125,95.278679,160.334763,1206.157959,-0.330038,-0.027890,1.162425,469.487793,445.935059,1566.824585
15,0,2.120184,-0.160203,1.910860,0.226990,196.860931,965.479126,0.083956,-0.070743,-0.117167,-117.726936,157.819000,1198.348022,-0.358638,0.203244,0.132687,94.787712,160.508804,1207.223511,-0.304446,-0.020562,1.176705,465.532440,445.728699,1576.366699
16,0,-0.431559,-0.113181,0.004927,13.095843,192.964020,951.297546,0.084595,-0.073852,-0.113675,-117.710342,157.696320,1198.362305,-0.345375,0.187466,0.143366,95.016190,160.452484,1207.328979,-0.306849,-0.035074,1.174679,461.655182,445.039215,1586.782104
17,0,-0.426197,-0.115175,0.023211,13.077487,192.982666,951.491882,0.085024,-0.074818,-0.111539,-117.740646,157.585831,1198.394531,-0.358651,0.198393,0.126536,95.071632,160.911377,1207.908081,-0.314161,-0.063118,1.170913,457.254089,444.354858,1597.467651
18,0,-0.425409,-0.115473,0.023638,13.185473,193.043579,951.524475,0.077486,-0.075038,-0.119869,-117.987045,157.363129,1198.718872,-0.356442,0.196457,0.124841,95.064651,161.100769,1208.512329,-0.310836,-0.088209,1.156818,451.914154,443.620422,1608.002686
19,0,-0.424934,-0.116144,0.023149,13.318740,193.088882,951.561523,0.083481,-0.088931,-0.110190,-118.283432,157.304001,1199.088501,-0.355032,0.190572,0.127092,95.026596,161.257050,1209.113892,-0.314450,-0.103470,1.168141,446.611420,443.119751,1619.012573
20,0,-0.424036,-0.116799,0.023191,13.442945,193.151550,951.609985,0.084283,-0.091085,-0.107221,-118.250366,157.156357,1199.094482,-0.353784,0.183682,0.132935,95.042564,161.489807,1209.803833,-0.314575,-0.128235,1.161108,440.798218,442.257629,1629.684326
21,0,-0.423683,-0.117310,0.022458,13.552519,193.186615,951.650024,0.092008,-0.093316,-0.097561,-117.967873,157.156845,1198.771118,-0.335537,0.159907,0.149914,95.189980,161.281982,1209.984741,-0.315843,-0.154532,1.161359,434.513763,441.463043,1640.365356
22,0,-0.423233,-0.117348,0.021761,13.660847,193.220123,951.706543,0.085708,-0.095707,-0.100819,-118.213707,156.856812,1199.115967,-0.351312,0.165048,0.148870,95.043808,161.333588,1210.600708,-0.314354,-0.176014,1.154817,427.518066,440.564575,1650.855347
23,0,-0.423670,-0.117658,0.021384,13.758559,193.229767,951.745361,0.087616,-0.099445,-0.097986,-118.223198,156.692322,1199.145630,-0.349613,0.161572,0.139447,95.069962,161.871704,1211.179688,-0.313675,-0.191289,1.159050,420.184967,439.707153,1661.155273
24,0,-0.423896,-0.117445,0.021753,13.854954,193.242599,951.798279,0.078862,-0.125120,-0.081433,-118.623375,156.779266,1199.543091,-0.393072,0.193886,0.110558,95.490517,162.579956,1211.352783,-0.306515,-0.224119,1.145615,412.469116,438.841949,1671.043457
25,0,-0.424169,-0.117335,0.021209,13.939224,193.254196,951.856750,0.079627,-0.127453,-0.077496,-118.630821,156.636063,1199.544067,-0.350009,0.154339,0.155027,94.995499,162.318283,1212.151245,-0.300963,-0.251944,1.149366,404.202118,437.807709,1680.725586
26,0,-0.423996,-0.117159,0.020982,14.012373,193.256271,951.903015,0.079782,-0.129178,-0.075796,-118.636986,156.515228,1199.550659,-0.347667,0.148044,0.155581,94.869179,162.564499,1212.779419,-0.305411,-0.274882,1.146888,396.136902,437.003326,1690.434082
27,0,-0.424296,-0.117453,0.020323,14.093596,193.255600,951.933960,0.078829,-0.131671,-0.073503,-118.647041,156.371857,1199.541626,-0.346099,0.144513,0.158971,94.779488,162.825409,1213.345459,-0.306372,-0.296893,1.146927,387.421539,436.153961,1699.707520
28,0,-0.424185,-0.117574,0.020340,14.165665,193.280212,951.976563,0.078195,-0.134401,-0.071645,-118.676430,156.214508,1199.530396,-0.348978,0.147205,0.154425,94.863754,163.270142,1214.110962,-0.305550,-0.323322,1.150276,378.497986,435.071777,1708.597534
29,0,-0.424415,-0.117556,0.019750,14.244583,193.286072,951.993591,0.077851,-0.136574,-0.068745,-118.702614,156.041031,1199.484253,-0.348142,0.142487,0.156417,94.769218,163.558075,1214.607666,-0.310069,-0.357644,1.140935,369.274780,434.151062,1717.240845
30,0,-0.424433,-0.117599,0.019515,14.310344,193.312973,952.018799,0.077854,-0.137637,-0.067291,-118.723969,155.851700,1199.430176,-0.348621,0.139606,0.158270,94.664589,163.843201,1215.028931,-0.310848,-0.379342,1.140951,359.790649,433.337830,1725.353760
