Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.203021,-0.103371,0.240154,9.002930,-480.503784,1150.875977,0.359875,-0.085665,0.137633,-124.723083,-556.415833,1376.823120,-0.085360,-0.073753,0.314178,90.848450,-509.006012,1418.807983,-0.888547,-0.641773,0.815666,381.507599,-110.105354,1839.419312
2,0,-0.201837,-0.105221,0.240148,8.886123,-480.629333,1150.893311,0.355113,-0.086211,0.137564,-125.118629,-557.058044,1376.525024,-0.086777,-0.077687,0.320323,90.108063,-508.746735,1419.081177,-0.885968,-0.655176,0.812476,373.869598,-110.560822,1846.895264
3,0,-0.201230,-0.107399,0.242652,8.752938,-480.788086,1150.909058,0.352981,-0.090284,0.143834,-125.486511,-557.729980,1376.182983,-0.086748,-0.081952,0.325936,89.331284,-508.481812,1419.298828,-0.881055,-0.674563,0.812768,365.991974,-111.026764,1854.203247
4,0,-0.199761,-0.109683,0.243627,8.610701,-481.000336,1150.901367,0.363323,-0.102563,0.170593,-125.618797,-558.478027,1375.553955,-0.086168,-0.086870,0.331383,88.530006,-508.180573,1419.502563,-0.867095,-0.690363,0.814713,357.565399,-111.315056,1861.019409
5,0,-0.197790,-0.111889,0.244479,8.433922,-481.287018,1150.873535,0.363218,-0.102526,0.173743,-126.031265,-559.278625,1375.203979,-0.085265,-0.091043,0.335260,87.684639,-507.913483,1419.642578,-0.857482,-0.708605,0.818929,349.538544,-111.612373,1867.622559
6,0,-0.195660,-0.113212,0.244256,8.237160,-481.587463,1150.836914,0.361010,-0.103096,0.172701,-126.482460,-560.062622,1374.873901,-0.088246,-0.093946,0.340469,86.813591,-507.672485,1419.733643,-0.851368,-0.740395,0.809178,340.476379,-111.529205,1873.861938
7,0,-0.193495,-0.113932,0.241988,8.027166,-481.924713,1150.779785,0.361496,-0.104110,0.181205,-126.940964,-560.877014,1374.560303,-0.093978,-0.096063,0.347027,85.990021,-507.484497,1419.801147,-0.847281,-0.730996,0.814518,331.435425,-111.511192,1879.748901
8,0,-0.194528,-0.115364,0.243931,7.818909,-482.272491,1150.733032,0.359152,-0.111372,0.190291,-127.395081,-561.797852,1374.226563,-0.096354,-0.098505,0.351369,85.102325,-507.295380,1419.875366,-0.843549,-0.748954,0.817358,322.234131,-111.137032,1885.239990
9,0,-0.196534,-0.116650,0.245342,7.594011,-482.670105,1150.673096,0.357038,-0.114693,0.197033,-127.808319,-562.733459,1373.874023,-0.094689,-0.101677,0.355109,84.234138,-507.079590,1419.925171,-0.841108,-0.762728,0.818247,312.665680,-110.635330,1890.090820
10,0,-0.197242,-0.117114,0.244484,7.328960,-483.131348,1150.595703,0.355861,-0.110570,0.197371,-128.288116,-563.650208,1373.597046,-0.093564,-0.104151,0.358587,83.358330,-506.854187,1419.910400,-0.837842,-0.778508,0.821785,302.995209,-109.848419,1894.498291
11,0,-0.197241,-0.119028,0.247094,6.987072,-483.683990,1150.492432,0.354524,-0.112367,0.210012,-128.691574,-564.653687,1373.221436,-0.093940,-0.108485,0.366355,82.491264,-506.629761,1419.864746,-0.836229,-0.791248,0.821700,292.986023,-108.797119,1898.145996
12,0,-0.196682,-0.120618,0.247576,6.641478,-484.174896,1150.404053,0.356550,-0.114684,0.219668,-129.093430,-565.659851,1372.903564,-0.095647,-0.112731,0.372223,81.626732,-506.472717,1419.805786,-0.828627,-0.792047,0.836896,283.218292,-107.468887,1901.224609
13,0,-0.195723,-0.120961,0.251116,6.311370,-484.621368,1150.325928,0.359836,-0.106717,0.222690,-129.393631,-566.784729,1372.466431,-0.097380,-0.113582,0.377772,80.774925,-506.328827,1419.765259,-0.829619,-0.820144,0.826353,272.772095,-105.917213,1903.790771
14,0,-0.194838,-0.120264,0.254114,5.921851,-485.092072,1150.273682,0.356396,-0.108148,0.225864,-129.827316,-567.899658,1372.154785,-0.097795,-0.115547,0.385466,79.876831,-506.186127,1419.687012,-0.824889,-0.849337,0.835350,262.768555,-103.830864,1905.540283
15,0,-0.194104,-0.121294,0.259977,5.494545,-485.623596,1150.231323,0.358322,-0.110279,0.240372,-130.182632,-569.084229,1371.812622,-0.099750,-0.116441,0.391573,78.995270,-506.036865,1419.540894,-0.822050,-0.875197,0.829448,252.134384,-101.866646,1906.675781
16,0,-0.194390,-0.124141,0.267847,4.994400,-486.247711,1150.155151,0.358001,-0.107681,0.243817,-130.611771,-570.154785,1371.583374,-0.102631,-0.117464,0.393681,78.103165,-505.920349,1419.398560,-0.820481,-0.888412,0.838084,241.549179,-99.312607,1907.042725
17,0,-0.193944,-0.124797,0.271444,4.609275,-486.776184,1150.088501,0.357417,-0.107231,0.250921,-131.031906,-571.426880,1371.322144,-0.104709,-0.118481,0.398700,77.244942,-505.823914,1419.228516,-0.826409,-0.902079,0.845588,230.794815,-96.459824,1906.882813
18,0,-0.194238,-0.124858,0.274449,4.147821,-487.382141,1149.973999,0.348374,-0.118984,0.261478,-131.478668,-572.610291,1371.061768,-0.079688,-0.139887,0.437727,76.461105,-506.132782,1418.928101,-0.821574,-0.954213,0.839333,220.095383,-93.350670,1905.745972
19,0,-0.197464,-0.126744,0.279656,3.696197,-488.129852,1149.820679,0.339512,-0.126174,0.262728,-131.834579,-573.753662,1370.688721,-0.078609,-0.141659,0.446471,75.609024,-506.074493,1418.676514,-0.831515,-0.974006,0.843067,209.014740,-90.079514,1904.406982
20,0,-0.199673,-0.127054,0.279058,3.217384,-488.910889,1149.667725,0.349170,-0.114434,0.263798,-132.014893,-575.276550,1370.229126,-0.075744,-0.142997,0.451361,74.710106,-505.976440,1418.370972,-0.830252,-0.991086,0.853709,197.972870,-86.625244,1902.218140
21,0,-0.198647,-0.127974,0.283602,2.762935,-489.607178,1149.508179,0.355429,-0.105965,0.279468,-132.534286,-576.572998,1370.008789,-0.080830,-0.141799,0.454492,73.841415,-505.943420,1417.986938,-0.841068,-1.001402,0.870705,187.209717,-82.821739,1899.578491
22,0,-0.198072,-0.128681,0.292039,2.260740,-490.365936,1149.310425,0.358854,-0.098189,0.285810,-132.845932,-577.789673,1369.651123,-0.086720,-0.140859,0.460714,72.959290,-505.850983,1417.606079,-0.847517,-0.997539,0.888715,176.104080,-79.008049,1896.353149
23,0,-0.199174,-0.128013,0.293158,1.714619,-491.154053,1149.098389,0.342271,-0.110818,0.286868,-132.928726,-579.353271,1369.132935,-0.086947,-0.143211,0.469260,72.120224,-505.846497,1417.195068,-0.848207,-0.998273,0.908544,165.209290,-75.066940,1892.373657
24,0,-0.198318,-0.128565,0.296872,1.195215,-491.842224,1148.926270,0.339839,-0.112701,0.289713,-133.277145,-580.735474,1368.791260,-0.086467,-0.143214,0.475220,71.259529,-505.908142,1416.748657,-0.855647,-1.014479,0.915839,154.316727,-70.840584,1887.901123
25,0,-0.199247,-0.131138,0.306464,0.648292,-492.604553,1148.715820,0.341336,-0.108492,0.295228,-133.596817,-582.186890,1368.386841,-0.089616,-0.142612,0.482470,70.385384,-505.924286,1416.265747,-0.845564,-1.034449,0.940180,143.481781,-66.976112,1883.086060
26,0,-0.201642,-0.130485,0.311086,0.096198,-493.421326,1148.509399,0.337506,-0.109995,0.299529,-133.940231,-583.659546,1368.038086,-0.094004,-0.143076,0.489786,69.536804,-505.975555,1415.754883,-0.858173,-1.048869,0.944353,132.466476,-62.526337,1877.508057
27,0,-0.200580,-0.133251,0.315880,-0.431416,-494.229523,1148.333740,0.336736,-0.108864,0.309009,-134.211548,-585.111023,1367.709717,-0.095692,-0.142717,0.495128,68.704414,-506.069061,1415.255981,-0.861926,-1.058251,0.967114,121.682182,-58.153664,1871.380371
