Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.276237,0.033341,-0.303128,20.374334,-859.850281,1148.955444,0.231515,-0.148732,-0.001151,-110.068748,-925.726624,1386.251953,-2.236733,-0.218223,2.665451,92.264870,-877.569824,1405.403198,-0.562212,-0.466104,1.786047,124.366287,-389.788483,1616.001099
2,0,-0.285353,0.037949,-0.333553,20.548304,-860.016724,1149.024658,0.233630,-0.150348,0.012662,-110.603096,-927.162659,1386.192871,-2.174218,-0.070526,2.742038,91.588654,-878.196655,1405.645142,-0.608952,-0.425315,1.771737,126.053497,-373.196442,1607.154785
3,0,-0.292482,0.042454,-0.363246,20.706442,-860.190063,1149.093262,0.236946,-0.147199,0.022971,-111.245567,-928.665283,1386.123047,-2.184604,-0.083389,2.742624,90.504326,-877.980591,1405.940186,-0.649437,-0.372166,1.761987,129.037445,-358.321930,1597.074341
4,0,-0.138730,-0.100792,0.278055,19.942955,-864.292114,1149.171875,0.258906,-0.125476,0.042322,-111.659851,-930.759277,1384.837158,-0.051779,-0.026416,0.421085,102.430023,-881.533813,1416.478394,-0.696364,-0.312457,1.749139,133.271561,-345.580017,1586.721680
5,0,-0.139838,-0.104174,0.286830,19.816132,-864.720398,1149.221436,0.254133,-0.124679,0.043922,-112.553696,-932.189392,1384.998169,-0.127132,0.013845,0.403153,100.418152,-881.228271,1416.369629,-0.749713,-0.227470,1.737146,137.407059,-336.958221,1575.421509
6,0,-0.141256,-0.105662,0.290407,19.510180,-865.110779,1149.253174,0.256271,-0.125425,0.073583,-113.663002,-934.236511,1384.150757,-0.138229,0.010995,0.415578,98.418549,-880.405396,1416.381104,-0.793611,-0.153743,1.711775,141.153671,-330.671478,1565.039185
7,0,-0.101431,-0.039430,0.122697,19.570036,-866.651489,1148.351563,0.262948,-0.136479,0.116604,-114.472588,-936.054749,1383.357666,-0.147133,0.003519,0.430331,96.005760,-879.203247,1416.406006,-0.861725,-0.120683,1.680903,144.603806,-325.695404,1556.615356
8,0,-0.104788,-0.044495,0.143058,19.224955,-867.384033,1148.320190,0.272995,-0.131542,0.153563,-115.602798,-937.963440,1382.853638,-0.139008,-0.000299,0.444952,93.882690,-877.960388,1416.323975,-0.912652,-0.094232,1.641386,147.506165,-322.441620,1549.713501
9,0,-0.105257,-0.048169,0.152021,18.556849,-867.652161,1148.352051,0.274568,-0.125238,0.150824,-117.134201,-939.484497,1382.545898,-0.164166,0.002895,0.451245,91.596443,-877.096252,1416.209961,-0.923618,-0.086348,1.616536,149.425919,-319.863251,1544.542969
10,0,-0.103636,-0.053016,0.165780,17.809708,-868.012695,1148.321777,0.278756,-0.128236,0.164980,-118.464859,-940.866821,1382.161621,-0.171822,-0.000124,0.461574,89.655273,-876.445068,1416.263550,-0.933841,-0.081078,1.589515,149.297195,-318.134125,1541.183960
11,0,-0.104457,-0.055749,0.172374,17.002869,-868.283447,1148.332153,0.280008,-0.135431,0.183031,-119.647964,-942.096313,1381.776245,-0.177830,0.003601,0.460702,87.821732,-875.802002,1416.434204,-0.937020,-0.087096,1.598634,147.428070,-316.397339,1539.627930
12,0,-0.105952,-0.059370,0.181010,16.211828,-868.475403,1148.281982,0.279415,-0.135236,0.183970,-120.834541,-943.145020,1381.440186,-0.179217,-0.003208,0.463834,86.264259,-875.539734,1416.396240,-0.919590,-0.132427,1.596731,144.725159,-315.292816,1538.690552
13,0,-0.110078,-0.063698,0.187466,15.425689,-868.521423,1148.139648,0.277577,-0.131406,0.186730,-121.735901,-943.844543,1381.182007,-0.173651,-0.004181,0.468095,85.258781,-875.363098,1416.205078,-0.910670,-0.199075,1.608661,141.816116,-313.183838,1538.651733
14,0,-0.113958,-0.068395,0.193743,14.638166,-868.546265,1147.884399,0.279232,-0.130503,0.188659,-122.389099,-944.180908,1380.869507,-0.166569,0.000951,0.472094,84.565063,-875.190002,1415.894775,-0.903261,-0.212520,1.630014,138.672745,-312.285736,1537.974609
15,0,-0.117886,-0.072094,0.199447,13.903281,-868.522888,1147.548096,0.278606,-0.129656,0.189940,-122.819427,-944.266724,1380.573730,-0.169214,0.004996,0.468954,84.181839,-874.817383,1415.553955,-0.902920,-0.228475,1.637147,135.859543,-311.747986,1537.357178
16,0,-0.118166,-0.070316,0.196625,13.271923,-868.520264,1147.101196,0.278159,-0.128788,0.190033,-122.990868,-944.146301,1380.266357,-0.175728,0.006777,0.465281,84.167191,-874.428589,1414.944580,-0.907683,-0.244658,1.638290,134.024887,-311.409790,1536.369141
17,0,-0.116423,-0.069908,0.197747,12.783749,-868.531677,1146.595337,0.275144,-0.128228,0.187001,-122.895279,-943.894104,1380.013062,-0.173392,0.010625,0.469991,84.413017,-874.029419,1414.173828,-0.889895,-0.237350,1.638331,132.979828,-312.004364,1534.441040
18,0,-0.116552,-0.068637,0.199296,12.484305,-868.486145,1146.200439,0.273128,-0.127028,0.184286,-122.647438,-943.585693,1379.829956,-0.181046,0.014405,0.472325,84.845909,-873.692871,1413.480103,-0.897486,-0.213513,1.642104,132.885422,-311.820221,1532.838379
19,0,-0.116189,-0.066981,0.200381,12.358789,-868.390991,1145.938965,0.264691,-0.133585,0.185822,-122.246796,-943.137390,1379.678345,-0.188235,0.018480,0.468992,85.385796,-873.431396,1412.926636,-0.894402,-0.230131,1.630770,133.324524,-311.393494,1531.169922
20,0,-0.116052,-0.064673,0.200693,12.394384,-868.228882,1145.817261,0.269927,-0.129010,0.181357,-121.635315,-942.813843,1379.646118,-0.190113,0.018928,0.468980,86.035637,-873.200867,1412.549194,-0.904079,-0.225870,1.625371,133.760864,-311.249786,1529.533447
21,0,-0.115562,-0.063433,0.201888,12.543050,-868.065369,1145.845337,0.260992,-0.134614,0.182027,-121.135391,-942.319092,1379.710938,-0.160973,0.003420,0.486172,86.652573,-872.841858,1412.508667,-0.913392,-0.222004,1.619911,134.554642,-310.999512,1527.939087
22,0,-0.114436,-0.061930,0.201050,12.804321,-867.895386,1145.990845,0.260134,-0.132417,0.179367,-120.551041,-941.949341,1379.817383,-0.186676,0.010659,0.474718,87.498772,-873.112793,1412.388306,-0.922159,-0.219547,1.612280,135.167465,-310.946075,1526.585938
23,0,-0.113865,-0.060160,0.199747,13.157136,-867.692566,1146.212402,0.266110,-0.122891,0.175666,-119.906387,-941.635315,1379.923584,-0.182648,0.012786,0.471829,88.149910,-873.100159,1412.516479,-0.937978,-0.211585,1.606304,135.927994,-311.007050,1525.440674
24,0,-0.114389,-0.058518,0.199149,13.572472,-867.511475,1146.443481,0.264704,-0.123363,0.175586,-119.348373,-941.258911,1380.052979,-0.179532,0.012840,0.469757,88.821388,-873.146851,1412.680786,-0.932980,-0.206238,1.606097,136.347809,-311.167877,1524.689453
25,0,-0.114506,-0.059181,0.201412,14.026726,-867.366150,1146.624756,0.260219,-0.123208,0.168367,-118.775673,-940.834717,1380.211792,-0.181855,0.014032,0.466976,89.449974,-873.211304,1412.786377,-0.946484,-0.215249,1.606666,137.088837,-311.077393,1524.721802
26,0,-0.117320,-0.059521,0.205993,14.570995,-867.172791,1146.782593,0.255323,-0.123937,0.161379,-118.152084,-940.400208,1380.266724,-0.175975,0.008800,0.468819,90.166855,-873.276306,1412.936035,-0.945839,-0.213783,1.608147,137.652145,-311.462402,1524.651733
27,0,-0.119434,-0.059964,0.206670,15.123956,-867.089661,1146.787598,0.254047,-0.130381,0.162250,-117.547821,-939.984802,1380.257202,-0.175330,0.013011,0.463382,90.880585,-873.387939,1412.940186,-0.941203,-0.221202,1.608667,138.248428,-312.068848,1524.684326
28,0,-0.121563,-0.058193,0.205677,15.730782,-867.032654,1146.754517,0.246068,-0.138581,0.159323,-116.963211,-939.394836,1380.148071,-0.174973,0.016207,0.459350,91.715363,-873.545837,1412.918823,-0.926372,-0.205066,1.608926,138.809525,-312.796814,1524.608154
29,0,-0.124129,-0.056002,0.202367,16.300123,-867.044861,1146.692871,0.244039,-0.123215,0.150690,-116.089653,-938.880615,1379.871338,-0.172116,0.016490,0.456826,92.631668,-873.674194,1412.771362,-0.931691,-0.197806,1.611071,139.376511,-313.369965,1525.221191
30,0,-0.125911,-0.055421,0.201858,16.833038,-867.121765,1146.572266,0.247757,-0.119397,0.150762,-115.310089,-938.359131,1380.112671,-0.164773,0.014951,0.456317,93.617905,-873.864868,1412.652710,-0.934694,-0.213326,1.603978,139.713470,-314.036530,1525.930908
31,0,-0.126759,-0.052341,0.196616,17.361015,-867.148682,1146.475098,0.247542,-0.118742,0.148474,-114.562347,-937.794006,1380.397095,-0.167230,0.015259,0.450437,94.704498,-874.107788,1412.590942,-0.932048,-0.233327,1.596689,140.167007,-314.950409,1526.395752
32,0,-0.127470,-0.051254,0.194336,17.879446,-867.191895,1146.420044,0.250438,-0.158424,0.171440,-113.627136,-937.084717,1381.037109,-0.166473,0.019079,0.447703,95.740135,-874.331055,1412.545044,-0.932620,-0.233843,1.603332,140.891418,-315.641510,1526.634644
33,0,-0.127600,-0.050650,0.188098,18.444670,-867.278381,1146.392578,0.243135,-0.132193,0.130818,-113.428825,-936.524780,1381.442261,-0.169499,0.023247,0.439353,96.826797,-874.717407,1412.489014,-0.930813,-0.221348,1.604731,141.655487,-316.713531,1526.823608
34,0,-0.128387,-0.048862,0.182706,19.067928,-867.313965,1146.424438,0.237469,-0.124773,0.119538,-112.661354,-935.914368,1381.990112,-0.179846,0.019427,0.457346,98.111290,-875.608887,1412.325317,-0.935347,-0.233584,1.603863,142.268372,-317.622223,1527.378418
35,0,-0.129487,-0.047492,0.178571,19.705179,-867.305542,1146.504883,0.238291,-0.134937,0.109935,-111.590210,-935.171387,1382.851685,-0.152855,0.028151,0.432671,99.117195,-875.689087,1412.595947,-0.931158,-0.227467,1.602078,143.296829,-318.912842,1527.617676
36,0,-0.129463,-0.046981,0.174238,20.330238,-867.298340,1146.599487,0.238208,-0.135185,0.101979,-110.665443,-934.648499,1383.237183,-0.150514,0.023022,0.432818,100.393440,-876.312866,1412.606689,-0.933022,-0.241904,1.598058,144.142410,-320.109100,1528.164917
37,0,-0.212347,-0.050400,0.243489,21.021015,-867.188110,1146.800781,0.238573,-0.132859,0.094411,-109.883720,-934.198792,1383.755737,-0.149911,0.023916,0.427220,101.481293,-876.868347,1412.690552,-0.933359,-0.243413,1.599592,145.302567,-321.309906,1528.583252
38,0,-0.212588,-0.047567,0.237499,21.683922,-867.179138,1146.910889,0.237219,-0.131667,0.087853,-109.117882,-933.821960,1384.305542,-0.145378,0.032867,0.420463,102.626793,-877.657715,1412.666260,-0.930289,-0.239675,1.596384,146.527969,-322.733368,1528.989136
