Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.029296,0.001438,-0.093353,16.195616,468.054291,1124.283325,-0.025964,-0.020990,0.007945,-94.378731,408.976563,1368.572266,-0.043924,0.059877,-0.069507,93.973854,404.566071,1384.316650,-0.380791,0.352040,1.178958,192.867828,791.140625,1295.219604
2,0,0.033808,0.004984,-0.093949,16.046616,467.932800,1124.670288,-0.043609,-0.030169,-0.006038,-94.291588,408.128540,1368.502075,-0.011724,0.049821,-0.049847,93.933212,404.190338,1384.462524,-0.360600,0.332086,1.175603,193.260117,799.104370,1310.534180
3,0,0.046657,0.012037,-0.094142,15.622490,468.087250,1125.277466,-0.044480,-0.022753,-0.009531,-94.559029,407.696838,1368.832031,0.018463,0.030383,-0.028373,93.626656,403.997162,1384.848267,-0.351650,0.314974,1.172252,193.878403,806.642883,1324.970581
4,0,0.026670,-0.004976,-0.098322,15.545976,467.662567,1125.390869,-0.040306,-0.026220,-0.003972,-94.593231,407.140045,1368.919800,0.015513,-0.035613,-0.003888,92.366341,403.933563,1386.346191,-0.346862,0.301759,1.165559,194.556091,813.941833,1338.932495
5,0,0.047026,-0.009267,-0.094159,15.186279,468.009521,1125.656616,-0.040303,-0.022290,-0.008052,-94.800102,406.670380,1369.206055,0.013730,-0.035283,-0.005159,92.181213,403.482056,1386.569458,-0.332997,0.282719,1.157726,195.397217,820.987061,1352.177979
6,0,0.033972,-0.008190,-0.094247,15.283572,467.551300,1125.731079,-0.037901,-0.022609,-0.008059,-94.943062,406.199738,1369.449707,0.058112,-0.075891,0.040834,91.794601,403.196167,1387.153809,-0.316436,0.250860,1.150737,196.137222,827.785706,1364.687866
7,0,0.044746,0.000182,-0.090723,14.807923,467.694122,1126.271484,-0.034353,-0.022730,-0.004141,-95.116493,405.678558,1369.644165,0.026772,-0.048828,0.012165,91.888283,402.986633,1387.412842,-0.301256,0.236763,1.136746,197.277313,834.259094,1376.543579
8,0,0.062360,-0.001685,-0.088359,14.576261,467.927887,1126.520142,-0.032999,-0.023188,-0.001178,-95.321213,405.135620,1369.834351,0.047118,-0.061401,0.027371,91.662582,402.687866,1387.661011,-0.305157,0.229589,1.128767,198.224823,840.621704,1387.826172
9,0,0.098980,0.000194,-0.081321,13.841013,468.713806,1127.440918,-0.031531,-0.024296,0.001526,-95.533134,404.556763,1369.962036,0.062414,-0.074345,0.044959,91.206764,402.381622,1387.967285,-0.286281,0.209835,1.116352,199.278763,846.571899,1398.225708
10,0,0.103860,0.001699,-0.086054,13.357731,469.240601,1127.908813,-0.029068,-0.025091,0.004809,-95.767212,403.967499,1370.054688,0.057516,0.005468,0.009996,92.267723,401.860016,1386.671875,-0.281076,0.202552,1.103887,200.301025,852.295471,1407.979736
11,0,0.106388,0.001919,-0.082882,13.126928,469.202759,1127.990967,-0.043591,-0.035359,-0.001018,-95.775696,402.970123,1369.905640,0.039546,0.009889,0.002563,91.852249,401.956146,1387.526367,-0.281200,0.196470,1.092595,201.453278,857.798950,1417.129639
12,0,0.109691,0.001793,-0.079409,12.811631,469.256653,1128.122681,-0.024329,-0.026868,0.009920,-96.213112,402.805756,1370.263184,0.043027,0.008125,0.008342,91.717918,401.706055,1387.661621,-0.278020,0.189092,1.085260,202.578232,862.858276,1425.841187
13,0,0.111228,0.001644,-0.076308,12.515434,469.268219,1128.207275,-0.023774,-0.027833,0.012615,-96.486023,402.159485,1370.349121,0.086655,-0.016927,0.042286,91.273117,401.459473,1387.735229,-0.274291,0.190125,1.070680,203.581635,867.865173,1433.624146
14,0,0.113822,0.002381,-0.074780,12.199459,469.353882,1128.317383,-0.031636,-0.036247,0.011087,-96.580444,401.355835,1370.214355,0.026465,-0.006736,0.003972,90.589211,401.554626,1388.583374,-0.282411,0.177085,1.055032,205.044479,872.362854,1440.811035
15,0,0.113550,0.002741,-0.073010,11.921752,469.370544,1128.368286,-0.024546,-0.029552,0.015298,-97.087944,400.943237,1370.531494,0.090946,-0.051644,0.068824,89.933960,401.704742,1388.836670,-0.280682,0.180452,1.045769,206.157028,876.552856,1447.534424
16,0,0.114873,0.003260,-0.070788,11.659822,469.411041,1128.417358,-0.006438,-0.000851,0.022558,-98.494553,401.089874,1371.994873,0.081228,-0.095008,0.074852,88.897125,401.680939,1389.779175,-0.289057,0.169635,1.024987,207.478287,880.442932,1453.472412
17,0,0.113072,0.003316,-0.068796,11.379939,469.408386,1128.416748,-0.033159,-0.030104,-0.002774,-97.581833,399.454407,1370.371826,0.028274,-0.047325,0.023688,88.569717,401.490967,1389.782715,-0.290645,0.168870,1.012614,208.582993,883.905823,1458.970947
18,0,0.111870,0.002997,-0.066210,11.108773,469.470215,1128.437866,-0.020743,-0.037587,0.013495,-97.736664,399.007507,1370.136353,0.046765,-0.061345,0.040570,88.007042,401.709961,1390.261841,-0.294451,0.167358,0.999667,209.690277,887.077637,1464.056152
19,0,0.108259,0.002793,-0.064199,10.897102,469.473999,1128.392456,0.012494,-0.002955,0.048695,-99.623985,399.506653,1372.001099,0.028117,-0.052572,0.029393,87.597649,401.814484,1390.663940,-0.300790,0.167795,0.985956,210.734894,889.832886,1468.544800
20,0,0.105659,0.002127,-0.062017,10.674271,469.543488,1128.394287,-0.000039,-0.041229,0.055128,-99.186348,398.218475,1370.959229,0.016909,-0.039021,0.019316,87.213730,401.913635,1390.795410,-0.305216,0.169640,0.974992,211.578094,892.315491,1472.557129
21,0,0.108075,0.002371,-0.059739,10.386135,469.719360,1128.454590,-0.009340,-0.038564,0.052263,-99.725555,397.439728,1371.126099,0.023647,-0.041734,0.027068,86.767082,401.889832,1390.929077,-0.305780,0.168425,0.964894,212.323242,894.453369,1476.151123
22,0,0.102787,0.035344,-0.062559,10.865085,468.877899,1127.209839,-0.000501,-0.043665,0.064330,-99.980675,397.019287,1370.957520,0.018087,0.005581,0.018480,86.858284,401.895172,1390.194702,-0.306436,0.167097,0.952602,212.884216,896.348816,1479.234985
23,0,0.101532,0.035415,-0.060922,10.572490,469.095795,1127.371948,0.000451,-0.041452,0.069011,-100.451622,396.458374,1371.114136,0.035965,-0.013640,0.030912,86.399803,401.912048,1390.508545,-0.310668,0.171142,0.943853,213.385864,897.937988,1481.895630
24,0,0.099838,0.035014,-0.059064,10.318379,469.249176,1127.405396,0.005796,-0.048401,0.085247,-100.651787,395.811188,1370.872314,0.050888,-0.029291,0.053971,85.676117,402.069702,1390.947388,-0.314813,0.171630,0.935700,213.602661,899.282593,1484.127197
25,0,0.099008,0.035281,-0.057653,10.110609,469.423187,1127.441650,-0.000973,-0.046180,0.063529,-100.932983,395.413757,1370.875122,0.047158,-0.057258,0.065061,85.085686,402.117310,1391.676880,-0.317009,0.168342,0.929375,213.750290,900.458313,1485.929077
26,0,0.100270,0.035159,-0.055753,9.927823,469.620667,1127.483398,0.002820,-0.045242,0.072989,-101.259087,394.921570,1370.865845,0.012000,-0.031641,0.035381,84.736671,401.873962,1391.684814,-0.320819,0.167211,0.924641,213.637238,901.473389,1487.376221
27,0,0.099430,0.034810,-0.053712,9.741549,469.805939,1127.546387,-0.010161,-0.039515,0.053040,-101.274567,394.249390,1370.520752,0.018366,-0.037710,0.043716,84.289787,401.901031,1391.932129,-0.325260,0.164951,0.917160,213.403122,902.323120,1488.529785
28,0,0.100459,0.034661,-0.051438,9.586113,469.987366,1127.619995,-0.019843,-0.038103,0.036043,-101.300728,393.540924,1370.322021,0.022242,-0.042114,0.048947,83.970840,401.778992,1392.081665,-0.334242,0.161725,0.917581,213.110657,903.108765,1489.240723
