EX104
Date:,2025/01/17
Time:,12:08:01
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,ILIAC_R_X,ILIAC_R_Y,ILIAC_R_Z,ILIAC_L_X,ILIAC_L_Y,ILIAC_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z
1020,-210.318420,472.636322,430.949341,-256.031006,382.897461,509.051697,-253.046600,144.734421,500.070770,-189.669434,60.495399,428.726715
1021,-210.277176,472.656616,430.829254,-255.850479,382.995331,509.192017,-252.415787,144.813461,500.131927,-189.517410,60.535789,428.805969
1022,-210.302231,472.641937,430.635864,-255.506866,383.042786,509.285858,-252.138412,144.785568,500.262360,-189.443787,60.582188,428.875305
1023,-210.336349,472.609833,430.412781,-255.359848,383.071838,509.477997,-251.830612,144.805054,500.445648,-189.435760,60.670795,428.866669
1024,-210.336823,472.683472,430.233429,-254.693024,383.091370,509.406281,-251.599396,144.830002,500.746857,-189.470306,60.702839,428.988251
1025,-210.401611,472.850281,430.129974,-254.911224,383.277771,509.646240,-251.463470,144.950592,501.028595,-189.458862,60.753056,429.036652
1026,-210.431946,473.009064,429.986755,-254.856277,383.487854,509.713348,-251.302963,145.132187,501.305573,-189.616806,60.837822,429.113373
1027,-210.340302,473.143768,429.825378,-254.623657,383.774628,509.693268,-251.200043,145.316772,501.513336,-189.746124,60.966465,429.154968
1028,-210.321045,473.333923,429.695770,-254.504974,384.069305,509.671143,-251.142212,145.602219,501.761505,-189.904312,61.193035,429.169220
1029,-210.305801,473.575043,429.670715,-254.407867,384.363403,509.669739,-251.012405,145.822144,501.891785,-190.113617,61.373775,429.227509
1030,-210.356583,473.782623,429.608551,-254.142288,384.598572,509.596222,-250.914047,145.995758,501.950409,-190.253235,61.539490,429.304901
1031,-210.345383,473.958618,429.511932,-253.879501,384.858459,509.611725,-250.788071,146.111526,501.936707,-190.317703,61.746811,429.334564
1032,-210.323151,474.102234,429.455078,-253.682053,385.024963,509.533478,-250.755615,146.184860,501.988281,-190.389023,61.905323,429.327301
1033,-210.335648,474.206238,429.347565,-253.605331,385.211761,509.643646,-250.643356,146.295868,502.063019,-190.501266,62.060646,429.357941
1034,-210.345245,474.290192,429.290802,-253.591492,385.391235,509.716492,-250.600174,146.386642,502.147736,-190.547760,62.256413,429.345520
1035,-210.334976,474.382080,429.225800,-253.645874,385.637543,509.944275,-250.515732,146.487564,502.232971,-190.635361,62.415497,429.338226
1036,-210.272705,474.402039,429.068115,-253.674194,385.786163,510.002808,-250.420135,146.532913,502.337860,-190.681976,62.470425,429.333038
1037,-210.268204,474.445557,428.934021,-253.603424,385.842316,509.997894,-250.291687,146.569931,502.394562,-190.671097,62.510372,429.316956
1038,-210.207413,474.457550,428.775696,-253.418579,385.892883,510.048584,-250.154175,146.592346,502.534332,-190.659363,62.612862,429.272766
1039,-210.184814,474.456024,428.710663,-253.301392,385.926422,510.163971,-249.943436,146.612076,502.654724,-190.562180,62.720970,429.159576
1040,-210.131714,474.437256,428.572662,-253.172379,385.905853,510.167175,-249.707764,146.610092,502.754913,-190.513351,62.832256,429.107391
1041,-210.085968,474.391418,428.423279,-253.049637,385.883301,510.152679,-249.533981,146.652298,502.899536,-190.487198,62.949677,429.033691
