EX105
Date:,2025/01/17
Time:,12:13:37
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,ILIAC_R_X,ILIAC_R_Y,ILIAC_R_Z,ILIAC_L_X,ILIAC_L_Y,ILIAC_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z
998,-196.626114,488.044556,422.256927,-235.867813,400.077240,503.776031,-235.022354,160.185684,493.248077,-181.062378,74.278473,426.824799
999,-196.641113,488.040955,422.282227,-235.979050,400.034729,503.796234,-235.065643,160.169128,493.226135,-181.048889,74.273087,426.799377
1000,-196.589340,488.073578,422.325775,-235.882782,400.027374,503.662872,-235.128326,160.171188,493.165466,-181.080414,74.245575,426.801361
1001,-196.574051,488.087921,422.350983,-235.979919,400.047913,503.682556,-235.240982,160.175690,493.076324,-181.081848,74.244316,426.802734
1002,-196.551895,488.126251,422.330475,-236.152344,400.052216,503.645081,-235.386490,160.144730,493.065063,-181.119507,74.184433,426.815643
1003,-196.519623,488.159241,422.359619,-236.302048,400.034882,503.662659,-235.528000,160.097977,492.988525,-181.116760,74.143646,426.839966
1004,-196.506668,488.190460,422.436615,-236.599380,400.019287,503.718933,-235.707535,160.081100,492.968658,-181.116364,74.143127,426.840637
1005,-196.551788,488.252960,422.415558,-236.940857,400.025604,503.706268,-235.927551,160.015366,492.890869,-181.151093,74.049858,426.866974
1006,-196.551987,488.292694,422.402008,-237.332550,400.107025,503.837402,-236.217224,159.999069,492.870392,-181.140396,73.998283,426.919830
1007,-196.585846,488.342468,422.419495,-237.621307,400.101898,503.887939,-236.566788,159.987213,492.820770,-181.234512,73.898170,426.983887
1008,-196.650986,488.426727,422.429352,-237.732895,400.117676,503.808136,-236.963913,159.984055,492.840271,-181.271149,73.814911,427.040833
1009,-196.706345,488.450195,422.447876,-238.081268,400.217438,503.780457,-237.374390,160.028015,492.866364,-181.309433,73.774193,427.053253
1010,-196.735291,488.517242,422.420380,-238.624054,400.271240,503.789154,-237.524445,159.987946,492.782623,-181.346191,73.686035,427.064087
1011,-196.827179,488.561157,422.449554,-238.874268,400.307983,503.543396,-237.722198,160.002853,492.662933,-181.407822,73.577675,427.142273
1012,-196.986526,488.579559,422.479584,-238.969818,400.301453,503.196625,-237.997375,159.944336,492.529541,-181.497147,73.487167,427.266357
1013,-197.114609,488.631165,422.511658,-239.260574,400.155731,502.931305,-238.362488,159.847534,492.421051,-181.622711,73.351349,427.360016
1014,-197.240952,488.675110,422.546204,-239.763992,399.996277,502.851776,-238.958755,159.724030,492.371277,-181.767853,73.220612,427.487244
1015,-197.354645,488.717194,422.530518,-240.573639,400.044556,502.930603,-239.525757,159.633530,492.390594,-181.886032,73.188667,427.525452
1016,-197.511887,488.757233,422.584106,-241.255890,400.104645,502.978455,-240.128387,159.588760,492.270142,-182.013458,73.105438,427.597748
1017,-197.717758,488.777252,422.598694,-241.617813,400.179749,502.858185,-240.509842,159.583649,492.095947,-182.176697,73.064705,427.576538
1018,-197.829544,488.810608,422.686127,-242.055374,400.160889,502.660522,-240.866608,159.591904,492.017548,-182.246231,72.995323,427.562164
1019,-198.059113,488.836182,422.815613,-242.982864,400.226654,502.751740,-241.353271,159.551056,492.015472,-182.350403,72.952812,427.469818
1020,-198.284790,488.839630,422.912354,-243.771912,400.266876,502.608673,-242.010544,159.441986,492.063263,-182.575317,72.777809,427.561981
1021,-198.484512,488.837769,423.005646,-243.756729,400.161102,501.870239,-242.751022,159.449722,491.992096,-182.846298,72.574211,427.677185
1022,-198.597733,488.840973,423.136383,-243.893661,400.059326,501.571503,-243.217834,159.439133,491.877319,-183.153595,72.418053,427.749512
1023,-198.710724,488.797272,423.165924,-245.097183,400.140747,501.937469,-243.557953,159.465836,491.745453,-183.466217,72.243538,427.914307
1024,-198.858521,488.796692,423.240143,-245.913589,400.028412,501.960205,-244.010300,159.532745,491.612000,-183.735016,72.063667,428.102936
1025,-199.031281,488.815277,423.248322,-246.490768,400.072571,501.883423,-244.502274,159.470047,491.606110,-183.884766,71.929085,428.248840
1026,-199.081192,488.849701,423.376923,-247.262207,400.127625,501.539612,-245.217407,159.439880,491.766235,-184.063980,71.772224,428.431610
1027,-199.144852,488.894287,423.515961,-247.450485,400.200623,501.134827,-245.825226,159.392502,491.795837,-184.123978,71.740593,428.500488
1028,-199.156830,488.923279,423.668488,-248.160416,400.251617,500.991455,-246.066605,159.430603,491.516388,-184.139145,71.631622,428.568512
1029,-199.206650,489.019562,423.813568,-249.000244,400.322021,500.998383,-246.367416,159.388321,491.070618,-184.203781,71.565155,428.596802
1030,-199.241241,489.074280,423.927124,-249.080002,400.204651,500.663757,-246.722748,159.351440,490.865814,-184.209335,71.500999,428.601227
1031,-199.244370,489.122894,424.010437,-249.881775,400.240967,500.811920,-247.163284,159.250946,490.892853,-184.181183,71.376534,428.639252
1032,-199.283264,489.220093,424.135071,-250.297424,400.259338,500.664551,-247.691803,159.250595,490.900635,-184.208206,71.314156,428.642120
1033,-199.334747,489.270935,424.250427,-250.709610,400.282379,500.382935,-248.233139,159.269760,490.907623,-184.231781,71.272850,428.624603
1034,-199.373550,489.325439,424.357910,-251.232056,400.225342,500.279877,-248.563919,159.313324,490.853668,-184.236633,71.262741,428.628845
1035,-199.380432,489.327148,424.447937,-251.690582,400.192963,500.254639,-248.848923,159.364594,490.798584,-184.260452,71.218559,428.628510
1036,-199.382507,489.346649,424.523895,-252.338638,400.222473,500.267670,-249.125244,159.358551,490.767334,-184.298386,71.173943,428.626373
1037,-199.429535,489.398895,424.635010,-252.035599,400.037292,499.634125,-249.391785,159.310379,490.598267,-184.326431,71.103516,428.649994
1038,-199.459213,489.445862,424.701935,-252.243515,400.049713,499.476959,-249.797684,159.153976,490.548279,-184.412735,71.012054,428.667725
1039,-199.446121,489.436371,424.743469,-252.917236,400.205872,499.690979,-250.159775,159.005341,490.505859,-184.458832,70.948578,428.725952
1040,-199.446640,489.378998,424.777679,-253.379669,400.126099,499.533234,-250.602234,158.909760,490.552948,-184.613739,70.815712,428.814117
1041,-199.417999,489.309692,424.849854,-253.925400,400.136414,499.506927,-251.063812,158.816208,490.541321,-184.750183,70.665695,428.904480
1042,-199.473557,489.280121,424.873016,-254.498032,400.163055,499.513428,-251.403030,158.748306,490.468872,-184.901962,70.500290,429.004059
1043,-199.518799,489.235199,424.939362,-254.770340,400.168945,499.358948,-251.511383,158.679871,490.371490,-185.069611,70.393631,429.011353
1044,-199.478622,489.168518,424.987610,-254.632507,400.101410,498.993561,-251.616608,158.610779,490.306793,-185.196259,70.273598,428.999237
1045,-199.575836,489.149323,425.040466,-254.811340,400.020905,498.887512,-251.732086,158.564301,490.301300,-185.259247,70.132759,428.982452
1046,-199.583160,489.104431,425.059174,-255.547653,400.103760,499.139191,-251.840988,158.478806,490.269806,-185.337830,70.004372,428.969330
1047,-199.601089,489.058838,425.077118,-255.861237,400.064240,499.061188,-252.023987,158.380814,490.256836,-185.395645,69.941315,428.935028
1048,-199.581726,489.003448,425.144104,-255.998932,400.112610,499.125458,-252.173279,158.299683,490.222534,-185.414398,69.926346,428.869751
1049,-199.610947,488.912872,425.200287,-256.040283,400.047852,499.000977,-252.326263,158.200119,490.215240,-185.435562,69.865562,428.848907
1050,-199.637405,488.895966,425.266418,-256.151855,399.988159,499.025360,-252.512863,158.105148,490.183044,-185.504456,69.821236,428.811218
1051,-199.651337,488.853668,425.303467,-256.305145,399.956116,499.054138,-252.693481,158.017807,490.179077,-185.532166,69.758980,428.834076
1052,-199.678772,488.874695,425.311493,-256.494354,399.918701,499.104889,-252.836014,158.004532,490.159454,-185.585526,69.758728,428.825714
1053,-199.688385,488.882294,425.355621,-256.589020,399.854675,499.151550,-252.944138,157.964691,490.214142,-185.618134,69.716682,428.822693
1054,-199.743423,488.882843,425.368408,-256.754089,399.848663,499.181427,-253.019226,157.943237,490.144562,-185.641190,69.653122,428.894287
1055,-199.772156,488.886658,425.353973,-256.847290,399.836761,499.210724,-253.086472,157.931427,490.177094,-185.626984,69.647522,428.870270
1056,-199.816895,488.904755,425.387085,-257.008362,399.811676,499.213165,-253.184921,157.871445,490.207611,-185.581299,69.610924,428.877167
1057,-199.855957,488.915619,425.370941,-256.968323,399.760742,499.148346,-253.173904,157.856064,490.203064,-185.541077,69.618492,428.860962
1058,-199.929703,488.939911,425.383423,-257.064301,399.744934,499.169739,-253.172379,157.820694,490.186768,-185.457413,69.639664,428.799500
1059,-199.982925,488.963593,425.398224,-257.180511,399.722870,499.244934,-253.166351,157.797485,490.177338,-185.353027,69.627350,428.776794
1060,-199.956390,488.967194,425.399231,-257.285004,399.704926,499.280487,-253.149139,157.720459,490.163727,-185.249481,69.612778,428.757019
1061,-199.986511,488.996277,425.429779,-257.387360,399.666779,499.334351,-253.133560,157.692230,490.129730,-185.097061,69.607079,428.688416
1062,-200.040512,489.003143,425.504608,-257.455017,399.625885,499.306549,-253.078278,157.656647,490.077820,-185.011124,69.613289,428.675720
1063,-200.079529,488.962128,425.520233,-257.577423,399.651337,499.349304,-253.066223,157.607620,490.060394,-184.916412,69.592522,428.644409
1064,-200.100479,488.934631,425.542816,-257.609711,399.612946,499.352386,-253.046432,157.548538,490.053711,-184.860443,69.521011,428.633057
1065,-200.089996,488.923798,425.563873,-257.676361,399.495636,499.322327,-252.961456,157.498367,490.042511,-184.831177,69.518021,428.626617
1066,-200.161957,488.872864,425.606781,-257.674194,399.434448,499.349121,-252.950409,157.449814,490.065643,-184.790070,69.526840,428.607056
1067,-200.263382,488.865997,425.644073,-257.722931,399.436554,499.344269,-252.919357,157.438660,490.106873,-184.764099,69.522598,428.575623
1068,-200.339386,488.841919,425.691650,-257.704590,399.390472,499.442474,-252.880905,157.388794,490.146851,-184.744812,69.488556,428.615387
1069,-200.406815,488.773010,425.756470,-257.659790,399.333862,499.506500,-252.876312,157.325043,490.205872,-184.758514,69.456718,428.640198
1070,-200.485321,488.747406,425.813324,-257.733337,399.272430,499.547821,-252.834930,157.281631,490.255096,-184.761032,69.435722,428.623993
1071,-200.620499,488.742371,425.805603,-257.791779,399.260498,499.597687,-252.821838,157.236801,490.234344,-184.773743,69.407021,428.617798
1072,-200.722610,488.655670,425.801636,-257.808502,399.174072,499.613068,-252.806549,157.168747,490.252960,-184.771622,69.370651,428.618866
1073,-200.728058,488.593079,425.811798,-257.569702,399.263336,499.932159,-252.805130,157.052185,490.296661,-184.827667,69.355827,428.583282
1074,-200.788330,488.578583,425.869141,-257.529907,399.199005,500.063965,-252.816711,156.991150,490.385712,-184.845139,69.311798,428.608337
1075,-200.902695,488.551544,425.884735,-257.675018,399.005768,499.856598,-252.828369,156.953873,490.356842,-184.825989,69.272911,428.585297
1076,-200.972565,488.532715,425.886963,-257.660370,398.988403,499.812897,-252.789093,156.931610,490.311035,-184.882858,69.262741,428.573761
1077,-200.927902,488.495117,425.919800,-257.676086,398.909088,499.875549,-252.809174,156.870422,490.356110,-184.879898,69.214645,428.572021
1078,-200.977982,488.477692,425.999420,-257.614502,398.883270,499.981171,-252.804413,156.816223,490.450714,-184.893936,69.182922,428.565430
1079,-201.033386,488.472595,426.025238,-257.618011,398.902985,499.931519,-252.795990,156.803833,490.395203,-184.896133,69.168762,428.541534
1080,-201.063110,488.458252,425.980164,-257.646515,398.872681,499.940735,-252.823898,156.830139,490.357513,-184.924377,69.143082,428.563019
1081,-201.080811,488.420990,425.995667,-257.636475,398.867065,499.992371,-252.811188,156.800247,490.412842,-184.925583,69.141914,428.564819
1082,-201.077881,488.377991,426.011383,-257.626251,398.817078,500.074921,-252.779922,156.781342,490.447144,-184.925064,69.142456,428.564178
1083,-201.139084,488.395172,426.004639,-257.607697,398.755219,500.150208,-252.770126,156.752869,490.450409,-184.925003,69.142517,428.564087
1084,-201.207687,488.424347,426.043518,-257.614777,398.787750,500.097260,-252.786758,156.763046,490.459839,-184.925018,69.142509,428.564117
1085,-201.266968,488.431519,426.029694,-257.610077,398.772491,500.120972,-252.787460,156.763580,490.460327,-184.923233,69.156456,428.588043
1086,-201.258011,488.429199,426.003418,-257.595398,398.750397,500.199646,-252.757294,156.750977,490.472290,-184.928497,69.191803,428.569031
1087,-201.286636,488.430573,426.057129,-257.599731,398.731354,500.232483,-252.756577,156.750671,490.472321,-184.962051,69.160957,428.597198
1088,-201.272736,488.506775,426.051422,-257.600037,398.766632,500.174927,-252.766846,156.756943,490.378296,-184.975800,69.177185,428.596130
1089,-201.263382,488.522400,426.006531,-257.555145,398.799988,500.120819,-252.806366,156.786453,490.365082,-184.957458,69.212967,428.593018
1090,-201.193268,488.522583,425.969604,-257.535797,398.806580,500.140625,-252.812210,156.764755,490.370209,-184.995682,69.217018,428.602386
1091,-201.173355,488.543304,425.996124,-257.504974,398.854797,500.257324,-252.839767,156.820587,490.350952,-185.011047,69.214363,428.583313
1092,-201.195724,488.686188,426.032959,-257.524170,398.908966,500.194550,-252.875580,156.907990,490.270264,-185.028824,69.269402,428.560822
1093,-201.199921,488.718414,426.017639,-257.491394,398.910980,500.173492,-252.920502,156.957291,490.282257,-185.028732,69.271263,428.559601
1094,-201.118546,488.727264,425.979218,-257.465546,398.936554,500.188843,-252.921356,156.968445,490.258179,-185.044128,69.273537,428.587769
1095,-201.120392,488.791290,425.994476,-257.452148,398.960327,500.184448,-252.975861,157.019165,490.241821,-185.063477,69.326035,428.564301
1096,-201.138840,488.844543,426.009735,-257.397064,399.144165,500.467163,-252.986481,157.065475,490.177246,-185.092300,69.301155,428.584625
1097,-201.117767,488.877258,426.039642,-257.356689,399.180237,500.425110,-253.025604,157.076279,490.124084,-185.093170,69.299683,428.586945
1098,-201.084824,488.863251,425.986694,-257.382935,399.112946,500.270721,-253.047272,157.084351,490.097717,-185.189392,69.278816,428.626099
1099,-200.996124,488.828857,426.006500,-257.337036,399.200256,500.404755,-253.051392,157.087067,490.092468,-185.195663,69.285324,428.611389
1100,-201.031296,488.817291,426.004974,-257.356964,399.134430,500.260071,-253.051270,157.103912,490.031067,-185.224304,69.300705,428.645599
1101,-201.038467,488.837036,425.991241,-257.352386,399.100220,500.263519,-253.100464,157.122559,490.052490,-185.241669,69.274544,428.661682
1102,-200.984497,488.823486,425.975311,-257.369354,399.135345,500.261261,-253.145020,157.103287,490.035553,-185.270493,69.246979,428.684235
1103,-200.957321,488.826416,425.902161,-257.364014,399.232971,500.420959,-253.155151,157.111679,489.990845,-185.325653,69.253044,428.723022
1104,-200.965042,488.849884,425.883423,-257.336487,399.146423,500.248322,-253.165680,157.108978,489.951538,-185.313477,69.235832,428.672791
1105,-200.951797,488.864471,425.909332,-257.360504,399.156036,500.238861,-253.190720,157.133209,489.944733,-185.355881,69.213509,428.720154
1106,-200.925522,488.836090,425.902374,-257.365265,399.251038,500.391052,-253.216461,157.127426,489.938721,-185.409760,69.232185,428.709198
1107,-200.893524,488.851105,425.898804,-257.327545,399.156189,500.226288,-253.226257,157.120270,489.903625,-185.465317,69.235062,428.678650
1108,-200.942169,488.853668,425.927643,-257.213379,399.152710,500.188049,-253.215027,157.156189,489.870087,-185.561584,69.265213,428.630554
1109,-200.970245,488.869537,425.935455,-257.277313,399.172089,500.232361,-253.213959,157.157211,489.905487,-185.621292,69.272911,428.641083
1110,-200.929337,488.843536,425.954498,-257.251556,399.155090,500.252808,-253.204987,157.147675,489.951477,-185.688629,69.278923,428.630981
1111,-200.935928,488.792664,425.894196,-257.258698,399.185760,500.294373,-253.183243,157.175171,489.955750,-185.713379,69.267181,428.651215
1112,-200.973648,488.753387,425.841827,-257.161530,399.206543,500.271698,-253.135956,157.196762,489.931183,-185.713440,69.266403,428.652313
1113,-201.006226,488.750763,425.845795,-257.197296,399.227142,500.287994,-253.109955,157.202179,489.952850,-185.754593,69.269913,428.642914
1114,-201.004776,488.700348,425.816071,-257.141144,399.215607,500.327393,-253.064941,157.152298,489.965149,-185.772339,69.276482,428.605438
1115,-200.975525,488.646362,425.754761,-257.049805,399.194031,500.337524,-253.009766,157.127121,490.009674,-185.732529,69.273811,428.594208
1116,-200.971695,488.677216,425.754120,-256.970734,399.219025,500.336426,-252.953430,157.149185,489.998627,-185.688080,69.279427,428.584656
1117,-201.002274,488.724640,425.725586,-256.877960,399.223206,500.313385,-252.847946,157.195648,489.973785,-185.619629,69.277527,428.576050
1118,-200.979218,488.670929,425.684357,-256.755127,399.217041,500.330109,-252.779236,157.203781,490.003296,-185.539886,69.283257,428.547882
1119,-200.926865,488.645813,425.670166,-256.535889,399.294006,500.271118,-252.639847,157.226669,490.019257,-185.453278,69.349609,428.524048
1120,-200.920609,488.657959,425.675049,-256.359222,399.294739,500.285431,-252.543442,157.197067,490.010895,-185.407471,69.375465,428.471680
1121,-200.881027,488.622772,425.591064,-256.152283,399.338928,500.251923,-252.355972,157.279160,489.940002,-185.344284,69.435349,428.416962
1122,-200.879608,488.621368,425.588104,-255.928253,399.299866,500.201477,-252.177933,157.313446,490.007599,-185.274628,69.475098,428.407654
1123,-200.835434,488.590393,425.506073,-255.743286,399.337402,500.233063,-252.035385,157.358597,490.028595,-185.233734,69.510872,428.389465
1124,-200.839050,488.621948,425.463806,-255.550293,399.347198,500.261780,-251.813889,157.458832,490.040985,-185.167358,69.623100,428.305969
1125,-200.829269,488.637573,425.423798,-255.357727,399.268768,500.202179,-251.573425,157.512070,490.008118,-185.127655,69.669479,428.269653
1126,-200.830063,488.648315,425.354553,-255.185211,399.322296,500.359772,-251.354980,157.539429,490.048187,-185.064682,69.729805,428.216827
1127,-200.784134,488.597107,425.266296,-254.849899,399.252960,500.167877,-251.054886,157.585007,490.050690,-185.039413,69.798271,428.173950
1128,-200.826569,488.504120,425.158325,-254.747162,399.257874,500.321259,-250.721817,157.516815,490.085541,-185.002396,69.867088,428.085114
1129,-200.862991,488.494507,424.989960,-254.197159,399.325500,500.241699,-250.326645,157.518753,490.144012,-184.945572,70.012413,427.985382
1130,-200.829651,488.344116,424.809814,-253.516037,399.402008,500.139557,-249.963303,157.590286,490.132813,-184.916656,70.051041,427.942657
1131,-200.793976,488.205475,424.615875,-253.001831,399.495331,499.965057,-249.526062,157.663940,490.200562,-184.819183,70.165207,427.822418
1132,-200.682343,488.070038,424.387634,-252.770630,399.508789,500.022034,-249.015976,157.751953,490.226563,-184.671661,70.265518,427.773438
1133,-200.657028,487.968994,424.221191,-252.301376,399.572327,500.176636,-248.514481,157.834549,490.297089,-184.556534,70.332275,427.671204
1134,-200.519974,487.900299,424.094574,-251.735062,399.598907,500.179474,-247.809265,157.791687,490.260406,-184.434006,70.472122,427.587952
1135,-200.423889,487.848450,423.993103,-250.759354,399.644135,500.007965,-247.161072,157.932724,490.195587,-184.333145,70.554932,427.590363
1136,-200.361816,487.779175,423.874634,-250.070602,399.603699,500.021545,-246.396133,158.119659,490.146881,-184.169342,70.655350,427.460358
1137,-200.264648,487.733185,423.799500,-249.410461,399.497528,500.136139,-245.738678,158.243805,490.263641,-183.880981,70.916847,427.218292
1138,-200.189438,487.714691,423.763000,-248.223236,399.574371,500.098785,-244.913361,158.241074,490.394470,-183.742020,71.027405,427.174713
1139,-200.102142,487.689178,423.696350,-247.220627,399.610321,499.761963,-244.125946,158.361694,490.467377,-183.638718,71.122002,427.129639
1140,-199.864929,487.655121,423.583710,-246.526169,399.527740,499.944489,-243.391907,158.433167,490.381836,-183.322250,71.358498,426.970154
1141,-199.635345,487.634552,423.534973,-245.712997,399.604218,500.087341,-242.496323,158.333984,490.543488,-183.032349,71.572037,426.882904
1142,-199.389496,487.606537,423.489990,-244.762985,399.778839,500.174774,-241.569748,158.481094,490.471741,-182.593277,71.773788,426.710419
1143,-199.080444,487.564270,423.457275,-243.734100,399.657745,500.054230,-240.651398,158.820084,490.694641,-182.146622,72.040131,426.574097
1144,-198.800156,487.531769,423.301758,-242.707062,399.854004,499.977539,-239.712296,159.037796,490.816559,-181.706589,72.323288,426.561432
1145,-198.575668,487.477570,423.202911,-241.753387,400.013367,500.124481,-238.529312,159.294876,490.700897,-181.452530,72.567207,426.533630
1146,-198.365234,487.403015,423.137085,-240.927017,400.065125,500.373993,-237.779526,159.404617,490.827301,-181.219574,72.795097,426.576660
1147,-198.062653,487.301636,422.962097,-239.584167,400.191040,500.220612,-236.737091,159.216934,490.980316,-181.085800,73.005287,426.661316
1148,-197.762421,487.197388,422.845886,-238.701645,400.242859,500.281830,-235.682022,159.216797,490.937012,-180.628555,73.335075,426.613708
1149,-197.442017,487.065643,422.654999,-237.939407,400.360626,500.455811,-234.903122,159.208038,490.853668,-179.916473,73.734543,426.389526
1150,-197.115005,487.023285,422.607544,-236.669769,400.471069,500.293335,-233.876297,159.262039,490.824036,-179.468109,73.961105,426.349518
1151,-196.882874,487.040649,422.487152,-235.843628,400.459045,500.390442,-232.745041,159.673294,490.738556,-179.035477,74.270264,426.178741
1152,-196.614441,486.990387,422.314056,-234.455307,400.723877,500.169250,-231.942978,159.996887,491.073364,-178.675400,74.532234,426.036133
1153,-196.472946,486.941467,422.119904,-233.444031,400.758301,500.018555,-230.596130,160.228485,491.078003,-178.524353,74.780037,425.940979
1154,-196.287827,486.860291,421.930023,-232.568695,400.935974,500.755310,-229.588943,160.327011,490.985352,-178.252899,75.230820,425.835510
1155,-196.203934,486.803284,421.857941,-230.768753,400.803833,500.323456,-228.603287,160.243820,491.278198,-177.836426,75.602898,425.664703
1156,-195.998245,486.736237,421.837830,-230.414810,401.248688,501.048004,-227.382874,160.290207,491.148499,-177.601425,75.857903,425.641083
1157,-195.735443,486.655182,421.838531,-228.843628,401.412140,500.567474,-226.584457,160.367508,491.189362,-177.316071,76.086388,425.584564
1158,-195.422714,486.529877,421.777557,-227.936966,401.572174,500.711853,-225.233841,160.386749,490.948181,-176.973679,76.386909,425.385559
1159,-194.947769,486.404938,421.697693,-226.740326,401.585297,500.466034,-224.105270,160.620468,491.006256,-176.606720,76.661911,425.187866
1160,-194.411591,486.097748,421.510986,-225.418259,401.788635,500.599548,-223.037704,160.634613,491.101013,-176.284729,76.752884,425.235352
1161,-193.917999,485.797638,421.195404,-224.221634,401.654816,500.586029,-221.562393,160.807831,490.840027,-175.920227,77.039505,425.140411
1162,-193.471481,485.582642,421.005005,-222.540421,401.834137,500.689270,-220.651825,160.895325,491.147827,-175.368866,77.408340,424.897064
1163,-193.093918,485.415741,420.837891,-221.568298,401.923462,500.568176,-219.100098,161.038803,491.178040,-174.867538,77.711662,424.561890
1164,-192.760452,485.257904,420.763733,-220.107117,402.171234,500.386292,-218.225723,161.064896,491.132843,-174.597763,77.885941,424.477112
1165,-192.245087,485.067200,420.615814,-219.009949,402.202271,500.483459,-216.723801,161.035797,491.073517,-174.419098,77.977699,424.606384
1166,-191.582184,484.913544,420.516357,-217.691483,402.282898,500.551514,-215.425964,161.157761,490.916748,-174.060165,78.194061,424.700317
1167,-191.121674,484.789063,420.370697,-216.463058,402.306122,500.378052,-214.166519,161.160172,490.957916,-173.189423,78.617126,424.326447
1168,-190.579483,484.614532,420.168335,-214.875015,402.560333,499.990570,-212.914734,161.354736,490.632782,-172.275085,79.153191,423.795685
1169,-190.032852,484.408173,419.975220,-213.874893,402.599182,499.903076,-211.616989,161.232666,490.560699,-171.935715,79.193932,423.788239
1170,-189.500366,484.329651,419.900269,-212.297272,402.951111,499.579559,-210.377426,161.229828,490.480896,-171.684692,79.361534,423.757782
1171,-188.872345,484.220398,419.656281,-211.301010,402.955353,499.523010,-209.025299,161.236496,490.256775,-171.101456,79.657257,423.387115
1172,-188.216736,484.175385,419.485046,-210.019150,403.120758,499.351501,-207.834305,161.195648,490.305969,-170.531891,79.919571,423.089783
1173,-187.636612,484.125580,419.398529,-208.872162,403.200256,499.456940,-206.478653,161.433060,490.324310,-169.732391,80.182854,422.738220
1174,-187.233917,484.046692,419.276581,-207.616577,403.422852,499.566711,-205.305450,161.479965,490.537567,-169.133896,80.159386,422.762360
1175,-186.826553,483.988556,419.086548,-206.537415,403.622253,499.263824,-204.236099,161.617844,490.472900,-168.508011,80.277016,422.681641
1176,-186.375824,483.859039,418.880005,-205.726257,403.712280,499.136017,-203.012054,161.688309,490.258606,-168.210464,80.375252,422.611908
1177,-185.823364,483.709106,418.668701,-204.356384,403.975220,498.765839,-202.267593,161.682953,490.129608,-167.570084,80.800545,422.342010
1178,-185.282745,483.612549,418.556519,-203.552536,404.011871,498.697266,-201.059143,161.620697,490.002625,-166.789993,81.045204,422.151672
1179,-184.859528,483.586060,418.461304,-202.776154,404.047028,498.787689,-200.149658,161.579437,489.846161,-165.895874,81.262703,421.776489
1180,-184.488998,483.642792,418.372742,-201.695023,404.297974,498.288116,-199.306824,161.498657,489.689697,-165.694427,81.299263,421.711639
1181,-184.225479,483.656860,418.281860,-200.997223,404.399353,498.033936,-198.537155,161.526352,489.516632,-165.625748,81.168610,421.760406
1182,-183.879883,483.675934,418.093445,-200.051727,404.370148,497.564026,-197.717026,161.572327,489.296661,-165.295807,81.289627,421.499512
1183,-183.525162,483.773590,417.946503,-199.674561,404.396423,497.579132,-197.192963,161.551346,489.158630,-164.690842,81.513145,421.300201
1184,-183.185730,483.818756,417.717499,-198.879227,404.676819,497.071838,-196.733704,161.559067,489.027252,-164.177063,81.679878,421.093353
1185,-182.867401,483.848358,417.497009,-198.264542,404.756714,496.708008,-196.438950,161.607086,488.948853,-163.667282,81.744820,420.862427
1186,-182.568359,483.828430,417.358002,-197.749939,404.795013,496.463593,-195.882370,161.613251,488.791016,-163.329819,81.775787,420.691467
1187,-182.285172,483.783203,417.261810,-197.386612,404.764160,496.440765,-195.379272,161.638306,488.643372,-163.112076,81.696030,420.566223
1188,-182.077103,483.804901,417.171234,-197.205795,404.694061,496.529968,-195.034454,161.712189,488.575928,-162.882904,81.714523,420.356903
1189,-181.900970,483.825775,417.127411,-196.845703,404.757385,496.391724,-194.757111,161.717834,488.503662,-162.672058,81.743126,420.191437
1190,-181.722488,483.763214,417.081207,-196.477402,404.861938,496.349518,-194.465103,161.726898,488.440216,-162.525208,81.672997,420.078827
1191,-181.621964,483.713257,417.118744,-196.046936,404.862152,496.325012,-194.284058,161.691696,488.484497,-162.474487,81.632294,420.027649
