EX201
Date:,2025/01/17
Time:,10:52:17
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,ANK_R_X,ANK_R_Y,ANK_R_Z,HIP_R_X,HIP_R_Y,HIP_R_Z,ANK_L_X,ANK_L_Y,ANK_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,HEA_R_X,HEA_R_Y,HEA_R_Z,HAN_R_X,HAN_R_Y,HAN_R_Z,HEA_L_X,HEA_L_Y,HEA_L_Z,HAN_L_X,HAN_L_Y,HAN_L_Z
1028,623.826294,608.995422,-2.142998,234.303864,634.327515,341.759796,620.969604,285.908905,10.604235,232.569977,259.984955,362.857880,-416.578613,533.364197,496.195618,-350.557373,635.239685,-44.216831,-410.520905,388.830688,498.953156,-350.716797,237.245377,-43.114056
1029,623.793579,608.850281,-2.027201,233.925491,633.929626,341.894287,620.954346,285.771149,10.359962,232.377563,259.527100,362.670349,-417.016754,532.650452,496.265533,-350.479553,635.187317,-44.225227,-410.953461,388.030121,498.856934,-350.773529,237.173660,-43.145237
1030,623.846069,608.686707,-1.961355,233.528351,633.567993,342.099518,621.029724,285.604736,10.052732,232.319168,259.159882,362.382874,-417.574066,531.444519,496.016449,-350.478424,635.150940,-44.225079,-411.347260,387.350159,498.498840,-350.782288,237.171982,-43.175430
1031,623.880371,608.503479,-1.985758,233.156647,633.094727,342.103760,621.000061,285.409515,9.638121,232.236923,258.766449,362.200287,-417.823090,530.875000,495.962891,-350.519409,635.119141,-44.156792,-411.751190,386.584106,498.151611,-350.812347,237.059494,-43.240799
1032,623.913391,608.437927,-1.941100,232.583466,632.594727,342.006165,621.048218,285.187195,9.309728,232.049438,258.382843,361.984375,-418.091797,530.302429,495.974915,-350.513641,635.090759,-44.212559,-412.587891,385.487396,497.634338,-350.838959,236.949112,-43.274502
1033,623.949463,608.332703,-1.991994,232.076202,632.043396,341.920776,621.108398,284.995239,9.155776,231.820374,257.558289,362.149780,-418.542358,529.417542,495.854462,-350.539734,634.956421,-44.181908,-412.972351,384.827179,497.540955,-350.802399,236.800201,-43.324863
1034,624.012207,608.157959,-2.085406,231.572968,631.518921,341.998901,621.156372,284.881348,8.985632,231.723770,256.934052,362.286499,-418.810364,528.457153,495.559265,-350.569611,634.880798,-44.147640,-413.371552,384.120483,497.438080,-350.787354,236.671310,-43.335724
1035,624.075439,608.021423,-2.236242,231.108734,631.148193,342.236267,621.283752,284.724854,8.755691,231.706940,256.526428,362.339294,-418.931915,527.787109,495.525635,-350.584045,634.780212,-44.131573,-413.901306,383.308899,496.899170,-350.731781,236.591599,-43.356617
1036,624.114685,607.903564,-2.351150,230.645905,630.832092,342.369812,621.406860,284.517883,8.492367,231.751785,256.068665,362.325348,-419.358948,527.045959,495.354431,-350.601776,634.668152,-44.158401,-414.097656,382.496490,496.424469,-350.729370,236.438721,-43.394459
1037,624.115540,607.835266,-2.447080,230.123428,630.303345,342.298431,621.500610,284.423431,8.235213,231.747375,255.725403,362.231720,-419.739288,525.931946,494.856110,-350.600555,634.540344,-44.174026,-414.341370,381.670258,496.009003,-350.743317,236.369232,-43.410625
1038,624.103333,607.775391,-2.515773,229.708069,629.610901,342.170380,621.600586,284.228485,8.162559,231.645844,255.360794,362.053009,-420.085785,525.020691,494.520569,-350.622467,634.373779,-44.171970,-414.701691,380.781097,495.663177,-350.770782,236.294678,-43.409744
1039,624.102722,607.774170,-2.517342,229.323929,629.081665,342.015137,621.684937,284.114288,8.037107,231.519272,254.896103,361.916779,-420.601379,524.093628,494.170349,-350.609314,634.314209,-44.206409,-415.048950,379.961578,495.407227,-350.720490,236.194595,-43.427139
1040,624.147644,607.760010,-2.514565,228.924316,628.776001,342.183533,621.787048,284.060059,7.862032,231.351730,254.352829,361.831787,-421.002014,523.391418,493.776337,-350.620300,634.230652,-44.181667,-415.284973,378.765381,495.501404,-350.730286,236.127213,-43.419163
1041,624.112305,607.759766,-2.577027,228.484711,628.445190,342.412628,621.850586,284.098206,7.770306,231.173370,253.919098,361.902679,-421.387085,522.322021,493.342438,-350.620331,634.180786,-44.191753,-415.649506,377.972778,495.402039,-350.733246,236.091522,-43.413376
1042,624.109375,607.756958,-2.581529,228.150833,628.137024,342.527618,621.873291,284.058838,7.705042,230.997330,253.501846,361.988037,-421.894745,521.483948,493.070190,-350.623108,634.086243,-44.232082,-415.835541,377.267822,494.632111,-350.746338,236.102585,-43.432827
1043,624.125854,607.766235,-2.609475,227.795334,627.806213,342.530823,621.914917,284.068451,7.671633,230.796066,252.975861,362.037018,-422.274078,521.084167,493.025909,-350.653076,634.010864,-44.243587,-416.084595,376.821167,493.970123,-350.769012,236.108002,-43.423664
1044,624.092163,607.786804,-2.610591,227.510040,627.381775,342.439301,621.915466,284.131561,7.638828,230.734833,252.495392,362.039093,-422.720459,520.352051,492.801392,-350.626343,633.928406,-44.264587,-416.445831,375.977539,493.947144,-350.782898,236.183990,-43.368801
1045,624.125122,607.837891,-2.635889,227.219421,626.867615,342.427521,621.978638,284.246643,7.606822,230.758087,252.270264,361.955719,-423.232758,519.402283,492.422180,-350.649994,633.814636,-44.250866,-416.802185,375.177582,494.020416,-350.762848,236.286057,-43.370888
1046,624.114990,607.870972,-2.712006,226.935471,626.328613,342.446289,621.974854,284.350708,7.648630,230.706009,251.976486,361.813934,-423.652985,518.957703,492.232758,-350.660248,633.722229,-44.222202,-417.229248,374.697845,493.551971,-350.785919,236.182419,-43.384319
1047,624.146118,607.961182,-2.779942,226.743225,626.031372,342.528290,622.026978,284.465149,7.627206,230.685196,251.700485,361.615906,-424.029877,518.514282,492.046204,-350.633026,633.685425,-44.211044,-417.754181,374.092407,493.295746,-350.769470,236.084717,-43.401920
1048,624.193542,608.015137,-2.878771,226.608215,625.763184,342.657928,622.092896,284.607147,7.678061,230.561981,251.374817,361.405273,-424.351440,518.037903,491.749268,-350.637695,633.592590,-44.183357,-417.850281,373.729492,492.980896,-350.735138,236.016922,-43.329933
1049,624.279724,608.077942,-2.917339,226.437164,625.469910,342.729004,622.131348,284.733704,7.765638,230.509140,251.126099,361.312134,-424.774963,517.496460,491.475708,-350.654877,633.494690,-44.156826,-417.984528,373.344696,492.505585,-350.702759,235.992508,-43.314861
