EX202
Date:,2025/01/17
Time:,11:00:53
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,ANK_R_X,ANK_R_Y,ANK_R_Z,HIP_R_X,HIP_R_Y,HIP_R_Z,ANK_L_X,ANK_L_Y,ANK_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,HEA_R_X,HEA_R_Y,HEA_R_Z,HAN_R_X,HAN_R_Y,HAN_R_Z,HEA_L_X,HEA_L_Y,HEA_L_Z,HAN_L_X,HAN_L_Y,HAN_L_Z
1007,523.208252,621.639954,3.815680,158.184052,630.540833,339.705597,534.661011,317.627319,11.051825,177.989960,253.542267,360.066345,-491.941620,509.925964,515.654724,-340.810760,622.850281,-44.839581,-478.717072,366.703796,511.977600,-340.206207,237.771164,-43.881458
1008,523.213257,621.722778,3.660242,158.061874,630.577148,339.680756,534.656738,316.920258,10.898550,177.745514,253.690689,360.031982,-492.000427,509.654724,515.654968,-340.811981,622.822327,-44.858120,-478.766327,366.375488,512.131104,-340.250000,237.680527,-43.989784
1009,523.133057,621.813538,3.493354,157.873840,630.652039,339.674072,534.634888,316.150238,10.581990,177.624283,253.762070,360.025482,-492.015411,509.428497,515.707825,-340.809540,622.803345,-44.837879,-478.862427,366.040222,512.225952,-340.282104,237.601059,-44.003860
1010,523.082581,621.949524,3.331189,157.754913,630.685852,339.708923,534.531921,315.545990,10.155933,177.498520,253.805038,360.053192,-492.119507,509.122314,515.686401,-340.805206,622.761475,-44.839317,-479.015594,365.517029,512.454651,-340.339722,237.535263,-44.036579
1011,522.982117,622.113342,3.209773,157.596970,630.654968,339.660126,534.352539,315.192352,9.712327,177.390457,253.835938,360.041992,-492.158203,508.803925,515.638550,-340.846039,622.721619,-44.825203,-479.127472,365.139252,512.559814,-340.362183,237.445236,-44.074181
1012,522.966492,622.238037,3.108771,157.388580,630.679321,339.651337,534.398438,314.941925,9.457849,177.390244,253.858658,360.137390,-492.114807,508.596191,515.493103,-340.876648,622.693359,-44.774616,-479.149048,364.878296,512.502930,-340.372253,237.383148,-44.101730
1013,522.929321,622.391418,2.994296,157.145065,630.708191,339.644531,534.485962,314.588013,9.289277,177.384232,253.930496,360.137024,-492.097992,508.426910,515.481018,-340.879639,622.605591,-44.770317,-478.967621,364.579895,512.532471,-340.371643,237.315521,-44.168854
1014,522.894531,622.557800,2.949796,157.037933,630.716309,339.698212,534.656494,313.908417,9.080416,177.463776,253.974686,360.133087,-492.019165,508.246307,515.333252,-340.841400,622.584473,-44.761883,-478.967468,364.365997,512.379822,-340.352631,237.229568,-44.134987
1015,522.933838,622.705872,2.846886,156.872253,630.754211,339.711395,534.702087,313.297821,8.897637,177.552261,254.048737,360.165192,-492.035797,508.070007,515.259155,-340.832703,622.555603,-44.764317,-478.901276,364.097778,512.267578,-340.366547,237.177261,-44.119846
1016,522.981628,622.789307,2.763323,156.816116,630.764404,339.682037,534.746643,312.892578,8.735696,177.654556,254.097351,360.090698,-492.034912,507.978638,515.152222,-340.824707,622.536926,-44.767788,-478.970886,363.880219,512.125549,-340.369293,237.188232,-44.142864
1017,523.056396,622.871704,2.717514,156.679565,630.822632,339.700378,534.782410,312.603882,8.706796,177.730682,254.153778,360.034882,-492.015625,507.833130,515.066956,-340.871368,622.504395,-44.753590,-479.159607,363.768799,511.812592,-340.362030,237.134445,-44.210560
1018,523.075317,622.880981,2.687453,156.639740,630.845520,339.703430,534.776794,312.402191,8.680975,177.794815,254.174530,360.038940,-491.992371,507.739777,515.061279,-340.842041,622.495422,-44.721355,-479.217041,363.898315,511.488739,-340.334595,237.125046,-44.202026
