EX301
Date:,2000/01/01
Time:,00:00:00
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,KNE_R_X,KNE_R_Y,KNE_R_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,KNE_L_X,KNE_L_Y,KNE_L_Z
1076,-17.263685,593.101135,87.777809,-257.347626,592.489868,392.291382,6.285991,214.278244,58.906498,-241.783813,175.603317,378.957184
1077,-16.740707,593.324585,87.459625,-256.847382,592.914246,392.153076,6.397621,214.473877,59.110222,-241.832596,176.036819,379.003113
1078,-16.219896,593.358887,86.996223,-256.315308,593.230408,391.971191,6.519381,214.713089,59.319172,-241.960175,176.604248,379.041107
1079,-15.770351,593.586121,86.776886,-255.773773,593.458008,391.677460,6.611981,214.931015,59.603226,-242.079529,177.247070,379.084595
1080,-15.276545,593.885437,86.579010,-255.367126,593.763184,391.367706,6.718390,215.130875,59.768223,-242.272751,177.993790,378.923279
1081,-14.893759,594.343506,86.766525,-255.037460,593.991699,391.244781,6.829449,215.383331,59.908947,-242.495117,178.617325,379.106354
1082,-14.414741,594.406738,86.625504,-254.548584,594.259705,391.195587,7.018639,215.539948,60.053474,-242.701553,179.354996,379.195496
1083,-13.907568,594.342285,86.305450,-254.178253,594.480103,391.220459,7.110059,215.665665,60.195835,-242.824966,180.198044,379.158844
1084,-13.287744,594.343750,85.897530,-253.651108,594.675842,391.156189,7.144024,215.674530,60.243965,-243.024185,180.885864,379.161041
1085,-12.710002,594.501099,86.100624,-253.344513,594.736267,391.272034,7.224637,215.692490,60.255589,-242.989883,181.752533,379.175354
1086,-12.116873,594.613159,86.074677,-252.949203,594.733032,391.214722,7.324146,215.571838,60.314381,-243.028793,182.767899,379.374939
1087,-11.555132,594.611633,86.167023,-252.359100,594.776672,391.100616,7.385490,215.541428,60.322357,-243.216797,183.955521,379.156982
1088,-11.089762,594.473877,86.316101,-251.893738,594.841187,391.045837,7.396645,215.425247,60.338322,-243.585175,184.462082,379.230530
1089,-10.553375,594.286926,86.477272,-251.394470,594.843018,391.001007,7.387495,215.236145,60.385166,-243.882446,185.278030,379.254456
1090,-10.075266,594.040039,86.647697,-251.022400,594.786499,390.906403,7.350843,215.113434,60.438889,-244.119553,186.370728,379.196777
1091,-9.664385,593.881531,86.835403,-250.743362,594.682068,390.825470,7.227347,214.975800,60.465675,-244.229095,187.213516,379.452148
1092,-9.112339,593.852112,86.972214,-250.452484,594.574646,390.785461,7.040070,214.889175,60.585148,-244.441010,187.808350,379.559692
1093,-8.621686,593.851929,87.096756,-250.071304,594.386963,390.822174,6.814673,214.804535,60.552761,-244.720459,188.779068,379.329865
1094,-8.096349,593.859985,87.301826,-249.685501,594.175293,390.771240,6.611540,214.731232,60.541428,-245.231552,189.485733,379.398102
1095,-7.659775,593.765686,87.383537,-249.414093,593.936646,390.696655,6.433242,214.616699,60.547932,-245.554825,190.187317,379.424103
1096,-7.272189,593.723572,87.524567,-249.158066,593.738098,390.681152,6.280807,214.579071,60.609993,-245.878021,190.934631,379.333801
1097,-6.920249,593.595520,87.671402,-248.996384,593.550598,390.751404,6.110858,214.569977,60.675606,-246.135910,191.552490,379.520721
1098,-6.600564,593.455261,87.800354,-248.837585,593.303772,390.816040,5.890879,214.609055,60.746719,-246.236145,192.219406,379.645935
1099,-6.361817,593.342834,88.009895,-248.756943,593.083984,390.857697,5.599174,214.668259,60.827839,-246.482742,192.736298,379.515228
1100,-6.101683,593.363342,88.182236,-248.750565,592.861572,390.895111,5.324473,214.822937,60.867577,-247.020737,193.406830,379.494659
1101,-5.869297,593.324036,88.330826,-248.776718,592.667358,390.973236,5.168226,214.969696,60.870506,-247.467773,193.829254,379.556183
1102,-5.706944,593.335266,88.434586,-248.837616,592.374634,390.975769,5.033009,215.066330,60.868431,-247.756332,194.169220,379.627533
1103,-5.539766,593.322571,88.529381,-248.838730,592.051697,390.906158,4.893967,215.118805,60.928547,-247.912567,194.460480,379.644196
1104,-5.557281,593.269714,88.547844,-248.850235,591.742798,390.863190,4.783447,215.173233,60.981144,-248.024750,194.678024,379.691101
1105,-5.574103,593.276367,88.623581,-248.849167,591.436462,390.848297,4.740521,215.118744,61.043850,-248.107758,195.006882,379.765472
1106,-5.582217,593.248169,88.659904,-248.899673,591.087891,390.913849,4.673671,215.166885,61.031582,-248.171951,195.360535,379.788086
1107,-5.688452,593.181274,88.619850,-248.935669,590.779114,390.951294,4.646300,215.070953,61.128231,-248.243439,195.725677,379.692749
1108,-5.791110,593.196533,88.641914,-248.976166,590.478699,390.994629,4.581370,215.002060,61.168732,-248.266602,196.002304,379.662659
1109,-5.869778,593.091187,88.584862,-249.014236,590.042236,391.034760,4.568330,214.954300,61.136108,-248.329300,196.221649,379.740173
1110,-5.844393,593.035828,88.603928,-249.040741,589.575012,391.055267,4.556812,214.890289,61.108959,-248.304535,196.440750,379.708557
1111,-5.917857,592.995911,88.642815,-249.164337,589.122803,391.040802,4.562475,214.857941,61.142387,-248.347519,196.596329,379.748810
1112,-6.004276,592.984802,88.693634,-249.213089,588.710938,391.075287,4.535185,214.780838,61.124504,-248.370285,196.709656,379.717743
1113,-6.083227,592.930481,88.712914,-249.225540,588.298279,391.095551,4.503905,214.690338,61.084881,-248.386795,196.850891,379.680115
1114,-6.086674,592.873169,88.804825,-249.273758,587.829956,391.120819,4.496869,214.639481,61.035782,-248.380371,196.907425,379.639557
1115,-6.119037,592.835327,88.944801,-249.564240,587.420288,391.130310,4.505225,214.540329,60.970783,-248.387955,196.935974,379.599091
1116,-6.208773,592.774170,88.999451,-249.874786,586.994873,391.156525,4.490414,214.484299,60.843361,-248.371078,196.962952,379.546387
1117,-6.264965,592.655945,89.118919,-250.274307,586.559021,391.203247,4.467977,214.383362,60.798092,-248.389221,197.006348,379.519928
1118,-6.221606,592.575073,89.305504,-250.496689,586.285583,391.277832,4.441418,214.287766,60.692013,-248.330994,197.030121,379.473114
1119,-6.290142,592.414856,89.476120,-250.591461,585.928528,391.374146,4.440086,214.218842,60.588161,-248.272598,197.045822,379.404358
1120,-6.361531,592.255920,89.623528,-250.725464,585.489929,391.373688,4.450858,214.100632,60.430412,-248.224243,197.059738,379.389923
1121,-6.488940,592.134888,89.754105,-250.827240,585.047058,391.441620,4.476714,213.974472,60.396648,-248.160385,197.021835,379.362152
1122,-6.433970,591.948059,89.836243,-250.952515,584.643738,391.544098,4.430120,213.882538,60.185631,-248.162109,196.934662,379.323334
1123,-6.491094,591.802307,89.949661,-251.104279,584.281799,391.631470,4.488604,213.729507,60.154343,-248.100708,196.798050,379.335907
1124,-6.582818,591.726746,90.014069,-251.243622,583.941040,391.688110,4.526850,213.612549,59.995583,-247.984390,196.637680,379.321655
1125,-6.697576,591.656982,90.034241,-251.398224,583.695618,391.708618,4.539137,213.543213,59.834263,-247.932312,196.423950,379.262848
1126,-6.799854,591.668518,90.092941,-251.469955,583.462402,391.737000,4.628803,213.572571,59.682434,-247.907715,196.184769,379.263641
1127,-6.854832,591.683960,90.126099,-251.424789,583.269897,391.731049,4.582003,213.588516,59.579380,-247.847534,195.984329,379.178619
1128,-6.943065,591.633728,90.082741,-251.420837,583.136169,391.732422,4.552860,213.569290,59.484051,-247.742874,195.553070,379.186096
1129,-7.023930,591.644043,90.033806,-251.416611,582.918213,391.719269,4.625112,213.509720,59.438992,-247.627167,195.256485,379.171722
1130,-7.120813,591.654785,90.057968,-251.405441,582.742188,391.700439,4.674130,213.456711,59.352310,-247.514252,194.972488,379.074005
1131,-7.138491,591.633179,90.062469,-251.404404,582.653992,391.664642,4.710608,213.386154,59.303375,-247.293655,194.705612,379.005737
1132,-7.166067,591.669617,90.050850,-251.349930,582.581787,391.644775,4.732918,213.345612,59.228996,-247.153168,194.503448,378.930084
1133,-7.249124,591.684326,90.022530,-251.328079,582.538757,391.616730,4.813358,213.299179,59.199821,-246.967224,194.282166,378.860107
1134,-7.307820,591.630920,89.975410,-251.328140,582.538574,391.616241,4.905143,213.228836,59.170937,-246.719894,194.018661,378.813629
1135,-7.412849,591.599670,89.994652,-251.356049,582.613281,391.614777,4.983875,213.147293,59.123642,-246.489380,193.852203,378.795532
1136,-7.516747,591.485291,89.929993,-251.399017,582.709290,391.590668,5.055706,213.036957,59.102798,-246.321426,193.607956,378.879547
1137,-7.616917,591.449585,89.867958,-251.422562,582.858826,391.513428,5.117669,212.949463,59.119366,-246.159836,193.263107,379.014648
1138,-7.707111,591.365845,89.765442,-251.479507,583.016052,391.490143,5.189115,212.917160,59.098057,-246.062729,192.950958,379.080048
1139,-7.817362,591.339600,89.710472,-251.569046,583.225647,391.481903,5.152807,212.869583,59.060371,-246.035889,192.600647,379.129120
1140,-7.954668,591.362305,89.587440,-251.698212,583.444458,391.493530,5.196516,212.829483,59.048302,-245.959503,192.296356,379.043427
1141,-8.160319,591.400269,89.411072,-251.811523,583.647522,391.435760,5.169576,212.806259,59.064697,-245.975189,192.042999,378.901306
1142,-8.322866,591.336487,89.241631,-251.881561,583.810364,391.399933,5.176550,212.775787,59.095325,-245.998184,191.769455,378.819092
1143,-8.494168,591.276184,89.176552,-251.960739,584.054443,391.407104,5.137192,212.780792,59.083969,-246.040939,191.416718,378.851410
1144,-8.672208,591.311951,89.076157,-252.056961,584.338684,391.438538,5.082476,212.750336,59.109795,-246.100662,191.186996,378.811066
1145,-8.840593,591.363586,88.870468,-252.121445,584.579712,391.380371,5.081035,212.721924,59.126595,-246.154587,190.984909,378.811554
1146,-8.890679,591.350769,88.778610,-252.096222,584.743225,391.359375,5.036579,212.733963,59.151482,-246.179596,190.796402,378.750793
1147,-8.962932,591.313354,88.645767,-252.058350,584.955566,391.317688,5.051700,212.783615,59.119205,-246.180328,190.624832,378.766998
1148,-9.037558,591.311829,88.610069,-252.056122,585.136353,391.312317,4.961602,212.786942,59.085449,-246.263962,190.376129,378.907623
1149,-9.164437,591.293518,88.559509,-252.058044,585.288879,391.305664,4.920911,212.777573,59.061436,-246.292435,190.220016,378.945953
1150,-9.223126,591.162292,88.512993,-252.009079,585.357178,391.245605,4.830594,212.846481,59.035664,-246.307968,190.062851,378.997742
1151,-9.181885,591.096497,88.518585,-251.954727,585.404541,391.247864,4.754324,212.843033,59.018688,-246.398865,189.857910,378.999878
1152,-9.214616,591.096313,88.516197,-251.925369,585.444519,391.274139,4.718138,212.875275,59.002090,-246.387512,189.774323,379.061462
1153,-9.290574,591.165771,88.511292,-251.961914,585.535095,391.272644,4.737285,212.941132,58.912750,-246.384537,189.637878,379.045837
1154,-9.281994,591.179626,88.434441,-251.891922,585.542053,391.288574,4.738775,212.944016,58.908390,-246.338486,189.559418,379.029968
1155,-9.232024,591.146240,88.449394,-251.825562,585.530762,391.341919,4.728773,212.931122,58.895100,-246.306992,189.435623,379.051025
1156,-9.221202,591.202698,88.529648,-251.793091,585.603882,391.406006,4.755940,212.953583,58.880653,-246.292206,189.347977,378.998688
1157,-9.285036,591.216614,88.532265,-251.827484,585.628845,391.473236,4.756135,212.933792,58.813206,-246.278351,189.237061,378.965546
1158,-9.289419,591.225586,88.609970,-251.852249,585.654907,391.543823,4.791141,212.927063,58.812973,-246.207870,189.196838,378.929352
1159,-9.227552,591.215271,88.667931,-251.872131,585.698059,391.568085,4.773640,212.924423,58.789234,-246.093979,189.101883,378.853729
1160,-9.213769,591.190308,88.733406,-251.858276,585.711121,391.588074,4.825878,212.929611,58.760254,-245.983749,189.075912,378.804993
1161,-9.214329,591.232910,88.753296,-251.874741,585.761658,391.587677,4.836319,212.925110,58.733315,-245.918839,188.974442,378.756439
1162,-9.213070,591.211487,88.745605,-251.955368,585.790894,391.614288,4.904742,212.964615,58.637604,-245.813858,188.882278,378.689819
1163,-9.180358,591.180359,88.786697,-251.928223,585.780029,391.590698,4.960047,212.972351,58.605110,-245.730499,188.818420,378.656158
1164,-9.165438,591.206543,88.824440,-251.960876,585.802002,391.631287,4.988277,212.970535,58.566116,-245.600128,188.778824,378.586731
1165,-9.227412,591.252869,88.830238,-251.989532,585.829712,391.645874,5.079302,212.992615,58.496796,-245.545837,188.736038,378.530518
1166,-9.259502,591.243713,88.830101,-252.036026,585.819824,391.646515,5.124946,212.954941,58.515686,-245.457977,188.686432,378.517059
1167,-9.274876,591.253906,88.796341,-252.044983,585.819763,391.627747,5.207525,212.960526,58.424488,-245.338760,188.686478,378.399078
1168,-9.274533,591.228516,88.790375,-252.114822,585.782410,391.588562,5.262541,212.968109,58.391300,-245.315643,188.619232,378.422211
1169,-9.289104,591.167542,88.704727,-252.235214,585.755066,391.526245,5.344751,212.992996,58.300327,-245.292267,188.563156,378.370758
1170,-9.349024,591.134033,88.691422,-252.390762,585.737793,391.454712,5.418549,213.002396,58.293373,-245.229919,188.492004,378.397736
1171,-9.320619,591.058594,88.689423,-252.546249,585.713318,391.368164,5.458249,212.950104,58.303280,-245.182281,188.431946,378.375824
1172,-9.262720,590.970642,88.719116,-252.705765,585.677063,391.288025,5.506569,212.923996,58.282673,-245.125565,188.291763,378.372589
1173,-9.306065,590.956360,88.734215,-252.871063,585.609192,391.231781,5.559388,212.919571,58.310463,-245.053131,188.186630,378.356873
1174,-9.298684,590.929260,88.701813,-253.050781,585.603943,391.162109,5.581200,212.911057,58.229843,-245.001266,188.044113,378.299744
1175,-9.292569,590.887634,88.689056,-253.170685,585.573181,391.066925,5.668176,212.927383,58.189484,-244.876907,187.910034,378.264252
1176,-9.250303,590.878845,88.666618,-253.224289,585.518250,390.958069,5.667190,212.944473,58.090038,-244.808502,187.746017,378.215607
1177,-9.217879,590.876221,88.668076,-253.254929,585.471741,390.946045,5.712249,212.934814,57.973728,-244.731247,187.576492,378.187805
1178,-9.221267,590.892822,88.671272,-253.253601,585.442017,390.944580,5.760929,212.949951,57.911472,-244.721832,187.358231,378.024170
1179,-9.204351,590.876099,88.694572,-253.215622,585.404175,390.951935,5.760559,212.908569,57.800014,-244.665756,187.203339,377.959991
