EX302
Date:,2025/01/17
Time:,11:36:53
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,KNE_R_X,KNE_R_Y,KNE_R_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,KNE_L_X,KNE_L_Y,KNE_L_Z
1029,87.037239,612.607239,107.574112,-169.779114,613.857117,401.108521,90.727501,237.387558,77.983101,-172.331253,219.045486,387.478119
1030,87.512238,612.257080,108.727402,-170.595276,613.887939,401.192230,91.675415,236.654175,79.913048,-173.402283,218.839767,387.826538
1031,88.057381,611.933350,109.660179,-171.286545,614.024109,401.312653,92.616249,236.387558,81.483902,-174.570419,218.598877,388.075531
1032,88.173470,611.348328,110.625710,-171.869705,614.105774,401.394318,93.375526,235.946075,82.952087,-175.308777,218.317505,388.272614
1033,88.545471,610.717102,111.373154,-172.577850,614.112427,401.554077,94.152611,235.362488,84.419281,-175.973343,217.907425,388.661224
1034,88.941467,610.159058,112.204277,-173.429810,614.000122,401.750061,94.757042,234.721863,85.836273,-176.545135,217.422684,388.767212
1035,88.995346,609.630615,112.891701,-174.034012,613.782043,401.909302,95.284531,234.321060,86.809326,-176.991898,216.970413,388.997009
1036,89.098885,609.244995,113.409424,-174.378464,613.501770,401.913269,95.959839,233.909180,87.560326,-177.324524,216.503479,389.068848
1037,89.241066,608.594543,114.111229,-174.678024,613.149658,402.007935,96.353195,233.332352,88.167374,-177.574234,215.852951,389.074615
1038,89.368118,607.965210,114.479958,-175.013748,612.510010,401.956726,96.415245,232.776932,88.592743,-177.754074,215.227661,389.046661
1039,89.260651,607.443054,114.858658,-175.192337,611.879028,401.977448,96.376274,232.113907,88.659187,-178.029266,214.838348,389.063293
1040,89.194199,606.630188,114.775604,-175.243195,611.127014,402.044098,96.306534,231.702911,88.411224,-177.990555,214.482193,389.033752
1041,89.019661,606.061951,114.570503,-175.278381,610.533569,402.122162,95.993103,231.068481,87.478531,-177.424026,214.103104,388.648956
1042,88.818329,605.637512,114.217911,-175.021362,609.849548,402.124908,95.490463,230.681564,86.652679,-177.075317,213.706909,388.548462
1043,88.812767,605.115112,113.662834,-174.443283,608.878784,402.127472,95.156425,230.042130,85.980782,-176.700226,213.348206,388.643555
1044,88.587502,604.537598,113.032646,-173.843246,608.179199,402.201752,94.516022,229.560059,84.723831,-176.265106,212.970184,388.449036
1045,88.260597,603.857300,112.090416,-173.284225,607.299255,401.946136,94.075516,229.065704,83.589561,-175.592758,212.490051,388.298431
1046,88.146942,603.369263,111.002808,-172.257904,606.381714,401.842316,93.695129,228.502975,82.445938,-174.910568,212.242691,388.014221
1047,87.722374,603.135681,110.031174,-171.318207,605.509094,401.745667,93.356850,227.793182,81.536095,-174.333878,212.133789,387.826447
1048,87.000450,602.521667,108.625854,-170.224762,604.598145,401.582123,93.027840,227.175674,80.498596,-173.833618,212.103287,387.596863
1049,86.679665,601.669678,107.099213,-168.986221,603.770264,401.350037,92.793068,226.509338,79.250641,-173.266647,211.958557,387.544403
1050,86.373589,601.069580,105.506470,-167.537872,603.005615,400.842468,92.853348,226.077896,78.473274,-172.509399,211.857391,387.576843
1051,86.081802,600.548523,103.791039,-166.427399,602.228394,400.602905,92.807373,224.954163,77.494148,-171.585693,211.823929,387.448730
1052,85.787384,600.218872,102.367805,-165.207489,601.592346,400.492706,93.020134,223.952789,76.912392,-170.454010,211.712845,387.166901
1053,85.274750,599.231506,100.258080,-163.529099,601.245056,400.253906,93.260780,222.926147,75.945816,-169.756989,211.709259,387.108643
1054,84.817772,598.682983,98.811661,-162.238602,600.653259,399.816864,93.471970,222.381744,75.270828,-168.789444,211.604675,386.869934
1055,84.809959,597.957947,97.199249,-160.936661,600.250183,399.494446,93.704735,221.052963,74.812233,-167.963013,211.682571,386.611450
1056,84.474167,597.131409,95.613823,-159.554016,599.812744,399.152954,94.012413,220.123154,73.764542,-166.911362,211.638077,386.473755
1057,84.218674,596.399475,94.242241,-158.117813,599.295227,398.873688,94.100998,219.390045,72.993729,-165.966141,211.576263,386.437988
1058,83.917160,595.890320,93.082199,-156.953278,598.890869,398.712372,94.457588,218.375854,72.087418,-165.150467,211.451950,386.225647
1059,84.089508,594.957642,91.572853,-155.378448,598.148804,398.574890,94.695625,217.143677,71.470428,-163.818146,211.203735,385.883575
1060,83.979988,594.390686,90.972099,-154.301132,597.500916,398.433807,94.808678,216.596710,70.072411,-162.982574,211.026276,385.644348
1061,83.897530,593.875793,90.262474,-153.178238,596.714905,398.164429,94.718941,215.766632,68.926544,-162.118866,210.635498,385.123962
1062,83.926689,593.480713,89.651840,-152.269196,595.998413,398.078674,94.692238,215.050522,67.882278,-161.021622,210.024460,384.871307
1063,84.176361,593.293396,89.256310,-151.665054,595.307556,398.124207,94.587097,214.134216,66.477005,-160.354736,209.196487,384.907410
1064,84.425522,593.214600,89.213356,-151.498611,594.525269,398.123016,94.311371,213.534088,65.916656,-160.092972,208.264786,384.548157
1065,84.762421,593.084839,89.561981,-151.559555,593.727356,398.208099,94.106590,213.312439,65.411652,-159.821045,207.412674,384.123291
1066,85.028740,592.772705,90.190460,-151.674149,593.319702,398.244568,93.998344,213.458221,65.125061,-159.259872,206.335815,384.162903
1067,85.423248,592.388184,90.961205,-152.018845,592.862122,398.338135,93.995445,213.660660,65.061058,-159.113495,205.457687,383.910828
1068,86.189484,592.350342,91.967079,-152.620163,592.220703,398.282288,93.998795,213.749634,64.993744,-159.236221,204.678207,383.804169
1069,86.417091,591.938477,92.463486,-153.096344,591.564209,398.188385,94.059433,213.690887,64.860222,-158.905441,203.650696,383.447113
1070,86.626602,591.751953,92.803749,-153.338470,591.020752,398.252197,94.242699,213.658890,64.523109,-158.603821,202.903183,383.402924
1071,86.799828,591.693115,92.994286,-153.458801,590.564087,398.298187,94.566994,213.674179,64.222733,-158.001358,202.425140,383.149780
1072,86.865173,591.724792,93.084419,-153.562454,590.087952,398.357819,94.939148,213.636978,63.722515,-157.133438,201.856094,383.015594
1073,86.906822,591.821960,93.075531,-153.543106,589.634705,398.390442,95.229317,213.514191,63.244617,-156.449463,201.251633,383.003326
1074,86.849937,592.005981,92.938805,-153.392227,589.262085,398.467621,95.379974,213.368088,62.762344,-155.462769,200.799805,382.551727
1075,86.819725,592.186279,92.722633,-153.124344,588.955627,398.481049,95.425301,213.313034,62.193100,-154.415421,200.503738,382.388000
1076,86.742905,592.401123,92.510620,-152.938690,588.803101,398.541687,95.639153,213.527451,61.448692,-153.858047,200.193817,382.347504
1077,86.622040,592.648865,92.328667,-152.701385,588.723206,398.527466,95.816437,213.927170,60.526363,-153.064789,199.953812,382.127686
1078,86.528358,593.053589,92.024734,-152.490387,588.708862,398.497192,95.810509,214.183899,60.035152,-152.007965,199.728439,381.851624
1079,86.496445,593.454590,91.673065,-152.318222,588.844299,398.455017,95.833031,214.447388,59.715370,-151.421906,199.805618,381.799896
1080,86.472580,593.778381,91.441467,-152.172089,589.003906,398.401093,95.927124,214.888519,59.366055,-150.850311,199.966370,381.648529
1081,86.327461,594.296265,91.082306,-152.026321,589.198486,398.253937,96.016426,215.284622,59.126530,-150.302597,200.131073,381.584534
1082,86.211700,594.869934,90.779922,-151.956360,589.415527,398.161591,96.127197,215.704544,59.085278,-149.838058,200.449768,381.646271
1083,86.167076,595.482605,90.624306,-151.829910,589.600281,398.007538,96.291679,216.113052,59.149853,-149.550476,200.815140,381.750427
1084,86.098732,595.822449,90.291878,-151.760330,589.793396,397.879669,96.359718,216.623169,59.297115,-149.359894,201.284515,381.824707
1085,85.896034,596.214905,89.986252,-151.624603,590.003662,397.754822,96.445183,217.269470,59.254868,-149.308823,201.836319,381.874969
1086,85.860107,596.799744,89.555038,-151.432388,590.221375,397.672272,96.573242,217.813400,59.270046,-149.275543,202.679031,381.624176
1087,86.018036,597.399170,89.320526,-151.224945,590.450012,397.581512,96.719406,218.211243,59.523975,-149.304886,203.572632,381.623291
1088,85.900673,597.953064,89.038330,-150.957977,590.704712,397.517639,96.734810,218.592789,59.917885,-149.359726,204.160583,381.617554
1089,85.813004,598.438354,88.498428,-150.594818,591.009521,397.416229,96.759056,218.967438,60.388035,-149.875809,205.122635,381.660370
1090,85.783379,598.958740,88.040802,-150.312897,591.200684,397.346161,96.696678,219.182190,60.641109,-150.084518,206.203903,381.766510
1091,85.811562,599.518250,87.709885,-150.004089,591.379517,397.223724,96.534012,219.434967,60.797531,-150.514969,207.087891,381.877350
1092,85.989601,600.129333,87.393738,-149.757401,591.428772,397.086304,96.201981,219.908646,61.058155,-151.151169,208.143356,381.941254
1093,86.113724,600.767822,87.141998,-149.374664,591.545288,397.031769,95.898087,220.634750,61.081802,-151.556992,209.423782,382.184296
1094,86.234207,601.241394,86.818138,-148.918243,591.684875,396.933746,95.598694,221.167419,61.313053,-152.035599,210.894623,382.241394
1095,86.436264,601.680969,86.407402,-148.451111,591.696350,396.876556,95.182068,221.567200,61.751888,-152.585785,211.871277,382.437561
1096,86.654335,601.894287,86.070198,-148.090378,591.775085,396.822876,94.836555,221.785492,62.114876,-153.388168,213.626282,382.737823
1097,86.910339,602.132019,85.770218,-147.602707,591.574524,396.720306,94.462555,221.939667,62.492435,-153.789276,214.737457,382.895905
1098,87.142136,602.373535,85.670227,-147.228348,591.384216,396.608246,94.084946,222.160965,62.865993,-154.680038,216.436279,383.023743
1099,87.397926,602.659180,85.600616,-146.953186,591.177795,396.384857,93.600243,222.581253,63.181675,-155.468475,217.914795,383.342224
1100,87.579620,602.928955,85.424858,-146.557724,591.031616,396.200989,93.288689,222.873444,63.411453,-155.970062,219.438599,383.335999
1101,87.783203,603.104797,85.203926,-146.114716,590.943848,396.145630,92.944092,223.492615,63.704277,-157.060318,220.764481,383.310150
1102,87.931671,603.322327,84.930962,-145.807556,590.868164,396.093262,92.503670,224.039246,64.365601,-157.507645,222.361633,383.560211
1103,87.918129,603.635498,84.830063,-145.496735,590.800415,396.001190,92.200081,224.282669,64.933296,-158.528152,223.913391,383.468933
1104,87.953819,603.910400,84.637444,-145.132690,590.749573,395.944946,92.027084,224.536591,65.323021,-159.223343,225.237732,383.582245
1105,87.961609,604.182434,84.346268,-144.777664,590.665955,395.857727,91.802826,224.744354,65.696510,-159.958664,226.762115,383.773895
1106,87.934425,604.403076,84.086449,-144.477341,590.717651,395.757294,91.488884,224.910889,66.244202,-160.849716,228.059097,383.904633
1107,87.938423,604.658508,83.689178,-144.190353,590.703308,395.545990,91.249779,225.118469,66.673882,-161.356400,229.280685,383.943665
1108,87.881538,604.873352,83.311943,-144.014496,590.777588,395.375671,91.198845,225.602570,67.059090,-162.221619,230.469559,383.963593
1109,87.845047,605.052246,83.003052,-143.916306,590.890137,395.206329,91.029236,226.029495,67.239761,-162.881500,232.020233,384.278625
1110,87.803429,605.181030,82.574333,-143.903122,591.061523,395.083588,90.695953,226.279358,67.533531,-163.330353,233.106262,384.167267
1111,87.666229,605.349670,82.383400,-144.007904,591.241333,394.978638,90.501549,226.509796,67.744789,-163.933548,234.232864,384.291534
1112,87.530144,605.493835,82.217133,-144.098236,591.499939,394.886871,90.302193,226.773010,67.855614,-164.384644,235.575134,384.318970
1113,87.182770,605.636963,82.254417,-144.158813,591.804688,394.754364,90.114349,226.972229,68.097122,-164.824081,236.718597,384.568420
1114,86.994331,605.711975,82.117638,-144.212952,592.158325,394.701263,89.896400,227.222122,68.338577,-164.911148,237.811447,384.517548
1115,86.759521,605.876648,81.889961,-144.238663,592.579712,394.661621,89.763023,227.470444,68.536705,-165.329498,238.866440,384.361511
1116,86.695007,605.968201,81.563934,-144.202820,592.954224,394.638306,89.633781,227.708786,68.780510,-165.744217,239.505920,384.408722
1117,86.523842,606.158691,81.400757,-144.180313,593.263672,394.579346,89.534523,227.950836,68.974289,-166.041077,240.336746,384.506989
1118,86.362724,606.420776,81.250580,-144.110077,593.580933,394.446075,89.449196,228.144958,69.175293,-166.404221,241.172546,384.428925
1119,86.274933,606.760803,81.080940,-144.052536,593.890076,394.337830,89.346092,228.355927,69.331139,-166.764923,241.740829,384.509796
1120,86.179153,607.095154,80.888039,-143.924789,594.128052,394.175934,89.290581,228.612335,69.397202,-166.962601,242.035294,384.493042
1121,86.196503,607.395630,80.736885,-143.833481,594.342041,394.070709,89.241341,228.844162,69.518433,-167.172226,242.246078,384.456970
1122,86.280571,607.591553,80.567070,-143.765594,594.530212,393.960632,89.076759,229.160873,69.662399,-167.461899,242.491394,384.438049
1123,86.323883,607.804932,80.452332,-143.672714,594.779053,393.887939,88.906715,229.332565,69.842628,-167.732208,242.617172,384.496704
1124,86.398956,607.963440,80.389519,-143.592667,594.962585,393.849976,88.768066,229.497971,70.002716,-168.027359,242.723740,384.510345
1125,86.554932,608.189453,80.335442,-143.445053,595.129028,393.804321,88.587830,229.647247,70.005173,-168.226913,242.763550,384.551910
1126,86.781624,608.464722,80.381592,-143.369385,595.338074,393.778992,88.431305,229.716522,70.053093,-168.376465,242.753021,384.588959
1127,86.870117,608.552185,80.399422,-143.284592,595.522339,393.824158,88.340424,229.836517,70.046440,-168.487701,242.557449,384.428772
1128,86.918083,608.401672,80.292107,-143.195679,595.743347,393.878845,88.208321,229.883255,69.989403,-168.487198,242.446167,384.451019
1129,86.996254,608.417664,80.283333,-143.111176,595.940247,393.913177,88.154823,229.946136,69.908623,-168.389923,242.397675,384.620728
1130,87.147194,608.443726,80.344978,-143.043503,596.123779,393.952850,88.113976,229.970108,69.823822,-168.309647,242.169113,384.635315
1131,87.272881,608.440125,80.456535,-142.997375,596.264954,393.930176,88.112930,229.958755,69.755455,-168.165710,241.905548,384.615326
1132,87.356003,608.402405,80.584442,-143.020981,596.354004,393.920593,88.128998,229.937073,69.632072,-168.016510,241.658463,384.643860
1133,87.413628,608.324341,80.740440,-143.074432,596.434570,393.969849,88.182449,229.871124,69.515984,-167.784698,241.372330,384.651398
1134,87.485527,608.245911,80.879662,-143.160934,596.472961,393.941498,88.253632,229.765778,69.352791,-167.579269,240.859116,384.699890
1135,87.535759,608.135437,81.047195,-143.270172,596.414917,393.957703,88.401772,229.673737,69.137207,-167.414749,240.191147,384.560608
1136,87.651482,608.038086,81.167542,-143.458664,596.344788,393.997437,88.500114,229.534180,68.925331,-167.216843,239.547363,384.534973
1137,87.630005,607.979614,81.264145,-143.649750,596.182312,393.953583,88.614899,229.461685,68.699013,-167.030563,239.002075,384.515747
1138,87.654610,607.920349,81.404488,-143.821960,595.997742,393.966034,88.774216,229.324356,68.523201,-166.805038,238.649551,384.424835
1139,87.596405,607.821716,81.393204,-144.017517,595.827026,394.001862,88.926277,229.232468,68.293068,-166.400040,237.926147,384.351868
1140,87.492821,607.758240,81.416527,-144.211349,595.636108,394.077423,89.040886,229.142181,68.148331,-165.964035,237.167908,384.463593
1141,87.419228,607.618774,81.462456,-144.402267,595.401672,394.111847,89.094917,229.058273,67.886833,-165.584396,236.590424,384.551758
1142,87.266182,607.472107,81.558868,-144.575562,595.122375,394.127960,89.228477,228.923309,67.609077,-165.276382,235.843445,384.304169
1143,87.025421,607.294373,81.687950,-144.798477,594.819092,394.175720,89.398087,228.792984,67.402878,-164.988342,235.186127,383.964569
1144,86.791397,606.861206,81.639496,-145.219498,594.426819,394.262604,89.629036,228.650650,67.201744,-164.611191,234.405045,384.074890
1145,86.602074,606.505615,81.780190,-145.586609,594.068542,394.312805,89.884048,228.429413,67.075569,-163.959488,233.734863,383.953430
1146,86.468384,606.227356,81.838844,-145.867813,593.675903,394.320953,90.209793,228.152023,66.726830,-163.435959,233.051025,383.889771
1147,86.321915,606.064148,82.075653,-146.010712,593.304260,394.175934,90.377747,227.980713,66.450867,-163.164169,232.387619,383.926117
1148,86.287491,605.874329,82.371376,-146.378082,592.825073,394.191193,90.471786,227.827026,66.234871,-162.678741,231.644897,383.735382
1149,86.242706,605.624695,82.646927,-146.844818,592.325134,394.280731,90.725761,227.683167,65.920586,-162.222885,230.698471,383.512146
1150,86.182373,605.427063,82.926994,-147.107254,591.992676,394.418945,90.975929,227.330078,65.605118,-161.594513,230.072479,383.335358
1151,86.092216,605.174561,83.001282,-147.296188,591.660095,394.546906,91.251450,226.915314,65.215332,-161.085922,229.381409,383.355743
1152,85.942421,605.007324,83.272690,-147.665115,591.187134,394.647858,91.360870,226.590240,64.857208,-160.778854,228.760056,383.395264
1153,85.868629,604.649536,83.443863,-147.907333,590.712036,394.770599,91.411972,226.343643,64.638374,-160.243546,227.988373,383.207184
1154,85.797615,604.242310,83.677338,-148.266586,590.210083,394.839813,91.443115,225.941681,64.279076,-159.672363,227.260498,383.100891
1155,85.696358,603.726501,83.787254,-148.658966,589.752075,394.990265,91.560822,225.627060,63.765385,-159.280075,226.592239,382.889038
1156,85.543930,603.240723,83.927040,-148.803665,589.567688,395.092865,91.584099,225.393021,63.531490,-158.915543,225.916870,382.736664
1157,85.440620,602.812927,84.245819,-149.035385,589.385986,395.280579,91.724930,225.164413,63.256256,-158.626709,225.274734,382.792877
1158,85.404617,602.528503,84.542664,-149.355011,589.166748,395.353912,91.816521,224.816406,62.884190,-158.247833,224.555252,382.792114
1159,85.390648,602.162842,84.875175,-149.852585,588.845703,395.384094,91.863312,224.525696,62.484467,-157.816711,224.028183,382.685669
1160,85.341743,601.958008,85.282516,-150.303879,588.568115,395.482788,91.975739,224.281097,62.147366,-157.382034,223.580200,382.549286
1161,85.285690,601.819580,85.537148,-150.607803,588.405457,395.549286,92.061150,224.067978,61.828884,-157.101715,223.086884,382.376373
1162,85.137260,601.458435,85.772003,-150.869720,588.267761,395.628998,92.093857,223.893265,61.653374,-156.710052,222.416931,382.214539
1163,84.960060,600.947510,86.036880,-151.175446,588.136414,395.695068,92.067879,223.628189,61.406746,-156.652237,221.800781,382.082367
1164,84.823174,600.640076,86.185188,-151.429108,588.072144,395.706512,92.079445,223.350861,61.165325,-156.518280,221.326523,382.167358
1165,84.704285,600.378845,86.317497,-151.662201,588.110657,395.721588,92.126503,223.048935,60.898529,-156.126801,220.937790,382.065826
1166,84.591545,600.176331,86.405556,-151.860596,588.096497,395.651337,92.109711,222.765198,60.585861,-155.802948,220.461624,381.893768
1167,84.503479,600.052063,86.403427,-152.027664,588.163330,395.707581,92.211403,222.538315,60.328926,-155.628708,219.845673,381.824890
1168,84.382065,599.999817,86.358597,-152.142670,588.251953,395.662689,92.296783,222.411591,60.107098,-155.452164,219.342331,381.780945
1169,84.263023,599.999695,86.295151,-152.182281,588.365173,395.689178,92.351456,222.294876,59.922539,-155.491531,218.825043,381.641113
1170,84.144234,599.999573,86.231987,-152.157379,588.499023,395.682343,92.391945,222.279251,59.879112,-155.569885,218.327667,381.486969
1171,84.060188,600.020508,86.153259,-152.133652,588.664368,395.676300,92.415085,222.274902,59.837963,-155.515305,217.829102,381.435944
1172,84.020302,600.084412,86.022003,-152.016403,588.857910,395.595459,92.426445,222.268661,59.811653,-155.427261,217.459167,381.427399
1173,84.048416,600.154541,85.936203,-151.925232,589.029419,395.522369,92.415237,222.275223,59.836945,-155.380737,217.072464,381.445496
1174,84.043266,600.279846,85.826065,-151.794785,589.351563,395.526733,92.431656,222.345490,59.819847,-155.347015,216.756348,381.459412
1175,84.092728,600.469482,85.723892,-151.663452,589.640686,395.476624,92.446686,222.389175,59.794861,-155.297760,216.419601,381.524445
1176,84.161423,600.689148,85.703941,-151.576965,589.920288,395.445831,92.412666,222.527817,59.793118,-155.180603,216.136139,381.478058
1177,84.227196,600.848816,85.608276,-151.397018,590.258118,395.426849,92.392700,222.569016,59.799339,-155.043854,215.831924,381.457153
1178,84.331184,601.018127,85.468437,-151.179901,590.727722,395.455078,92.392677,222.722778,59.730232,-154.951187,215.536743,381.399445
1179,84.487755,601.216187,85.321159,-150.972946,591.225159,395.474457,92.378540,222.849991,59.709251,-154.814056,215.219559,381.350250
1180,84.632118,601.461914,85.239273,-150.858307,591.677917,395.525330,92.414200,222.937439,59.755039,-154.747360,215.001541,381.336823
1181,84.817421,601.631653,85.154831,-150.782379,592.020081,395.544067,92.429306,223.082779,59.758488,-154.694565,214.735275,381.367828
1182,84.894463,601.774719,85.086426,-150.627060,592.459595,395.467468,92.462303,223.235001,59.692303,-154.660797,214.546707,381.367218
1183,85.008293,601.888794,84.953377,-150.386215,592.956482,395.390259,92.503838,223.382782,59.718479,-154.621216,214.366653,381.382080
1184,85.124802,601.927979,84.802353,-150.123306,593.385193,395.405182,92.497520,223.447678,59.767048,-154.614731,214.278381,381.364014
1185,85.167511,602.052612,84.720978,-149.899643,593.739441,395.317810,92.516983,223.580490,59.761551,-154.640778,214.184464,381.383148
1186,85.203850,602.170837,84.576546,-149.710312,594.166443,395.197296,92.521576,223.717621,59.819618,-154.654449,214.134964,381.407867
1187,85.247658,602.311096,84.454948,-149.492340,594.660400,395.114868,92.497688,223.823593,59.872467,-154.668350,214.161224,381.402405
1188,85.292252,602.386963,84.343567,-149.239243,595.155212,395.039490,92.531151,223.892929,59.947712,-154.691803,214.180206,381.420868
1189,85.337173,602.497437,84.165169,-149.079910,595.613037,395.019287,92.479660,223.940872,60.028507,-154.767365,214.227036,381.470154
1190,85.491524,602.550354,83.972336,-148.795547,595.973206,394.942139,92.462379,224.065399,60.230717,-154.820145,214.342087,381.506836
1191,85.571854,602.641052,83.761200,-148.383484,596.295593,394.867218,92.445824,224.157303,60.353695,-154.922302,214.481216,381.557739
1192,85.692596,602.778870,83.637016,-148.137451,596.549866,394.799805,92.446266,224.211090,60.508190,-154.984650,214.633270,381.614777
1193,85.807846,602.868958,83.424133,-148.069168,596.755371,394.770752,92.455475,224.321182,60.671394,-155.095871,214.873230,381.683258
1194,85.983986,602.944397,83.245117,-147.963638,596.985229,394.782104,92.452576,224.350861,60.810360,-155.278198,215.152496,381.744537
1195,86.126526,603.050842,83.100266,-147.739899,597.275330,394.784271,92.428497,224.391846,60.990475,-155.479034,215.533096,381.808472
1196,86.206749,603.161377,83.018745,-147.552826,597.572571,394.769196,92.382553,224.440369,61.130779,-155.648834,215.814117,381.858887
1197,86.381065,603.293640,82.889374,-147.341599,597.769104,394.743134,92.356773,224.467361,61.251015,-155.730225,216.069077,381.930450
1198,86.488777,603.452881,82.823456,-147.127975,597.925232,394.665588,92.316772,224.548447,61.327629,-155.792801,216.240005,381.928406
1199,86.506737,603.678589,82.837395,-146.991074,598.057678,394.622772,92.315468,224.595856,61.438637,-155.869934,216.429916,381.904297
1200,86.556343,603.806763,82.761742,-146.901321,598.144104,394.636353,92.274590,224.705124,61.520679,-155.960205,216.597977,381.951202
1201,86.600708,603.896179,82.612457,-146.836823,598.167053,394.578918,92.248833,224.797043,61.576557,-156.093033,216.839706,381.980682
1202,86.607697,604.035828,82.637466,-146.781235,598.188660,394.577118,92.157600,224.893570,61.701927,-156.251190,217.166870,381.978027
1203,86.598648,604.101685,82.587601,-146.780762,598.188904,394.577789,92.052795,224.951782,61.755199,-156.419739,217.426361,382.001068
1204,86.595924,604.216492,82.559326,-146.746826,598.151184,394.569580,91.998405,225.036850,61.872513,-156.665939,217.709930,381.992340
1205,86.560822,604.310974,82.529190,-146.768036,598.079529,394.598755,91.897018,225.119476,61.939205,-156.857468,217.961945,382.051453
1206,86.520569,604.389832,82.510780,-146.786972,598.038879,394.571442,91.841171,225.214920,61.984673,-156.956299,218.172775,382.148224
1207,86.543083,604.464600,82.565521,-146.773666,597.967102,394.618683,91.780014,225.274216,62.015583,-157.044662,218.443390,382.233612
