EX401
Date:,2025/01/17
Time:,11:10:46
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1326,-330.426117,263.117035,497.621552,55.968269,459.328430,99.659561
1327,-329.729706,262.086884,497.311798,56.456226,459.524292,99.540840
1328,-329.228455,260.329010,497.015564,56.966469,459.812866,99.393044
1329,-328.398712,259.185791,496.842285,57.758793,459.820343,99.325615
1330,-327.353333,257.479553,496.803833,58.363300,459.518738,99.627731
1331,-326.300415,255.908325,496.253845,58.715111,459.159363,99.974602
1332,-324.676056,254.036514,496.238068,58.939056,459.227905,99.789963
1333,-323.348572,252.572708,495.939697,59.524239,459.142151,99.978737
1334,-321.846832,250.610001,495.512665,59.876427,459.273773,99.943573
1335,-319.772278,248.603729,495.387238,60.350407,459.425079,99.859970
1336,-317.642578,246.748672,494.828003,60.966160,459.755096,99.881607
1337,-315.377045,244.736694,494.610352,61.381027,459.893677,99.752251
1338,-313.251984,242.476395,494.447632,61.661293,459.993225,99.756767
1339,-310.866669,240.387405,494.201141,62.107525,460.069702,99.654938
1340,-308.268768,238.002075,494.392548,62.436596,460.162994,99.741508
1341,-305.379364,235.866196,494.079285,62.912041,460.175507,99.743500
1342,-302.282715,233.350174,494.343384,63.508041,460.234955,99.892433
1343,-299.051666,231.029510,494.874939,63.797005,460.382507,99.954437
1344,-295.642517,228.976364,495.266052,64.242592,460.708221,100.044998
1345,-292.122742,226.656219,495.482635,64.762726,461.004150,100.034142
1346,-288.904297,224.100739,495.812958,65.492096,461.144897,99.956306
1347,-285.011169,222.076981,496.410431,66.388634,461.383942,99.780304
1348,-281.778717,220.113556,496.933411,66.986671,461.253723,99.705986
1349,-277.819580,218.448380,497.609283,67.342148,461.065491,99.930748
1350,-274.453674,216.579483,498.332092,68.103760,461.117279,99.803612
1351,-270.972565,215.421066,499.033264,69.013519,461.517029,99.388481
1352,-267.342133,214.281982,500.230530,69.739754,461.863953,99.110039
1353,-264.239624,213.312012,501.006805,70.307678,461.796387,99.192337
1354,-261.300690,212.221725,501.942047,71.104691,461.895508,99.300056
1355,-258.618927,210.860367,502.803802,71.902885,462.117279,99.392952
1356,-255.529541,210.225906,503.814026,73.008873,462.402679,99.391907
1357,-253.031403,209.321350,504.650909,73.646393,461.891541,99.518906
1358,-250.798447,208.469772,505.090546,74.681557,461.102081,99.365799
1359,-248.506302,207.501892,505.782227,75.216316,460.700806,99.153511
1360,-246.296753,206.629044,506.359039,76.019531,460.227142,99.122047
1361,-244.386703,206.154892,506.772522,76.567619,459.878784,98.858322
1362,-243.063004,205.555191,506.829254,77.258377,459.149994,98.753059
1363,-241.697754,204.675476,507.160950,77.893288,458.304291,98.810997
1364,-240.995087,204.061127,507.038300,78.223930,457.906738,98.760071
1365,-240.337341,203.724136,507.057739,78.792908,457.478851,98.598999
1366,-239.885788,203.317459,506.792511,79.255867,457.050232,98.632858
1367,-239.920654,203.090958,506.239288,79.504143,456.657074,98.632759
1368,-240.140717,202.849274,505.514587,80.186798,455.697205,98.613243
1369,-240.872894,202.624130,504.613159,80.719971,455.092834,98.472549
1370,-241.785400,202.605911,503.527344,80.861046,454.719452,98.381744
1371,-243.427032,202.164398,502.061340,81.147743,454.306946,98.465340
1372,-244.912872,202.069809,500.512085,81.467484,453.908905,98.438194
1373,-247.369980,201.914169,499.031738,81.726448,453.490784,98.292236
1374,-249.793198,201.675949,497.159424,82.087334,453.147614,98.112053
1375,-252.786240,201.313736,495.127899,82.475807,452.473999,98.353531
1376,-256.021027,200.667892,493.233459,82.721519,451.947937,98.539238
1377,-259.385040,199.728714,491.414368,82.928040,451.565430,98.379356
1378,-262.898712,198.736206,489.700470,82.904289,451.143372,98.245003
1379,-266.558929,197.312485,488.157257,82.689369,450.702820,98.140381
1380,-270.211456,196.160172,486.402679,82.348770,450.240692,98.057693
1381,-273.669739,195.018066,484.884827,81.988609,449.926910,97.818710
1382,-277.040344,194.361923,483.705902,81.430054,449.137329,97.614922
1383,-280.063599,193.624756,482.526459,80.653015,448.376862,97.671730
1384,-283.219635,192.846695,481.493073,80.042313,447.903717,97.802322
1385,-286.055664,192.523972,480.735229,79.338715,447.299866,97.660355
1386,-288.907043,191.801422,479.832336,78.457848,447.010437,97.527679
1387,-291.575562,191.848419,478.954865,77.494057,446.514038,97.762917
1388,-294.077087,191.438660,478.152618,76.944344,446.135132,97.725456
1389,-296.694733,191.392075,477.519501,76.491653,445.739075,97.324753
1390,-298.586517,191.539108,476.788422,76.051659,445.462708,97.106773
1391,-300.733734,191.327591,476.389862,75.581520,444.971954,97.359055
1392,-302.604370,191.895432,475.561676,75.074257,444.592957,97.580116
1393,-304.480103,191.946533,475.092407,74.678650,443.995544,97.383263
1394,-306.310211,192.457397,474.365387,74.213211,443.605072,97.287575
1395,-307.915680,192.731537,473.607819,73.868805,443.780273,96.891830
1396,-309.541412,192.997284,473.307068,73.330055,443.652008,96.727631
1397,-310.913239,193.148163,472.966766,72.623329,442.863922,96.597099
1398,-312.406677,193.472748,472.765594,71.969559,442.566010,96.352303
1399,-313.430328,193.851212,472.214783,71.582069,442.423218,96.074135
1400,-314.940887,194.042694,471.410645,71.359673,442.372498,96.040794
1401,-316.200989,194.239426,470.836212,71.071968,442.138458,96.115944
1402,-317.282440,194.614410,470.211884,70.684006,441.880402,96.144310
1403,-318.334320,194.843552,469.612885,70.337669,441.530579,96.169373
1404,-319.408539,195.169708,468.852661,70.022903,441.439728,96.109787
1405,-320.761749,194.934418,468.036407,69.887169,441.468018,95.953270
1406,-321.566833,195.039856,467.582733,69.766769,441.462952,95.951126
1407,-322.808533,195.226578,467.243378,69.763435,441.455902,95.961662
1408,-323.918335,195.461853,466.832153,69.920021,441.558044,95.845169
1409,-324.820221,195.463135,466.414520,70.090050,441.693390,95.835518
1410,-325.833527,195.415451,465.880341,70.210304,441.684509,95.851349
1411,-326.793427,195.566574,465.261536,70.278641,441.736053,95.828857
1412,-327.482483,195.801804,464.590607,70.301895,441.722076,95.763885
1413,-328.355377,195.862747,463.960419,70.364433,441.784546,95.728271
1414,-329.188080,196.058334,463.327972,70.335999,441.810913,95.655487
1415,-329.986237,196.138351,462.319336,70.393394,441.878815,95.616608
1416,-330.814209,196.273758,461.308899,70.471527,441.782227,95.601425
1417,-331.572815,196.341705,460.157166,70.622940,441.718872,95.682426
1418,-332.330994,196.258362,458.756165,70.802826,441.653259,95.722122
1419,-332.905701,196.318878,457.640564,70.931519,441.685028,95.721451
1420,-333.907776,196.615036,456.239380,71.078491,441.651489,95.787415
1421,-335.212952,196.701111,454.836121,71.174957,441.680237,95.712135
1422,-335.999359,196.643509,453.845703,71.287560,441.672699,95.704872
1423,-337.110321,196.685852,452.444427,71.381462,441.711975,95.627151
1424,-337.995483,197.112167,451.334198,71.478844,441.764862,95.649323
1425,-338.932922,197.191101,450.117157,71.573013,441.760834,95.715538
1426,-340.237000,197.661835,448.740662,71.600807,441.908020,95.780815
1427,-340.930054,197.760010,447.964142,71.741417,442.065308,95.963776
1428,-342.031677,197.850479,446.953003,72.106239,442.218140,96.204109
1429,-343.118591,197.872726,445.842255,72.474648,442.505066,96.472633
1430,-343.930908,198.201401,445.311462,72.912857,442.801758,96.664719
1431,-344.829407,198.425415,444.783844,73.332497,443.118713,96.906914
1432,-345.721344,198.716034,444.385040,73.702232,443.295715,97.155205
1433,-346.411987,198.777435,443.772614,74.189713,443.470551,97.384010
1434,-347.261078,198.966843,442.996002,74.558472,443.845856,97.462791
1435,-348.074493,199.406815,442.327271,74.843086,444.194397,97.538589
1436,-348.527466,199.799454,441.774933,75.232544,444.906403,97.717812
1437,-348.664642,200.039612,441.381897,75.407722,445.247772,97.817383
1438,-348.930481,200.380997,440.780365,75.701118,445.654510,97.987892
1439,-349.057617,200.894958,440.105896,76.027939,446.112030,98.428108
1440,-349.130493,201.186127,439.615417,76.356445,446.380737,98.786552
1441,-349.119141,201.551559,439.230774,76.603615,446.723511,99.008720
1442,-349.075714,201.950729,438.890991,76.990433,447.303223,98.922157
1443,-349.003876,202.360413,438.582336,77.338768,447.737244,98.814247
1444,-348.793396,202.803055,438.186615,77.427559,448.143646,98.802826
1445,-348.586273,203.203888,437.821320,77.711792,448.444366,98.704369
1446,-348.481720,203.441299,437.720581,78.055862,448.988800,98.604561
1447,-348.295593,203.768112,437.662018,78.314110,449.358398,98.592148
1448,-347.982574,204.129166,437.644165,78.630989,449.756226,98.586266
1449,-347.601471,204.530090,437.477539,78.986519,450.156464,98.641701
1450,-347.096375,204.835815,437.341583,79.271950,450.480408,98.609749
1451,-346.495056,205.300323,436.998871,79.452835,450.930939,98.636818
1452,-346.151886,205.378693,437.010895,79.611404,451.249756,98.737053
1453,-345.673370,205.495178,437.008179,79.568024,451.508698,98.805122
1454,-345.248383,205.843491,436.770752,79.810631,451.853058,98.950020
1455,-344.861084,206.055084,436.861176,79.950615,452.239807,99.148651
1456,-344.342499,206.375992,436.888214,80.086212,452.564850,99.319489
1457,-343.870544,206.667877,436.949219,80.194160,452.802277,99.591515
1458,-343.545197,206.734116,437.008270,80.398575,453.169891,99.750931
1459,-343.202271,206.798981,437.089508,80.688622,453.563873,99.816246
1460,-342.818726,206.944595,437.135284,80.806084,453.740540,99.797226
1461,-342.629242,207.193512,437.049316,80.875130,453.811310,99.886368
1462,-342.358856,207.256470,437.050079,80.932747,454.033447,99.849831
1463,-342.123383,207.424438,436.949402,81.122223,454.160309,99.907272
1464,-341.911682,207.630264,436.848572,81.360703,454.329773,99.893852
1465,-341.759277,207.802155,436.664795,81.530716,454.455200,99.890404
1466,-341.557465,207.986389,436.493103,81.709320,454.715027,99.819603
1467,-341.468262,208.102966,436.299683,81.850021,454.870178,99.855484
1468,-341.277222,208.254913,436.042023,82.061249,455.111176,99.868294
1469,-341.196259,208.338821,435.838104,82.215919,455.356476,99.865990
1470,-341.041443,208.440781,435.600311,82.392532,455.636383,99.796967
1471,-340.734131,208.548218,435.305023,82.475067,456.081421,99.624634
1472,-340.481476,208.623230,434.996521,83.734901,455.326904,99.767349
1473,-340.128906,208.814819,434.589020,84.637749,454.910034,100.131866
1474,-339.762054,208.988464,434.271179,84.685310,455.403107,100.231956
1475,-339.644348,209.021744,434.050781,84.570541,456.055328,100.083763
1476,-339.384827,209.052734,433.691406,84.353226,456.476501,100.024506
1477,-339.021729,209.101685,433.230530,84.292725,456.741486,99.949760
1478,-338.645966,209.139389,433.014069,84.358192,456.675568,100.183105
1479,-338.351990,209.018616,432.913666,84.493927,456.770599,100.352448
1480,-337.995911,209.007858,432.802490,85.278114,454.986755,101.893227
1481,-337.371155,209.097351,432.637848,85.494286,454.416229,102.495178
1482,-336.845306,209.258560,432.436096,85.582710,454.539642,102.461411
1483,-336.342072,209.397507,432.227783,85.673080,454.686127,102.277893
1484,-335.787811,209.461456,432.090088,85.714310,454.840973,102.217323
1485,-335.295380,209.445908,432.065887,85.808037,454.868011,102.205116
1486,-334.572418,209.622131,431.899078,85.907341,454.853088,102.101776
1487,-333.998749,209.839111,431.899963,85.972969,454.776337,102.156105
1488,-333.588470,209.876999,431.981537,86.084908,454.760651,102.124809
1489,-333.106964,210.023041,431.918884,86.105003,454.856476,101.985596
1490,-332.695923,210.036240,431.837524,86.162361,454.812378,102.013550
1491,-332.179535,210.083878,431.785095,86.053276,455.307281,101.280296
1492,-331.491302,210.027985,431.782593,85.894127,456.114349,100.657005
1493,-331.210175,210.035477,431.865417,85.733177,456.843689,100.177956
1494,-330.978424,209.968277,431.939209,86.312782,455.428650,101.350533
1495,-330.649384,209.809769,432.115082,86.022453,456.110565,100.105484
1496,-330.037018,209.688873,432.243195,86.177559,456.148956,100.291519
1497,-329.237030,209.596466,432.361328,86.375687,456.140778,100.417694
1498,-328.586243,209.515579,432.417969,86.524513,456.085266,100.320122
1499,-328.179260,209.520691,432.472412,86.720352,456.021301,100.341171
1500,-327.537476,209.676300,432.518860,86.828743,455.995544,100.354790
1501,-326.702728,209.629135,432.798248,86.978683,455.878326,100.318481
1502,-325.922974,209.760620,432.903534,87.121780,455.804199,100.234566
1503,-325.194794,209.943359,433.087494,87.278053,455.529846,100.213646
1504,-324.258942,209.872879,433.245697,87.411034,455.413788,100.072083
1505,-323.190704,209.978729,433.559418,87.503860,455.271240,99.980965
1506,-322.559967,210.153198,433.650452,87.655518,455.050690,99.811775
1507,-321.869904,210.374298,433.671661,87.706360,454.849487,99.672752
1508,-320.736115,210.496094,433.716827,87.716148,454.666351,99.427338
1509,-320.127625,210.452820,433.612030,87.719048,454.438599,99.242447
1510,-319.599152,210.502609,433.744293,87.710953,454.273682,99.131767
1511,-318.756958,210.584152,433.923309,87.637207,453.983429,99.165985
1512,-317.846130,210.671082,434.177765,87.614754,453.772736,99.167526
1513,-317.199554,210.910828,434.285309,87.550842,453.501343,99.094307
