EX402
Date:,2025/01/17
Time:,11:16:56
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
961,-399.170654,150.119370,485.253387,27.040512,380.287537,108.210541
962,-400.215912,150.755997,485.292236,27.450188,378.246124,107.864960
963,-401.032990,151.333817,485.376343,27.728992,376.822174,107.312172
964,-401.867004,151.988602,485.092072,27.746441,374.530548,107.172028
965,-402.975189,152.458710,484.796112,28.164322,372.523773,106.668404
966,-404.080261,152.747055,484.380615,28.465675,371.193939,105.910378
967,-404.977051,153.153793,484.183289,28.765896,369.795135,105.440193
968,-405.770752,153.650208,484.033813,28.746256,368.271179,105.221390
969,-406.919525,153.957825,483.212463,29.180424,366.414856,104.786507
970,-407.436127,154.416656,483.141113,29.653458,364.845215,104.939682
971,-408.439362,154.606995,482.808929,29.906651,363.290039,104.426811
972,-409.097260,154.747910,482.425079,30.168325,361.470795,104.902733
973,-410.280762,155.115067,481.560974,30.744387,359.395294,105.585640
974,-410.859283,155.057922,481.338409,31.427427,357.566559,106.141228
975,-411.423431,155.174271,480.911987,32.135525,355.662384,106.217407
976,-412.064606,155.306137,480.086792,32.279060,355.022247,106.144524
977,-412.656097,155.423065,479.506256,32.877174,354.229523,106.399818
978,-413.385132,155.328552,478.675751,33.392506,353.551666,106.477692
979,-413.964752,155.165390,477.991180,33.829773,352.898621,105.827583
980,-414.509064,155.115601,477.103912,33.963238,352.275116,105.141243
981,-414.990540,155.091919,476.028259,34.222652,351.750702,104.896988
982,-415.388306,154.828674,474.992157,34.300835,351.594025,104.903297
983,-415.562347,154.903046,474.133667,34.466446,351.518433,104.807594
984,-416.004791,154.973633,472.751648,34.772919,350.984222,104.809250
985,-416.200775,154.895645,471.749146,35.028522,350.399689,104.746353
986,-416.096558,154.664536,471.154602,35.174290,350.091980,104.825745
987,-416.357239,154.987350,469.743805,35.282501,350.090424,104.787231
988,-416.560913,155.132919,468.505524,35.296780,350.225494,104.731941
989,-416.556396,155.336472,467.928131,35.443371,350.481812,104.657539
990,-416.357727,155.630219,467.202271,35.572857,350.729095,104.576202
991,-416.511108,155.947205,466.341644,35.721203,350.902832,104.578751
992,-416.611603,156.071716,465.458923,35.890354,351.099457,104.878159
993,-416.799927,156.305344,464.527374,35.909622,351.414246,105.085136
994,-416.836792,156.631744,463.735352,36.276466,352.481964,104.701660
995,-417.061279,157.052933,463.057007,36.472160,353.421021,104.190262
