Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.058354,-0.007203,-0.105229,-126.779778,222.012634,1209.725830,-0.244765,0.216425,0.107959,85.015129,238.653534,1210.490601,0.425656,-0.970586,2.763415,130.742096,282.601105,1355.696167
2,0,,,,,,,0.058655,-0.006841,-0.104539,-126.783524,222.031647,1209.722534,-0.241907,0.211464,0.107303,84.954552,238.655228,1210.724243,0.448130,-0.963468,2.765443,131.013763,283.087250,1355.513428
3,0,,,,,,,0.069305,-0.015127,-0.093086,-127.046425,222.214355,1210.074829,-0.242718,0.213855,0.109653,84.994980,238.576035,1210.388184,0.441297,-0.961424,2.765802,131.053024,283.459137,1355.449585
4,0,-0.461994,-0.083697,0.069145,-19.221582,252.615219,949.927612,0.069692,-0.015760,-0.092890,-127.041000,222.252228,1210.077026,-0.242141,0.211537,0.106899,84.947044,238.779160,1210.785400,0.424890,-0.966668,2.761979,130.901947,284.013885,1355.203735
5,0,-0.461481,-0.083457,0.070381,-19.224255,252.681854,949.911682,0.069016,-0.016078,-0.093251,-127.027557,222.312607,1210.078735,-0.244097,0.216277,0.108244,85.035667,238.843704,1210.562012,0.437242,-0.961490,2.763154,131.095337,284.629059,1355.109619
6,0,-0.461206,-0.083379,0.071039,-19.214081,252.726730,949.885010,0.069141,-0.015988,-0.093855,-127.005859,222.372665,1210.069946,-0.242267,0.212106,0.107769,84.977913,238.871140,1210.777222,0.432998,-0.961701,2.761549,131.101410,285.365784,1354.918091
7,0,-0.460681,-0.084055,0.071778,-19.195971,252.793076,949.884521,0.095792,-0.008883,-0.067662,-126.825493,222.736664,1209.784302,-0.242166,0.211652,0.108582,85.022766,238.871536,1210.720215,0.433474,-0.964312,2.755987,131.134933,286.245758,1354.747681
8,0,-0.460976,-0.084334,0.071854,-19.165363,252.830917,949.880798,0.096052,-0.009185,-0.067831,-126.813309,222.797638,1209.775269,-0.244489,0.214859,0.110971,85.078346,238.957291,1210.468384,0.434641,-0.966369,2.749920,131.122452,287.192627,1354.599854
9,0,-0.461598,-0.084654,0.072580,-19.142986,252.874680,949.890991,0.095929,-0.009552,-0.067489,-126.823097,222.871262,1209.765747,-0.242413,0.210478,0.110939,85.033485,238.993698,1210.681030,0.423879,-0.966899,2.753666,131.266525,288.380432,1354.558472
10,0,-0.461365,-0.083993,0.071880,-19.114054,252.924561,949.908691,0.095686,-0.009543,-0.067755,-126.847145,222.936035,1209.770264,-0.249114,0.218013,0.113331,85.136726,239.348526,1210.514771,0.424810,-0.966545,2.747251,131.286316,289.749054,1354.379028
11,0,-0.461285,-0.084444,0.072224,-19.095091,252.945480,949.906250,0.095450,-0.009628,-0.067337,-126.877235,222.976990,1209.747559,-0.245458,0.212917,0.114994,85.026344,239.182785,1210.480591,0.414873,-0.964689,2.751030,131.428909,291.316132,1354.358032
12,0,-0.461032,-0.084480,0.072317,-19.094368,252.979187,949.925720,0.094580,-0.010143,-0.066621,-126.924324,223.005936,1209.731812,-0.245441,0.211750,0.116744,84.942383,239.330368,1210.534180,0.418950,-0.964694,2.747884,131.626419,293.108551,1354.293945
13,0,-0.461061,-0.084565,0.072639,-19.090910,252.991135,949.927917,0.095244,-0.009840,-0.065679,-127.003860,223.027405,1209.710571,-0.247109,0.212268,0.117890,84.877975,239.456802,1210.524658,0.409571,-0.969533,2.730666,132.005707,295.142212,1354.653442
14,0,-0.461081,-0.084549,0.073263,-19.109724,253.003662,949.938416,0.094503,-0.009855,-0.065449,-127.115578,223.056641,1209.712280,-0.248254,0.213579,0.118552,84.788200,239.620361,1210.523315,0.396232,-0.952911,2.759703,131.972961,297.558624,1354.324707
15,0,-0.461540,-0.084810,0.073434,-19.148678,252.984314,949.940491,0.094489,-0.009925,-0.064248,-127.223892,223.054947,1209.703857,-0.244837,0.206066,0.118337,84.587639,239.573395,1210.826782,0.403455,-0.963214,2.726679,132.508728,300.146484,1354.937622
16,0,-0.461666,-0.084455,0.074506,-19.197052,252.970642,949.965271,0.094073,-0.009339,-0.064665,-127.362740,223.059097,1209.731079,-0.249707,0.213661,0.120704,84.552925,239.876129,1210.572021,0.406264,-0.954566,2.723849,132.679871,303.407532,1355.156616
17,0,-0.462489,-0.084131,0.074804,-19.263460,252.928314,949.974121,0.064208,-0.018400,-0.092734,-127.631500,222.706055,1210.053711,-0.248143,0.212042,0.121273,84.410301,239.969330,1210.659302,0.396241,-0.960158,2.717578,133.195419,306.586884,1355.868286
18,0,-0.462967,-0.083871,0.075698,-19.341532,252.898193,950.005737,0.064387,-0.017790,-0.092382,-127.753448,222.691071,1210.139648,-0.243395,0.206363,0.120712,84.184082,240.065079,1211.011108,0.385467,-0.954682,2.709995,133.585815,310.441498,1356.536987
19,0,-0.463013,-0.084764,0.076365,-19.424601,252.837982,950.048950,0.062461,-0.017515,-0.091060,-127.823158,222.626678,1210.202271,-0.243040,0.207125,0.120754,84.097946,240.171478,1211.088013,0.380771,-0.961395,2.706200,134.190536,314.560883,1357.334595
20,0,-0.463632,-0.085555,0.077875,-19.521641,252.810150,950.099121,0.050467,-0.016996,-0.093643,-127.833977,222.619766,1210.203125,-0.243366,0.207102,0.120407,83.978111,240.309937,1211.214478,0.374732,-0.957051,2.704206,134.697235,319.320038,1358.243042
21,0,-0.464379,-0.086856,0.078149,-19.596575,252.752060,950.122131,0.069631,-0.039125,-0.063602,-128.537491,222.877487,1211.045776,-0.244335,0.207275,0.120821,83.888664,240.352966,1211.310059,0.367780,-0.954571,2.699144,135.338776,324.649078,1359.353027
22,0,-0.464916,-0.087256,0.078995,-19.669449,252.723038,950.153442,0.087371,-0.034187,-0.043440,-128.279968,222.908707,1210.693604,-0.246063,0.208522,0.119740,83.775208,240.464661,1211.498047,0.361429,-0.948288,2.693835,136.015640,330.617554,1360.653564
23,0,-0.464941,-0.087950,0.079859,-19.735229,252.687042,950.192627,0.090448,-0.035167,-0.072433,-128.439102,223.157196,1210.783325,-0.260607,0.212774,0.128336,83.879669,240.903519,1211.901611,0.357451,-0.938012,2.689742,136.722290,337.268127,1362.001831
24,0,-0.464997,-0.089027,0.080132,-19.809162,252.652496,950.245850,0.072757,-0.015645,-0.083171,-128.340775,222.003082,1210.908447,-0.263829,0.213524,0.127321,83.730186,241.050369,1212.242920,0.352163,-0.925849,2.685573,137.573242,344.637329,1363.493896
25,0,-0.465232,-0.090237,0.081717,-19.875401,252.592682,950.307678,0.069997,-0.017251,-0.082233,-128.448456,221.720825,1211.023560,-0.288010,0.186232,0.161459,85.558098,237.605362,1209.138916,0.349294,-0.904553,2.679213,138.458008,352.686737,1365.142090
26,0,-0.464722,-0.091828,0.082779,-19.954311,252.563385,950.396179,0.070419,-0.018423,-0.080400,-128.605240,221.340469,1211.173218,-0.282287,0.187024,0.151965,85.447411,237.919922,1209.489014,0.342382,-0.888242,2.686809,139.323364,361.155884,1366.715332
27,0,-0.464216,-0.092513,0.084496,-20.032598,252.495026,950.449829,0.069133,-0.019028,-0.078569,-128.770569,220.940109,1211.281372,-0.280914,0.185855,0.154638,85.261078,237.943832,1209.726563,0.341445,-0.882769,2.669618,140.595688,370.178009,1368.484741
28,0,-0.463613,-0.093564,0.086011,-20.123203,252.408234,950.500793,0.103909,-0.005343,-0.045492,-128.848145,220.949234,1211.168457,-0.279771,0.185178,0.160713,85.028206,237.959198,1209.868164,0.338649,-0.870908,2.659899,141.745499,379.803741,1370.130005
29,0,-0.462905,-0.093584,0.087741,-20.207775,252.322311,950.528992,0.103994,-0.004089,-0.043934,-129.034851,220.566818,1211.273682,-0.279384,0.188744,0.167499,84.776527,237.969528,1209.926636,0.321952,-0.859850,2.654059,142.934341,390.061432,1371.747314
30,0,-0.475404,-0.088179,0.055778,-20.252050,252.672409,950.602173,0.072778,-0.016472,-0.069524,-129.342834,219.761749,1211.617432,-0.276348,0.196071,0.174543,84.578804,238.006546,1210.312378,0.321998,-0.850079,2.635371,144.241653,401.085052,1373.438232
31,0,-0.456662,-0.101050,0.106466,-20.575726,252.160370,950.836792,0.106288,-0.005697,-0.032594,-129.421982,219.654709,1211.470581,-0.287122,0.200981,0.173655,84.258102,238.014786,1210.613525,0.312142,-0.826887,2.631111,145.436142,412.822388,1374.906738
32,0,-0.453900,-0.094166,0.102392,-20.794815,252.297913,951.099548,0.072638,-0.019545,-0.060219,-129.667374,218.735565,1211.767090,-0.285811,0.198768,0.178908,83.885803,237.982727,1210.506348,0.290977,-0.791499,2.634202,146.558441,425.386688,1376.140869
33,0,-0.456062,-0.099665,0.109633,-20.815094,251.985458,951.011841,0.074418,-0.018136,-0.058979,-129.833801,218.291855,1211.887085,-0.285042,0.199895,0.181752,83.887207,238.004684,1210.787109,0.271117,-0.759538,2.626798,147.794724,438.904602,1377.348755
34,0,-0.455977,-0.098681,0.110580,-20.922874,251.876617,951.106750,0.075907,-0.016835,-0.057152,-130.013260,217.796753,1212.003174,-0.284461,0.204164,0.185099,83.716011,237.950241,1210.803589,0.259082,-0.719837,2.614655,149.009995,452.920807,1378.427856
35,0,-0.453993,-0.098473,0.111994,-21.025133,251.778595,951.200745,0.106970,-0.002994,-0.026450,-130.133606,217.545746,1211.928833,-0.284749,0.206119,0.188656,83.429779,237.925644,1210.802856,0.259666,-0.689573,2.599354,150.424637,467.309174,1379.168701
36,0,-0.452539,-0.097875,0.110926,-21.092842,251.670029,951.274658,0.109254,0.002007,-0.046605,-130.409973,217.402710,1212.419434,-0.285800,0.208504,0.190634,83.218712,237.829544,1210.796753,0.237822,-0.637208,2.601404,152.119125,481.915283,1379.736694
37,0,-0.451066,-0.097125,0.109700,-21.155071,251.575943,951.360107,0.111114,0.010334,-0.051103,-130.807770,216.845383,1212.331909,-0.282388,0.211173,0.196553,83.057411,237.708023,1210.848877,0.227419,-0.607837,2.585495,154.129730,496.933167,1380.217163
