Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.034448,-0.002645,-0.111368,-35.070618,278.505585,1121.775757,0.000368,0.019948,-0.082785,-146.673431,220.981247,1369.835815,0.068251,0.024912,-0.049952,40.660938,209.218002,1383.107056,0.954018,0.868942,1.572194,138.602432,437.315643,1472.773804
2,0,0.007928,0.005528,-0.118457,-35.112350,278.001526,1122.112549,0.002034,0.020342,-0.083496,-146.805771,220.551331,1370.048828,0.059300,0.028548,-0.058983,40.433891,208.424377,1383.566406,0.939219,0.844375,1.564535,137.646744,450.068878,1475.674927
3,0,0.010705,0.006014,-0.120855,-34.917019,277.710785,1122.250000,0.004553,0.020905,-0.084992,-146.934448,220.121521,1370.300903,0.026799,0.049526,-0.086669,40.387157,207.481827,1383.589600,0.920116,0.850400,1.554977,136.956757,463.591888,1478.813843
4,0,0.013235,0.007271,-0.124957,-34.767303,277.438385,1122.425537,0.008131,0.020226,-0.084213,-147.075348,219.647064,1370.564941,0.019342,0.039128,-0.090875,40.266373,206.786942,1383.994263,0.886133,0.893679,1.536320,136.363052,478.020050,1481.703613
5,0,0.017396,0.007346,-0.126349,-34.655270,277.145691,1122.583618,0.029699,0.013367,-0.055208,-147.447708,219.387924,1371.171875,0.052633,0.018211,-0.069118,39.961246,205.888046,1384.234253,0.873228,0.842959,1.552235,134.770569,491.004456,1484.530151
6,0,0.018060,0.006239,-0.128410,-34.586346,276.857758,1122.737183,0.009169,0.013748,-0.099228,-147.289597,218.592560,1371.231323,0.047957,0.017451,-0.071619,39.775890,205.035660,1384.527588,0.831202,0.904632,1.508016,134.207047,506.740204,1486.874634
7,0,0.020893,0.004731,-0.129641,-34.517387,276.596039,1122.880615,0.031350,0.010794,-0.058486,-147.668106,218.439423,1371.584595,0.073365,0.001368,-0.052856,39.538895,204.231201,1384.776978,0.808829,0.916064,1.490159,133.205307,521.114075,1488.664063
8,0,0.021543,0.003145,-0.130841,-34.474609,276.326965,1123.035034,0.032805,0.009519,-0.058969,-147.795532,217.919724,1371.799927,0.101956,-0.009237,-0.043187,39.443707,203.394897,1384.908203,0.758796,0.947372,1.477918,132.376358,535.286011,1490.794189
9,0,0.023283,0.001728,-0.132430,-34.435669,276.051910,1123.170654,0.023320,0.007062,-0.084294,-147.872818,217.121185,1371.995117,0.086364,-0.001583,-0.052862,39.319260,202.652252,1385.084961,0.733146,0.957239,1.458984,131.372955,549.067932,1492.601074
