Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.499618,-0.099152,0.079552,-12.260241,178.531631,946.907349,0.066126,-0.044703,-0.038532,-129.206543,146.745300,1205.140259,-0.265258,0.215521,0.158569,80.903885,173.957779,1209.852051,0.272992,-0.734926,3.003164,112.990677,252.306229,1349.349976
2,0,-0.471832,-0.103612,0.079381,-12.323070,179.003326,946.938416,0.068166,-0.067711,-0.024775,-129.753922,146.719879,1205.722412,-0.258917,0.217943,0.159074,80.767052,174.085251,1209.916626,0.263979,-0.705615,3.015338,112.911858,257.020325,1348.958740
3,0,-0.471817,-0.104192,0.081358,-12.430386,178.974930,946.956726,0.069691,-0.066576,-0.024506,-129.798904,146.542023,1205.812500,-0.251038,0.222640,0.161701,80.659294,174.144394,1209.900757,0.255702,-0.712837,2.990041,113.569374,262.616943,1349.145874
4,0,-0.471364,-0.104103,0.083292,-12.545109,178.925446,946.977173,0.071731,-0.065743,-0.022130,-129.843369,146.312790,1205.885864,-0.267308,0.211092,0.159032,80.773865,173.674255,1210.167847,0.255251,-0.672084,2.993508,113.656731,268.705505,1349.002197
5,0,-0.470738,-0.104877,0.084763,-12.631996,178.883041,946.999512,0.077306,-0.041215,-0.035434,-129.444931,145.880280,1205.535889,-0.266618,0.209810,0.159602,80.721870,173.563141,1210.233521,0.255360,-0.659613,2.985969,114.309509,275.349396,1348.860596
6,0,-0.469546,-0.105065,0.086646,-12.731577,178.848145,947.031799,0.073884,-0.041587,-0.032861,-129.456772,145.685181,1205.548706,-0.266695,0.208133,0.159533,80.617699,173.542648,1210.373169,0.236479,-0.639882,2.991936,114.982185,282.488953,1348.870361
7,0,-0.469871,-0.105517,0.087741,-12.802420,178.774734,947.061340,0.073898,-0.041996,-0.033435,-129.492447,145.433624,1205.650269,-0.306054,0.181871,0.204178,82.842804,169.275848,1206.698120,0.232960,-0.623763,2.984247,115.863777,290.087250,1348.656616
8,0,-0.487196,-0.118809,0.094918,-12.690592,178.163818,946.749695,0.073867,-0.041348,-0.030462,-129.524979,145.111450,1205.752930,-0.296963,0.182489,0.193576,82.743538,169.470703,1206.738525,0.234757,-0.605219,2.973076,116.839111,298.101227,1348.498901
9,0,-0.468455,-0.106373,0.089946,-12.910955,178.690903,947.123291,0.075065,-0.040440,-0.027994,-129.565338,144.783875,1205.859131,-0.296651,0.179527,0.197100,82.463768,169.341232,1206.438721,0.245965,-0.591982,2.952295,117.897560,306.503784,1348.241577
10,0,-0.468029,-0.106434,0.091448,-12.936654,178.636353,947.170288,0.074846,-0.040045,-0.027321,-129.612930,144.464478,1205.945313,-0.307396,0.195854,0.198355,82.582329,169.177063,1207.240356,0.228975,-0.575203,2.950048,119.056892,315.299805,1348.117310
11,0,-0.484757,-0.119975,0.097311,-12.769623,178.033569,946.861145,0.072360,-0.040876,-0.030576,-129.670105,144.154800,1206.050781,-0.318517,0.218757,0.181044,82.969917,169.170181,1207.410278,0.209677,-0.559139,2.943765,120.201271,324.187408,1347.628296
12,0,-0.470286,-0.110202,0.084887,-12.700412,178.463257,946.916504,0.072012,-0.040658,-0.032845,-129.695038,143.850403,1206.189941,-0.318695,0.219564,0.182317,82.903915,169.007492,1207.496216,0.201226,-0.547137,2.931258,121.542000,333.461548,1347.265869
13,0,-0.472731,-0.106372,0.118408,-12.974616,178.724457,947.383362,0.073943,-0.039825,-0.030953,-129.713928,143.580399,1206.308350,-0.317114,0.221309,0.182002,82.947235,168.809311,1207.671509,0.195093,-0.535249,2.912636,122.946602,343.008087,1346.897217
14,0,-0.461761,-0.114225,0.105793,-13.133750,178.590927,947.646057,0.078194,-0.040173,-0.025939,-129.733124,143.294266,1206.431396,-0.309359,0.220959,0.189043,82.798569,168.660843,1207.504639,0.182949,-0.520052,2.897378,124.541473,352.746674,1346.395020
15,0,-0.462039,-0.108365,0.101005,-13.191169,178.693359,947.878601,0.081132,-0.041348,-0.021976,-129.764893,142.980743,1206.531616,-0.302202,0.211287,0.196787,82.922462,168.485779,1207.593018,0.174108,-0.498335,2.879576,126.255379,362.658844,1345.692749
16,0,-0.441801,-0.123631,0.112298,-12.889859,178.606369,947.548706,0.081646,-0.042022,-0.020378,-129.801468,142.645401,1206.628174,-0.301588,0.212476,0.197088,82.881477,168.246536,1207.654053,0.162422,-0.473047,2.855936,127.962410,373.131439,1345.063232
17,0,-0.459515,-0.113796,0.107797,-12.973488,178.414719,947.837708,0.080624,-0.043613,-0.019933,-129.808426,142.261414,1206.696045,-0.302325,0.211776,0.199998,82.776291,168.043884,1207.659424,0.158351,-0.458639,2.853434,129.712708,383.245300,1344.097778
18,0,-0.458622,-0.113485,0.109385,-12.883663,178.337357,947.912537,0.082476,-0.042195,-0.019044,-129.870758,141.938217,1206.796509,-0.286964,0.198134,0.215745,82.509605,167.681564,1207.762695,0.146779,-0.430196,2.834592,131.530731,393.543365,1343.225464
19,0,-0.457222,-0.113692,0.111695,-12.801661,178.242142,947.986328,0.084881,-0.039967,-0.019504,-129.950150,141.634338,1206.907471,-0.298361,0.199608,0.210778,82.370819,167.500046,1207.674683,0.157052,-0.385265,2.805775,133.512543,403.633575,1341.932617
20,0,-0.456660,-0.113526,0.111506,-12.698984,178.144180,948.050964,0.083220,-0.026856,-0.029496,-129.698257,141.159393,1206.749390,-0.306813,0.200548,0.205491,82.244431,167.279587,1207.593384,0.126542,-0.368534,2.789342,135.565689,413.831848,1341.078613
21,0,-0.455916,-0.113579,0.110715,-12.604307,178.066254,948.134033,0.082651,-0.038771,-0.020178,-129.996475,140.831543,1207.071411,-0.315268,0.213246,0.193831,82.427765,167.178604,1207.761108,0.110850,-0.349502,2.770705,137.326065,423.847900,1339.994507
22,0,-0.454581,-0.113741,0.109469,-12.495580,177.948257,948.203857,0.084400,-0.038431,-0.017720,-130.085953,140.468124,1207.178101,-0.315774,0.212551,0.194498,82.334557,166.962021,1207.836548,0.098748,-0.338707,2.746636,139.425934,433.705963,1338.831055
23,0,-0.453231,-0.113871,0.107667,-12.377913,177.841309,948.286621,0.085959,-0.037196,-0.014806,-130.199554,140.134750,1207.289307,-0.315029,0.201227,0.195835,82.333084,166.727356,1207.709839,0.075974,-0.330107,2.729167,141.765518,443.553711,1337.920288
24,0,-0.452107,-0.113502,0.106564,-12.284829,177.725357,948.370361,0.086206,-0.036236,-0.013073,-130.283707,139.762115,1207.382568,-0.285993,0.169225,0.209945,82.019524,166.517731,1207.747192,0.065121,-0.309833,2.706681,144.033569,453.070007,1336.686768
25,0,-0.451941,-0.113961,0.104803,-12.212186,177.616928,948.475586,0.085302,-0.037605,-0.011250,-130.326538,139.343567,1207.451782,-0.282481,0.158961,0.208703,81.824860,166.309402,1207.862305,0.050789,-0.289622,2.699198,146.766876,462.490204,1335.861938
26,0,-0.451757,-0.114525,0.103451,-12.136144,177.484467,948.557495,0.084675,-0.038920,-0.011578,-130.331131,138.961792,1207.511475,-0.282351,0.158092,0.212425,81.736214,166.140289,1207.899292,0.042123,-0.270682,2.682013,149.350800,471.540741,1334.793335
27,0,-0.444753,-0.119283,0.137010,-12.223874,177.240585,948.792908,0.086995,-0.039064,-0.008909,-130.322067,138.592484,1207.581543,-0.286851,0.165025,0.219385,81.448532,165.874802,1207.977783,0.045444,-0.232541,2.661424,151.652267,479.958923,1333.407593
28,0,-0.447466,-0.116072,0.120262,-12.128454,177.201797,948.788269,0.088588,-0.040408,-0.006069,-130.316162,138.171066,1207.642456,-0.302217,0.180850,0.212504,81.185143,165.648026,1208.088013,0.012543,-0.228839,2.647549,154.570419,488.792816,1332.787720
29,0,-0.449099,-0.113974,0.110486,-12.068428,177.104782,948.793030,0.091031,-0.039493,-0.004674,-130.386017,137.813034,1207.787109,-0.301299,0.180015,0.215041,81.095345,165.534943,1208.161865,-0.013111,-0.221517,2.636016,157.183945,496.715240,1331.945313
30,0,-0.450015,-0.112707,0.103993,-12.043647,176.988983,948.821472,0.090369,-0.039249,-0.002660,-130.469498,137.441345,1207.919922,-0.302181,0.181247,0.216465,81.010994,165.450394,1208.250488,-0.008370,-0.198768,2.609205,159.366348,504.360809,1330.822998
31,0,-0.449683,-0.112417,0.101967,-12.038078,176.857056,948.857849,0.089327,-0.038285,0.000649,-130.549728,137.096085,1208.063599,-0.302781,0.182334,0.218061,80.915787,165.367249,1208.342896,-0.016545,-0.202187,2.583785,161.928009,511.710693,1329.964355
32,0,-0.449956,-0.112345,0.101089,-12.051104,176.739685,948.900024,0.088898,-0.037924,0.001029,-130.569992,136.745636,1208.168457,-0.302766,0.182673,0.220695,80.809082,165.277267,1208.413818,-0.041042,-0.188118,2.575044,164.453949,518.992981,1329.295044
33,0,-0.449830,-0.112717,0.101033,-12.102680,176.623444,948.961731,0.087586,-0.037689,0.000585,-130.606094,136.360931,1208.269043,-0.303807,0.183844,0.222052,80.715492,165.220718,1208.485474,-0.053558,-0.172992,2.557301,167.126770,525.787659,1328.479858
34,0,-0.450064,-0.112404,0.101179,-12.156111,176.483826,949.015015,0.087611,-0.037116,-0.000220,-130.642105,135.982452,1208.379395,-0.304060,0.184378,0.223833,80.617088,165.165237,1208.548096,-0.056915,-0.166002,2.542526,169.611450,532.327026,1327.721680
