Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.021755,0.007970,0.021178,-55.379467,265.978241,1124.296631,1.416967,0.166291,2.866451,-158.798538,195.546555,1379.400879,-0.007994,0.030242,0.030844,39.407993,209.065781,1382.843750,0.874513,0.447791,1.448119,156.461609,344.849976,1430.391357
2,0,0.019598,0.008320,0.016494,-55.711964,266.127899,1124.048706,1.415035,0.169524,2.870280,-159.134399,195.144608,1379.282227,-0.043884,0.034049,0.005954,38.683369,209.239807,1383.073120,0.867431,0.438362,1.449086,155.508270,352.189697,1431.600342
3,0,0.020518,0.012133,0.026732,-56.040871,266.037720,1124.253784,1.411208,0.172998,2.872638,-159.513794,194.669540,1379.133667,-0.053552,0.043096,0.000086,38.058010,209.635605,1383.223633,0.875770,0.434595,1.445851,154.810028,359.809174,1433.070313
4,0,0.018399,0.011252,0.029256,-56.223248,266.180756,1124.314575,0.004969,0.048631,0.049982,-150.791611,201.726120,1373.819458,-0.079781,0.130628,-0.038970,38.820896,209.091064,1382.390015,0.859999,0.425805,1.452115,154.067551,367.985382,1434.771729
5,0,-0.003018,0.005029,0.053383,-56.492393,266.700226,1124.460693,0.006010,0.047207,0.053620,-151.211212,201.254196,1373.771851,-0.131430,0.164464,-0.080262,38.150295,208.985046,1382.439331,0.855796,0.413567,1.449798,153.420914,376.548676,1436.699829
6,0,0.020376,0.009848,0.030057,-56.595837,266.351593,1124.422607,0.007869,0.045960,0.058605,-151.673462,200.731857,1373.708618,-0.102440,0.110141,-0.030671,37.145290,210.076431,1383.323486,0.831211,0.364559,1.431988,152.375671,385.814178,1438.567017
7,0,0.020530,0.009823,0.030285,-56.751343,266.453278,1124.457642,0.008987,0.043315,0.064103,-152.114944,200.206848,1373.641113,-0.015223,0.101359,0.004459,37.493961,209.716873,1382.237671,0.826731,0.395318,1.450929,152.200516,394.828735,1441.282471
8,0,0.039987,0.007375,0.037084,-56.818428,266.708374,1124.398804,0.019767,0.012442,0.101616,-151.938446,199.306198,1372.736572,-0.025130,0.057978,0.029917,35.896255,210.452026,1383.639038,0.818224,0.387701,1.444694,151.849319,404.341187,1443.959961
9,0,0.027406,0.010496,0.032191,-57.090137,266.812103,1124.632690,0.017379,0.014900,0.102778,-152.453339,198.700867,1372.738770,0.013105,0.036855,0.063429,35.327408,210.652390,1383.671387,0.802742,0.384661,1.445524,151.324768,414.380341,1446.546509
10,0,0.028794,0.010831,0.032739,-57.174641,266.931885,1124.632080,0.018311,0.013384,0.109816,-152.871338,198.062943,1372.594116,0.011022,0.040412,0.062807,34.889278,210.749344,1383.699707,0.792412,0.385497,1.441986,150.856216,424.848846,1449.184692
11,0,0.027857,0.010812,0.033418,-57.257191,266.998566,1124.612427,0.019699,0.011784,0.116040,-153.293396,197.402954,1372.451538,0.003083,0.048557,0.057721,34.139416,210.920914,1383.705322,0.774272,0.399500,1.447178,150.579300,435.604340,1451.960815
