Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.395573,-0.872388,3.074054,-19.032030,-32.938229,672.183350
2,0,-0.368876,-0.906448,3.050185,-19.015198,-33.568970,671.727905
3,0,-0.368910,-0.906992,3.049803,-19.019646,-33.571308,671.722961
4,0,-0.369489,-0.907003,3.049820,-19.032467,-33.575607,671.727051
5,0,-0.368760,-0.906976,3.049706,-19.044352,-33.581772,671.725220
6,0,-0.369077,-0.906758,3.049989,-19.048052,-33.588615,671.731201
7,0,-0.369240,-0.907329,3.049605,-19.059340,-33.594063,671.729614
8,0,-0.368997,-0.907196,3.049876,-19.067293,-33.596867,671.722290
9,0,-0.369564,-0.907149,3.049947,-19.070366,-33.593590,671.725708
10,0,-0.369285,-0.907335,3.049931,-19.076496,-33.584953,671.722412
11,0,-0.369417,-0.907386,3.049911,-19.065214,-33.577057,671.712708
12,0,-0.369003,-0.907066,3.049973,-19.066589,-33.569405,671.714600
13,0,-0.368937,-0.907070,3.050123,-19.063976,-33.553505,671.721130
14,0,-0.368666,-0.906611,3.049852,-19.047525,-33.547462,671.721130
15,0,-0.368301,-0.906993,3.049666,-19.045158,-33.549038,671.717773
16,0,-0.368617,-0.907129,3.049874,-19.043835,-33.550030,671.715210
17,0,-0.368538,-0.907426,3.049602,-19.051437,-33.547714,671.713989
18,0,-0.368765,-0.907006,3.049871,-19.059902,-33.560841,671.711426
19,0,-0.369274,-0.907505,3.049602,-19.064308,-33.571918,671.710022
20,0,-0.369301,-0.907713,3.049699,-19.078203,-33.580063,671.711975
21,0,-0.369536,-0.907704,3.049661,-19.079351,-33.576347,671.722839
22,0,-0.369005,-0.908100,3.049113,-19.073317,-33.576290,671.718384
23,0,-0.369098,-0.907968,3.049405,-19.068127,-33.576736,671.710938
24,0,-0.368238,-0.908277,3.049180,-19.055113,-33.571720,671.710388
25,0,-0.368486,-0.908231,3.049283,-19.048433,-33.565987,671.702759
26,0,-0.367568,-0.908696,3.048914,-19.037409,-33.562592,671.706665
27,0,-0.367186,-0.908538,3.049060,-19.026369,-33.562328,671.714966
28,0,-0.367295,-0.909049,3.048656,-19.009968,-33.562748,671.713562
29,0,-0.367874,-0.908552,3.049185,-19.015497,-33.579189,671.715210
30,0,-0.367730,-0.909243,3.049335,-19.023264,-33.594933,671.707031
31,0,-0.368015,-0.909677,3.049438,-19.025078,-33.602535,671.700378
32,0,-0.368402,-0.909904,3.049372,-19.030451,-33.616192,671.691895
