Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.022920,0.026489,-1.558321,-1132.269409,-86.131020,1136.401123,-0.020578,0.021790,1.400171,416.449707,-204.372055,1130.870483,0.135555,-0.253993,-1.744110,-1166.860596,21.356907,1332.798828,-0.007872,0.019461,1.473991,460.502747,-313.142822,1382.456055,,,,,,,0.131853,0.019110,1.566947,479.873230,-126.605797,1398.634521,-0.098312,-0.824470,0.639479,-992.743103,-207.353363,1459.643799,0.095991,1.543326,3.011912,277.107635,-67.325386,1470.180054
2,0,0.001731,0.011466,-1.571844,-1132.584595,-85.423721,1136.307373,-0.045183,0.013532,1.388924,416.828278,-204.436981,1130.726685,0.133376,-0.256544,-1.725483,-1167.662231,22.024048,1332.848633,-0.010382,0.038869,1.440798,461.180664,-312.719330,1382.616821,,,,,,,0.103853,0.013099,1.551742,480.444336,-126.760658,1398.820190,-0.099774,-0.821042,0.633063,-986.842529,-207.008896,1460.439087,0.083962,1.544743,3.005068,266.618622,-67.885124,1472.148804
3,0,-0.002432,0.015504,-1.570005,-1132.804688,-84.653923,1136.126587,-0.046009,0.012022,1.389269,417.010315,-204.246597,1130.674438,0.133352,-0.253856,-1.720391,-1168.369385,22.788399,1333.004761,-0.007341,0.058148,1.451030,461.645416,-312.842529,1382.673584,,,,,,,0.121251,0.056716,1.522218,481.619873,-127.537773,1398.233032,-0.096306,-0.811528,0.629901,-979.845337,-206.637344,1461.479126,0.057907,1.533001,3.001880,255.462677,-68.795876,1473.844360
4,0,-0.007311,0.018261,-1.565525,-1132.963989,-83.746712,1136.097412,-0.040317,0.021102,1.377651,417.399628,-204.173904,1130.779785,0.134604,-0.251843,-1.714403,-1169.175781,23.440556,1333.196655,-0.005727,-0.053796,1.452513,460.517120,-314.307251,1384.468872,,,,,,,0.118703,0.056548,1.523537,482.140350,-127.588837,1398.279175,-0.093161,-0.802409,0.624597,-971.481934,-206.167755,1462.871582,0.031417,1.529210,2.993130,243.949570,-69.431602,1475.454102
5,0,-0.012807,0.018719,-1.555870,-1133.212646,-82.848061,1136.118530,-0.045301,0.030147,1.373362,417.701508,-204.040207,1130.724487,0.135097,-0.246715,-1.705016,-1170.174805,24.135527,1333.436890,-0.002743,-0.040858,1.461839,460.774109,-314.588379,1384.532715,,,,,,,0.117538,0.066078,1.523411,482.698425,-127.596092,1398.160400,-0.072744,-0.832335,0.571371,-961.550110,-205.080353,1464.046753,0.016552,1.517564,2.985932,232.125839,-70.069443,1476.778809
6,0,-0.017246,0.023625,-1.547531,-1133.540649,-82.041016,1136.132935,-0.042347,0.026535,1.373543,417.796387,-204.087814,1130.941406,0.129831,-0.246631,-1.695170,-1171.270630,24.838684,1333.631104,-0.012947,-0.057285,1.453384,461.717590,-314.721985,1384.578003,,,,,,,0.117724,0.057615,1.525096,483.201813,-127.980637,1398.664063,-0.066072,-0.813200,0.570294,-950.671265,-204.391418,1465.929688,-0.021073,1.532755,2.973489,220.213638,-70.441147,1478.210205
7,0,-0.035434,0.043234,-1.539053,-1134.227417,-81.221413,1136.227295,-0.041855,0.027273,1.371812,417.901520,-204.106979,1131.087646,0.129210,-0.248041,-1.695003,-1172.391968,25.533588,1333.857788,-0.010048,-0.050891,1.439512,462.153473,-314.565277,1385.113892,0.031609,0.249363,-1.435616,-1162.586182,-193.383118,1344.356323,0.108495,0.037522,1.527781,483.953125,-128.396255,1398.961670,-0.055597,-0.797361,0.559476,-938.424561,-203.561325,1467.897583,-0.051082,1.525842,2.963121,208.228653,-70.892654,1479.475098
8,0,-0.033871,0.042009,-1.534877,-1134.723267,-80.391716,1136.384888,-0.041717,0.027406,1.371021,418.009796,-204.144821,1131.221313,0.133912,-0.249979,-1.681097,-1173.697144,26.156807,1334.158447,-0.008071,-0.042070,1.454497,462.711975,-315.013824,1385.043457,0.018040,0.258467,-1.425322,-1162.065430,-192.406433,1344.881226,0.092446,0.043501,1.514229,484.317200,-128.600922,1399.254028,-0.047905,-0.772205,0.551623,-925.068665,-202.616516,1470.195801,-0.067287,1.508851,2.949713,196.273666,-71.455475,1480.740723
9,0,-0.039062,0.041040,-1.526867,-1135.256470,-79.663315,1136.532837,-0.045408,0.023046,1.377250,418.001312,-204.232361,1131.380371,0.110600,-0.245908,-1.663982,-1175.255737,26.501019,1334.160522,-0.003763,-0.039419,1.459774,463.269806,-315.218201,1385.181519,0.017546,0.254745,-1.422387,-1161.732544,-191.542938,1345.328003,0.150450,0.069800,1.532008,485.241241,-128.788895,1399.040283,-0.040589,-0.741758,0.548102,-910.586182,-201.373306,1472.713989,-0.072938,1.474001,2.937505,184.304657,-72.126793,1481.919312
