Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.422163,0.085161,-0.495322,11.980937,-476.392242,1147.239380,0.329759,-0.046643,0.236142,-101.507187,-570.459045,1365.399902,-0.031190,0.113812,0.519006,101.542084,-489.046692,1382.836304,-0.912955,-0.313528,1.872222,92.881950,68.303474,1487.278076
2,0,-0.426149,0.092143,-0.512429,12.737710,-476.441742,1147.147583,0.327776,-0.041190,0.216886,-101.084747,-568.836731,1365.691650,-0.074138,0.122737,0.485280,102.667267,-489.312469,1382.161987,-0.915212,-0.279881,1.870984,101.636398,68.663078,1474.066772
3,0,-0.431295,0.094016,-0.533909,13.530410,-476.578247,1146.979736,0.325268,-0.038432,0.205232,-100.571388,-567.148682,1365.977661,-0.097075,0.131621,0.505190,104.838745,-491.126770,1380.937378,-0.922960,-0.244874,1.865655,110.558067,68.933678,1460.524170
4,0,-0.206430,-0.033620,0.289162,13.467249,-482.347839,1146.922363,0.318931,-0.039133,0.185110,-100.018318,-565.449463,1366.520752,-0.094838,0.123219,0.509503,106.621948,-492.904144,1379.550537,-0.924956,-0.227383,1.842534,119.746048,68.344749,1446.387939
5,0,-0.219378,-0.026173,0.242584,13.859372,-482.165710,1147.025024,0.313223,-0.037829,0.174632,-99.621956,-563.885498,1366.698486,-0.072782,0.092523,0.550262,108.605850,-495.004395,1377.991211,-0.942442,-0.168424,1.838531,129.121826,67.693848,1431.588867
6,0,-0.219404,-0.023561,0.239243,14.470606,-482.251678,1146.964966,0.313640,-0.037799,0.165606,-99.242577,-562.543762,1366.887695,-0.058355,0.100450,0.533195,109.584610,-495.520416,1377.438721,-0.960355,-0.139420,1.828972,138.849380,67.108749,1416.882935
7,0,-0.186867,-0.000712,0.174691,15.410649,-483.481018,1146.192993,0.306908,-0.037938,0.149680,-98.879784,-561.164368,1367.044434,-0.073464,0.093951,0.525536,110.845741,-496.501892,1376.518433,-0.981886,-0.109803,1.810122,148.966049,65.948883,1402.100708
8,0,-0.195641,-0.016491,0.189475,15.736254,-483.332794,1146.602295,0.315202,-0.039340,0.140474,-98.538353,-559.898743,1367.042480,-0.080420,0.091059,0.526383,111.886215,-497.415436,1375.747070,-1.014291,-0.084701,1.796159,159.028717,64.788132,1387.585815
9,0,-0.210066,-0.045101,0.226689,15.661869,-482.590179,1147.201294,0.294664,-0.039835,0.128370,-98.424828,-558.663513,1367.043335,-0.057457,0.134340,0.433157,113.298615,-499.830994,1374.354736,-1.043745,-0.055016,1.771972,169.531494,63.186787,1373.292603
