Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.047984,-0.011355,0.017731,-51.930382,272.556183,1129.406128,0.015609,-0.025870,0.079429,-163.581055,202.309662,1367.157959,0.388793,-0.249333,0.370286,23.967026,214.252625,1388.642944,0.554497,0.198676,0.716625,352.913452,471.934692,1556.320313
2,0,0.046104,-0.008945,0.014028,-52.176014,272.344513,1129.483643,0.014756,-0.027331,0.079515,-163.881699,201.815491,1367.103149,0.264008,-0.172955,0.254700,23.464409,213.401428,1388.575806,0.576709,0.198302,0.721138,350.652222,475.016479,1564.599365
3,0,0.041191,-0.007797,0.011205,-52.405552,271.916412,1129.473511,0.013843,-0.029695,0.081799,-164.142792,201.306900,1367.022217,0.146565,-0.108122,0.163344,23.102985,213.961716,1388.836304,0.583122,0.180816,0.723079,347.833984,478.583710,1572.735840
4,0,0.039977,-0.008355,0.013491,-52.622784,271.375549,1129.411011,0.016116,-0.022564,0.081678,-164.667770,200.923111,1367.174438,0.081846,-0.076211,0.126929,22.753048,214.164856,1389.617188,0.585339,0.158296,0.732343,344.554413,482.318420,1580.928833
5,0,0.047097,-0.008605,0.012589,-52.845119,271.062561,1129.491577,0.015233,-0.031624,0.086079,-164.808548,200.242035,1366.867188,0.071915,-0.072725,0.123031,22.381449,213.962952,1389.836670,0.598263,0.160469,0.741428,341.006104,486.003143,1589.227173
6,0,0.049607,-0.010227,0.012524,-53.122635,270.794617,1129.580078,0.015379,-0.031363,0.087596,-165.138535,199.638107,1366.819458,0.090695,-0.083810,0.140622,21.805134,213.667068,1389.957397,0.609766,0.146782,0.745131,336.989075,489.816437,1597.311890
7,0,0.044652,-0.009219,0.014485,-53.377556,270.433075,1129.655518,0.014888,-0.031944,0.089424,-165.445648,198.951523,1366.705444,0.097592,-0.101184,0.164623,21.524670,213.815369,1390.513306,0.615459,0.138317,0.753868,332.542236,493.772491,1605.290649
8,0,0.047976,-0.009382,0.016971,-53.685585,270.147308,1129.729736,0.014116,-0.033288,0.090247,-165.738510,198.325089,1366.654907,0.049859,-0.066445,0.106299,21.177494,212.887405,1390.462402,0.626919,0.122147,0.756319,327.919739,497.558502,1612.846558
9,0,0.041227,-0.009310,0.015742,-53.945621,269.605835,1129.680908,0.014201,-0.035221,0.093214,-166.078125,197.680756,1366.619019,0.036180,-0.060593,0.097179,20.744659,212.790237,1390.804443,0.644961,0.115417,0.772530,322.338806,501.385345,1620.402710
10,0,0.051709,-0.010511,0.016772,-52.692917,267.945679,1127.624023,0.015198,-0.037129,0.097262,-166.420425,196.955673,1366.581787,-0.033158,-0.061062,0.067186,19.498343,213.832870,1392.421021,0.652655,0.106450,0.784018,316.620697,505.451080,1627.397461
11,0,0.058557,-0.010749,0.018354,-52.971123,267.718506,1127.719360,0.015979,-0.039758,0.102005,-166.749756,196.170303,1366.500366,-0.005070,-0.073698,0.082488,19.259714,212.586166,1392.074951,0.656389,0.096217,0.797718,310.221771,509.576447,1633.800659
12,0,0.047885,-0.007617,0.013724,-53.287506,267.394257,1127.723633,0.015593,-0.042495,0.106156,-167.094864,195.403214,1366.419922,0.097056,-0.156354,0.207761,18.787552,213.464066,1392.764282,0.654008,0.076814,0.804717,303.470612,514.033142,1639.767212
13,0,0.045262,-0.007692,0.017194,-53.584583,267.166840,1127.760986,0.022453,-0.069048,0.140790,-166.918579,194.323685,1365.695557,-0.092391,0.016627,-0.000714,18.957655,212.298386,1392.344116,0.670949,0.078229,0.823996,296.110596,518.207825,1645.718628
