Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.319620,0.080246,-0.530363,0.146000,-846.547180,1147.460815,0.231358,-0.145774,0.067286,-131.701981,-917.114990,1358.921265,-2.179738,0.029069,2.698037,70.647644,-870.861084,1381.511475,-0.839644,-0.187694,1.672326,96.118744,-324.541473,1569.360229
2,0,-0.320260,0.082823,-0.544053,0.458920,-846.966003,1147.622559,0.232345,-0.145589,0.060684,-131.139404,-917.094055,1359.708740,-2.171749,0.032420,2.692714,71.485298,-871.995361,1381.748169,-0.841318,-0.183007,1.673541,97.574898,-326.243561,1569.119751
3,0,-0.322277,0.086760,-0.565216,0.767820,-847.290039,1147.807617,0.235816,-0.137287,0.053449,-130.660828,-917.041687,1360.395020,-2.165968,0.036364,2.692521,72.266060,-873.190735,1381.941528,-0.845201,-0.186610,1.670471,99.333252,-327.913849,1568.865356
4,0,-0.324315,0.089478,-0.583201,1.031468,-847.669556,1147.995972,0.237655,-0.138174,0.046534,-130.170532,-916.941528,1361.018311,-2.158952,0.036572,2.686765,72.972336,-874.299438,1382.154053,-0.844263,-0.179616,1.669191,100.849274,-329.548340,1568.437744
5,0,-0.324115,0.094379,-0.599450,1.277448,-848.032837,1148.194946,0.238590,-0.133496,0.043768,-129.618546,-916.807556,1361.725586,-2.172227,0.072190,2.701504,74.005981,-876.254578,1381.989014,-0.847211,-0.179186,1.665436,102.330780,-331.158691,1568.114746
6,0,-0.318189,0.096720,-0.609454,1.528275,-848.425415,1148.282227,0.241731,-0.130277,0.034614,-129.092285,-916.606628,1362.397583,-2.142588,0.053183,2.690014,74.335510,-876.621765,1382.530762,-0.843410,-0.166569,1.668761,104.105560,-332.716064,1567.639038
7,0,-0.043797,-0.037073,0.055476,0.718600,-855.307129,1147.149902,0.242820,-0.119072,0.013640,-128.607071,-916.089172,1363.355469,-2.145858,0.084369,2.713198,75.349426,-878.500183,1382.362427,-0.861272,-0.225785,1.660576,105.783119,-333.586975,1568.240967
8,0,-0.051078,-0.049705,0.095815,1.191335,-855.884338,1147.343140,0.238193,-0.113906,0.012503,-127.962975,-915.702698,1364.312988,-2.117147,0.063832,2.693876,75.667747,-878.678040,1382.883667,-0.855361,-0.219198,1.659813,107.452148,-335.028656,1567.884766
9,0,-0.113062,-0.029249,0.101348,0.584850,-858.269226,1146.604614,0.265047,-0.110048,0.037271,-127.794922,-915.571655,1364.612305,-2.107791,0.048233,2.699463,75.800735,-879.530212,1383.446045,-0.849789,-0.212577,1.659940,109.103340,-336.507782,1567.609985
