Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.006392,0.005371,-0.108116,12.254204,445.837952,1124.904785,-0.040368,0.026850,-0.100101,-97.853775,399.759247,1373.674561,0.011389,-0.036092,-0.022698,91.453926,388.652344,1388.051880,-0.492408,0.229193,1.263202,151.802994,733.493896,1304.111572
2,0,-0.022830,0.011569,-0.115943,12.126728,445.432037,1125.204956,-0.041225,0.026254,-0.102109,-97.955475,399.249695,1373.808594,0.093005,-0.049618,0.038520,91.942215,388.402710,1387.558350,-0.471678,0.205076,1.258057,151.629990,740.375977,1320.886719
3,0,-0.009756,0.005474,-0.113614,12.161238,445.243225,1125.398315,-0.068860,0.027570,-0.128314,-97.759087,398.256134,1373.581177,0.091465,-0.042263,0.027308,91.560356,387.777252,1387.808472,-0.448773,0.190201,1.254867,151.839264,746.926331,1336.979370
4,0,-0.003754,-0.002345,-0.121949,12.131849,444.776489,1125.666748,-0.046367,-0.014230,-0.055251,-97.008537,397.009155,1372.625610,0.021473,-0.037649,-0.022116,90.915207,387.016083,1388.767700,-0.427278,0.154817,1.252369,152.182297,753.248169,1352.248047
5,0,0.010239,-0.006778,-0.103335,12.208053,444.842407,1125.547729,-0.043460,-0.014830,-0.052522,-97.117569,396.491760,1372.768799,0.048411,-0.050370,0.003825,90.844521,386.919800,1388.963623,-0.397933,0.152610,1.247213,152.641937,759.303589,1366.428223
6,0,0.015466,0.020569,-0.108995,12.122398,444.716827,1125.588867,-0.040748,-0.014690,-0.051312,-97.215897,395.994232,1372.925537,0.021888,-0.039822,-0.024637,90.583656,386.027679,1389.261353,-0.359330,0.109066,1.249008,153.067215,765.748108,1380.632935
7,0,0.014700,0.012383,-0.110971,12.274812,444.434631,1125.333862,-0.039698,-0.015973,-0.051909,-97.309235,395.469421,1373.074341,0.022485,-0.039224,-0.025729,90.390549,385.658173,1389.655029,-0.344488,0.083733,1.238532,153.711441,771.931091,1393.316284
8,0,0.005821,0.009852,-0.111798,12.357882,444.045441,1125.102173,-0.038689,-0.016364,-0.050398,-97.385529,394.962799,1373.184204,0.022964,-0.038108,-0.025438,90.280426,385.202972,1389.858643,-0.324223,0.070264,1.230695,154.614334,778.097412,1405.345459
9,0,0.020360,0.011459,-0.106671,12.067655,444.138031,1125.603638,-0.037791,-0.017301,-0.050284,-97.461067,394.474945,1373.317139,0.024604,-0.037814,-0.024973,90.146255,384.800964,1390.136841,-0.307590,0.052005,1.215788,155.358429,784.355469,1416.400635
10,0,0.010146,0.011896,-0.111441,12.185633,443.916595,1125.438843,-0.037143,-0.018352,-0.050385,-97.551750,393.961334,1373.461792,0.025567,-0.038401,-0.025157,89.997223,384.410339,1390.447266,-0.298305,0.040798,1.205550,156.030350,790.771240,1426.661743
11,0,0.009261,0.012758,-0.111875,12.133910,443.851135,1125.530151,-0.037012,-0.019225,-0.051285,-97.651924,393.455505,1373.622070,0.024792,-0.039205,-0.025733,89.850334,384.089508,1390.796265,-0.287798,0.027361,1.190189,157.112900,797.012573,1436.096802
12,0,0.010797,0.013100,-0.111267,12.059491,443.860077,1125.629639,-0.034325,-0.019977,-0.050147,-97.767036,392.937744,1373.763794,0.016389,-0.035177,-0.034605,89.746445,383.753723,1391.019897,-0.278242,0.013384,1.169436,158.688553,803.104736,1444.549927
13,0,0.010469,0.013320,-0.110746,11.998498,443.866608,1125.707153,-0.031173,-0.021159,-0.048005,-97.872238,392.425751,1373.878540,0.009264,-0.035781,-0.039306,89.606888,383.419373,1391.387817,-0.280959,-0.003107,1.163717,160.402313,808.841980,1452.042358
14,0,0.010999,0.013463,-0.110239,11.897422,443.916626,1125.788208,-0.029442,-0.021729,-0.045974,-97.972801,391.931274,1373.997559,0.033010,-0.051161,-0.017769,89.502296,383.201630,1391.732910,-0.276109,-0.003175,1.144849,161.694962,815.064758,1458.889526
15,0,0.011750,0.013563,-0.109024,11.804027,443.978149,1125.842896,-0.028169,-0.021586,-0.042307,-98.082886,391.366394,1374.091553,0.024187,-0.034477,-0.032726,89.396294,382.676147,1391.652954,-0.277978,-0.015225,1.128855,163.560379,820.623047,1464.799805
16,0,0.012100,0.013102,-0.107791,11.676290,444.086823,1125.915039,-0.016677,0.022502,-0.086060,-99.415817,392.134277,1375.792969,0.057500,-0.064306,0.001415,88.968239,382.579315,1391.929199,-0.280467,-0.020008,1.113315,165.391846,826.142639,1469.895386
17,0,0.012590,0.012952,-0.107255,11.521393,444.222992,1125.987549,-0.011755,0.003220,-0.039450,-99.240532,390.995880,1375.446167,0.030545,-0.042019,-0.022415,89.018181,382.298859,1391.882446,-0.286876,-0.020204,1.095482,167.268433,831.514038,1474.221924
18,0,0.013544,0.012509,-0.105822,11.333605,444.393402,1126.083130,-0.008138,0.004426,-0.034391,-99.471481,390.486084,1375.542236,0.072552,-0.060044,0.013980,88.862274,382.533142,1392.077515,-0.294537,-0.013451,1.074896,169.089188,836.576355,1477.867310
19,0,0.013885,0.012493,-0.104672,11.128953,444.569061,1126.163452,-0.005311,0.003992,-0.028056,-99.746109,389.949738,1375.629150,0.058414,-0.065404,0.005712,88.257698,382.085938,1392.357422,-0.298394,-0.004618,1.057693,171.217712,841.219727,1480.865845
20,0,0.015278,0.012135,-0.103457,10.905702,444.792664,1126.276489,-0.001391,0.002975,-0.023907,-100.016495,389.459351,1375.744629,-0.002599,0.007135,-0.054360,88.703293,381.867432,1392.175293,-0.305739,0.001167,1.039041,173.105438,845.532532,1483.065430
21,0,0.020371,0.006741,-0.097730,10.931512,444.871521,1126.071777,0.000144,-0.031698,-0.001827,-99.572655,388.395874,1374.866455,0.000023,0.005394,-0.051807,88.389519,381.775055,1392.315796,-0.313959,0.010605,1.025219,175.309326,849.427917,1484.802490
22,0,0.011854,0.024054,-0.090164,10.816158,445.151855,1125.951538,-0.015048,-0.021508,-0.020695,-99.762093,387.677216,1374.780029,0.084402,-0.041714,0.018713,87.865067,382.065887,1392.351685,-0.318947,0.018266,1.010362,177.387344,852.832275,1485.851807
23,0,0.017524,0.016784,-0.091539,10.484402,445.465424,1126.219971,-0.016799,-0.022064,-0.019771,-100.075432,387.120026,1374.849731,0.075283,-0.043926,0.018631,87.384827,382.085358,1392.654785,-0.329870,0.025435,0.995458,179.476639,855.836121,1486.589722
24,0,0.020409,0.013417,-0.093088,10.223162,445.736664,1126.385498,-0.017100,-0.022073,-0.016466,-100.358330,386.545990,1374.856689,0.076052,-0.046229,0.023695,87.001541,382.112305,1392.825439,-0.336144,0.038731,0.981196,181.378738,858.538757,1486.706299
25,0,0.020883,0.013019,-0.092849,10.001495,445.999237,1126.484009,-0.017631,-0.022249,-0.014233,-100.599892,385.948944,1374.830078,0.055814,-0.085364,0.040499,86.171509,382.341980,1393.449585,-0.343449,0.051653,0.971279,183.047424,860.866577,1486.530396
26,0,0.022436,0.012921,-0.092581,9.776573,446.281860,1126.591675,-0.018498,-0.023431,-0.012155,-100.806023,385.354187,1374.774658,0.062651,-0.082167,0.031958,85.862129,382.024811,1393.363525,-0.352438,0.062003,0.961823,184.664825,862.872803,1486.059814
27,0,0.023413,0.013280,-0.091653,9.547720,446.520813,1126.685791,-0.018621,-0.023546,-0.008410,-100.974380,384.711578,1374.663452,0.037564,-0.050355,0.001938,86.309662,381.436920,1392.931885,-0.350931,0.071881,0.957179,186.209961,864.463318,1485.348145
28,0,0.024786,0.013433,-0.089586,9.276545,446.740692,1126.820190,-0.019393,-0.023105,-0.004220,-101.134850,384.067108,1374.559570,0.038488,-0.056522,0.009919,86.057838,381.497498,1392.887573,-0.361183,0.082871,0.951275,187.547775,865.760681,1484.575684
29,0,0.026421,0.012842,-0.086052,8.981143,446.899597,1126.978760,-0.020684,-0.022632,-0.000968,-101.233902,383.340515,1374.458130,0.043347,-0.058576,0.017112,85.997635,381.499176,1392.771973,-0.368212,0.093719,0.946854,188.647034,866.740356,1483.827271
30,0,0.029807,0.012228,-0.081459,8.625898,447.020508,1127.159912,-0.019789,-0.027110,-0.011812,-101.250854,382.842010,1374.232910,0.023599,-0.046491,0.002653,85.926376,381.393188,1392.884521,-0.373533,0.100322,0.941300,189.475983,867.449890,1483.021362
31,0,0.033213,0.011844,-0.076296,8.249517,447.090179,1127.333984,-0.023304,-0.021628,0.004275,-101.388611,381.943878,1374.293091,0.029281,-0.043405,0.009137,85.946762,381.597076,1392.915894,-0.377981,0.110572,0.936518,190.227921,868.013611,1482.401489
