Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-2.332983,1.012781,2.510870,78.453201,270.626251,1211.634888,0.030997,-0.046430,-0.083697,-132.973312,262.234741,1203.254517,,,,,,,0.566511,-0.722024,2.735271,137.720749,355.424072,1353.293701
2,0,-2.316345,0.952237,2.476626,78.210587,271.639404,1211.612061,0.030697,-0.045782,-0.083704,-133.085861,262.146729,1203.331543,,,,,,,0.567320,-0.713690,2.732390,137.708984,359.203430,1353.151733
3,0,-2.320247,0.907128,2.434250,78.180222,272.371368,1211.570679,0.022450,-0.044293,-0.085533,-133.126678,262.071381,1203.317871,,,,,,,0.559233,-0.705233,2.734614,137.741287,363.483215,1353.087769
4,0,-2.333038,0.858693,2.403059,78.237930,272.667603,1211.770996,0.050634,-0.059893,-0.060948,-133.793228,262.183655,1204.071777,,,,,,,0.553834,-0.697646,2.734030,137.857971,368.250214,1352.985352
5,0,-2.343502,0.843873,2.383930,78.272797,272.722595,1211.908447,0.052567,-0.059106,-0.060026,-133.881866,262.066376,1204.167603,,,,,,,0.550523,-0.686275,2.732680,138.124527,373.595001,1352.935791
6,0,-2.346137,0.839712,2.379223,78.184822,272.712646,1211.994263,0.054781,-0.058415,-0.058549,-133.998337,261.941742,1204.259277,,,,,,,0.538525,-0.665711,2.742157,138.458557,379.532043,1352.889771
7,0,,,,,,,0.040840,-0.041197,-0.077879,-133.661209,261.560333,1203.831055,-0.014927,0.019567,0.160103,81.047775,278.768738,1204.189575,0.536853,-0.647689,2.743216,139.034637,386.030365,1352.915894
8,0,,,,,,,0.038934,-0.041599,-0.078968,-133.767441,261.404846,1203.903076,-0.029914,0.026948,0.162212,80.754745,278.485992,1204.162109,0.533584,-0.627635,2.742201,139.863220,393.156128,1352.968018
9,0,,,,,,,0.037568,-0.043164,-0.079226,-133.906708,261.186646,1204.009033,-0.021692,0.021622,0.166448,80.647545,278.513123,1204.319946,0.527327,-0.612140,2.737680,140.804047,400.982178,1353.273438
10,0,,,,,,,0.037522,-0.043200,-0.078061,-134.077850,260.929413,1204.150391,-0.266617,0.175677,0.151828,78.755287,275.252747,1203.236816,0.531880,-0.590028,2.736344,141.793991,409.182007,1353.516724
11,0,,,,,,,0.038231,-0.042810,-0.075248,-134.273117,260.657440,1204.287354,-0.277739,0.196165,0.148301,78.296082,275.205750,1203.334839,0.530947,-0.567295,2.731965,142.963043,417.861725,1353.885376
12,0,,,,,,,0.039398,-0.043115,-0.072597,-134.472824,260.384583,1204.429199,-0.290611,0.209972,0.147117,78.264694,275.180664,1204.122803,0.528627,-0.544502,2.729713,144.190750,426.929474,1354.241455
13,0,,,,,,,0.042543,-0.043262,-0.068942,-134.659409,260.131409,1204.586914,-0.288634,0.206380,0.150529,77.997375,275.088287,1204.201660,0.522611,-0.523560,2.721545,145.676437,436.257629,1354.550659
14,0,,,,,,,0.045623,-0.042108,-0.066086,-134.827621,259.918732,1204.746216,-0.284674,0.204078,0.154378,77.792015,275.050415,1204.354614,0.504652,-0.498245,2.720735,147.171967,445.738342,1354.824829
15,0,,,,,,,0.043858,-0.043322,-0.066006,-135.006226,259.658875,1204.921143,-0.278048,0.205250,0.149265,77.416962,274.830200,1204.289673,0.494125,-0.486496,2.712397,148.639694,455.576447,1355.379883
16,0,2.167718,-0.156046,1.877272,-33.415218,294.771759,964.117065,0.043668,-0.044789,-0.062567,-135.184250,259.349670,1205.109375,-0.275757,0.211869,0.153435,77.131371,274.795227,1204.242065,0.472104,-0.474279,2.703108,150.228088,465.876068,1355.634155
