Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.328390,-0.008591,-0.333847,-33.665600,-913.663513,1147.451294,0.265926,-0.130877,0.044816,-147.778702,-981.174316,1351.862305,,,,,,,0.706355,-0.485631,1.875428,182.902740,-629.739624,1516.013184
2,0,-0.321661,-0.009902,-0.320588,-33.795475,-914.313049,1147.407715,0.240156,-0.145561,0.021387,-149.172516,-982.100281,1352.305908,,,,,,,0.694753,-0.477983,1.858091,182.352280,-616.851135,1517.596924
3,0,-0.316580,-0.016524,-0.310724,-34.359859,-914.714294,1147.752075,0.242998,-0.145017,0.028627,-149.578506,-983.490723,1352.082397,,,,,,,0.655614,-0.466463,1.854755,182.800934,-603.931091,1519.418091
4,0,-0.127715,-0.050431,0.147141,-33.610538,-920.626587,1146.587769,0.247180,-0.145202,0.038087,-149.936752,-984.863403,1351.842773,-0.175162,0.121818,0.324056,64.704895,-944.974365,1374.560669,0.637258,-0.438800,1.857636,182.446289,-590.742859,1520.590698
5,0,-0.120569,-0.047265,0.147536,-33.676060,-921.132202,1146.535034,0.245957,-0.147109,0.046848,-150.235718,-986.252197,1351.559326,-0.175924,0.112244,0.335348,64.103981,-945.076538,1374.686646,0.594616,-0.403187,1.882553,182.662689,-577.784485,1521.891235
6,0,-0.106624,-0.046126,0.144643,-33.672070,-921.596313,1146.321533,0.251514,-0.148627,0.054299,-150.612823,-987.590637,1351.336426,-0.171723,0.110386,0.342974,63.347244,-945.117615,1374.888672,0.586552,-0.388471,1.852743,182.592133,-564.612549,1522.295044
7,0,-0.110753,-0.031074,0.135712,-34.013531,-921.798340,1146.824951,0.249885,-0.147958,0.059815,-151.000427,-988.854248,1351.155640,-0.172953,0.109694,0.346384,62.749863,-945.246399,1375.130981,0.556177,-0.353409,1.867613,182.510742,-551.456970,1522.275269
8,0,-0.108124,-0.031105,0.136733,-34.053059,-922.237427,1146.906006,0.252266,-0.148300,0.067682,-151.340164,-990.183167,1350.975220,-0.173347,0.103001,0.349432,62.114994,-945.438416,1375.291138,0.536256,-0.327965,1.856449,182.518448,-538.370667,1521.717651
9,0,-0.105522,-0.030620,0.139692,-34.076561,-922.692505,1147.010986,0.253473,-0.149752,0.075453,-151.670227,-991.359985,1350.824097,-0.175627,0.102033,0.352828,61.524761,-945.585510,1375.584961,0.510731,-0.292997,1.853792,182.591614,-525.393738,1520.573364
10,0,-0.102571,-0.031136,0.144338,-34.085697,-923.152405,1147.116943,0.265961,-0.137968,0.094704,-152.144745,-992.453918,1350.640259,-0.164685,0.090069,0.368141,60.980808,-946.033875,1375.788452,0.473469,-0.245683,1.859260,182.754745,-512.694580,1519.221436
11,0,-0.102566,-0.031243,0.147357,-34.094501,-923.529724,1147.255981,0.267097,-0.151108,0.108020,-152.654892,-993.621521,1350.693970,-0.160546,0.085752,0.372108,60.397949,-946.211304,1376.164917,0.446235,-0.215396,1.848525,182.848480,-500.121307,1517.033569
12,0,-0.100751,-0.031856,0.155714,-34.102905,-923.914917,1147.400879,0.274821,-0.143996,0.128902,-152.255692,-995.110413,1350.104370,-0.163515,0.086555,0.374094,59.823383,-946.439209,1376.504883,0.429496,-0.176562,1.836157,182.966965,-488.003479,1514.505981
13,0,-0.100647,-0.032407,0.158122,-34.088722,-924.218872,1147.560425,0.272148,-0.153484,0.137413,-152.857803,-996.109985,1350.206909,-0.167661,0.087668,0.373264,59.259930,-946.638306,1376.881592,0.391547,-0.144631,1.830876,183.226715,-476.379059,1511.403931
14,0,-0.101007,-0.032380,0.161140,-34.051178,-924.483032,1147.734619,0.280278,-0.137717,0.128355,-152.955597,-997.358154,1350.017212,-0.171757,0.089274,0.371489,58.658447,-946.843201,1377.221924,0.375332,-0.104993,1.821079,183.677429,-465.488312,1508.113647
15,0,-0.100960,-0.033061,0.165056,-33.985558,-924.678406,1147.928101,0.272204,-0.163633,0.152644,-153.018768,-998.344604,1349.550903,-0.179437,0.085387,0.377986,58.122231,-946.760132,1377.694824,0.349734,-0.072006,1.813085,184.269623,-455.399872,1504.346802
