Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.009524,0.011209,-0.010972,-35.048546,272.390167,1122.990234,1.360973,0.098048,2.886170,-147.675034,204.141068,1380.672119,0.037062,0.028326,0.002916,51.569649,211.809311,1392.119995,0.838158,0.308196,1.608022,154.050507,371.847961,1485.546021
2,0,-0.008640,0.011145,-0.013022,-35.069145,272.268066,1123.119751,1.362426,0.097014,2.890896,-147.959305,203.446640,1380.666992,0.030436,0.022544,0.005239,50.871521,211.375610,1392.495239,0.830303,0.315880,1.613615,152.666519,380.924255,1488.001343
3,0,-0.007188,0.011060,-0.014857,-35.104870,272.149445,1123.255981,1.364420,0.097107,2.894064,-148.259720,202.715271,1380.680054,0.087696,0.013197,0.043030,50.849777,210.996460,1391.866577,0.820878,0.322147,1.614546,151.305038,390.515045,1490.397949
4,0,-0.015986,0.011985,-0.011987,-35.144283,272.197968,1123.392700,0.044628,0.016834,0.014930,-139.057907,209.456100,1376.074585,0.044865,0.035812,0.010666,50.706909,209.985260,1391.941895,0.786571,0.319481,1.616868,149.487793,400.830231,1492.664185
5,0,-0.000471,0.007039,-0.014197,-35.247562,271.931152,1123.695557,0.046679,0.015538,0.016978,-139.360748,208.693069,1376.128296,0.014947,0.025808,-0.001183,49.867569,209.630646,1392.759521,0.789901,0.351893,1.621817,148.591125,411.345612,1495.067017
6,0,0.005994,0.006874,-0.017933,-35.302296,271.921631,1123.880859,0.047668,0.014614,0.017657,-139.710632,207.999680,1376.259766,0.040036,0.012375,0.024184,49.738262,209.474319,1393.023315,0.778858,0.378358,1.626984,147.289978,422.212433,1497.534180
7,0,0.017400,0.008444,-0.009542,-35.474987,271.822662,1124.183838,0.049251,0.012509,0.020686,-140.001022,207.263153,1376.342896,0.029897,0.035492,-0.000612,49.171547,208.954086,1393.046631,0.765665,0.387561,1.621499,145.875946,433.628387,1499.794800
8,0,0.009142,0.010355,-0.011847,-35.652122,271.621155,1124.408325,0.050873,0.012290,0.023273,-140.299011,206.453125,1376.433838,0.039686,0.045762,0.008462,49.172493,208.369095,1392.904175,0.752191,0.398945,1.615548,144.389435,445.398163,1501.994141
9,0,0.010583,0.011579,-0.012076,-35.764503,271.449036,1124.549805,0.051895,0.012378,0.024007,-140.553375,205.711563,1376.533569,0.015966,0.056821,-0.011935,48.811554,207.407333,1392.812012,0.733677,0.409981,1.609106,142.859985,457.433594,1504.199463
