Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,2.156326,-0.000376,1.927656,-41.707363,171.472641,962.482849,0.078066,-0.061980,0.025582,-148.216721,123.824142,1205.103516,-0.296188,0.186676,0.244982,62.324215,158.631744,1209.305054,0.004409,-0.566244,2.654269,120.836563,433.038330,1381.456177
2,0,2.155191,-0.004676,1.925089,-41.654190,171.378876,962.649963,0.079457,-0.061776,0.025366,-148.166489,123.301109,1205.213013,-0.295557,0.175393,0.256521,61.964935,158.181107,1209.215454,-0.000490,-0.520534,2.628376,123.253349,444.657501,1380.255005
3,0,2.158012,-0.016285,1.923016,-41.603844,171.400848,962.853821,0.096878,-0.037124,0.025579,-148.243927,122.786865,1205.609741,-0.306907,0.177244,0.251911,61.970783,157.871475,1209.187134,-0.029128,-0.522220,2.604179,125.990822,456.918701,1379.609375
4,0,2.161509,-0.025009,1.919067,-41.546848,171.361404,963.042908,0.094453,-0.050062,0.037762,-148.442566,122.360596,1205.995239,-0.310263,0.187403,0.244540,62.222328,157.670898,1209.476563,-0.047301,-0.472057,2.597879,129.112335,468.713959,1378.333252
5,0,2.162593,-0.032518,1.916465,-41.443447,171.280167,963.177795,0.092074,-0.051143,0.038054,-148.406494,121.883888,1206.148804,-0.309728,0.186146,0.244575,62.253262,157.384048,1209.700684,-0.048181,-0.391683,2.583272,132.055939,480.013397,1376.315796
6,0,2.164837,-0.045158,1.909593,-41.395435,171.278854,963.361084,0.090554,-0.051096,0.038670,-148.373474,121.367538,1206.316284,-0.306935,0.179387,0.255002,61.654335,156.709442,1209.981567,-0.062248,-0.357237,2.569157,135.393967,491.289398,1374.590454
7,0,2.169076,-0.054721,1.908014,-41.285614,171.157928,963.465515,0.091691,-0.052396,0.039398,-148.358276,120.827065,1206.491333,-0.290859,0.152632,0.256506,61.697350,156.458923,1210.140015,-0.073849,-0.334461,2.546103,138.957840,502.116791,1372.743896
8,0,2.174481,-0.058686,1.907782,-41.184361,171.035278,963.562927,0.097536,-0.052018,0.044045,-148.331161,120.332878,1206.631958,-0.294011,0.150447,0.255469,61.717350,156.153198,1210.264648,-0.083986,-0.317566,2.522252,142.711075,512.376831,1370.822266
9,0,2.178129,-0.058574,1.909135,-41.027004,170.789139,963.599304,0.099047,-0.051462,0.044635,-148.311356,119.866959,1206.763428,-0.296545,0.153744,0.259305,61.446831,155.771011,1210.278320,-0.100391,-0.298796,2.502391,146.482895,522.125305,1368.871216
