Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.174592,-0.042517,0.003636,-70.608452,-466.381531,1140.821045,0.169738,-0.095732,-0.167896,-191.341660,-507.130920,1343.378906,-0.144737,0.155897,0.152408,28.493439,-501.555573,1356.364380,0.689620,-0.167150,2.104206,180.319717,-240.173157,1461.872803
2,0,-0.172768,-0.049252,0.026558,-70.610893,-466.782318,1140.792114,0.168211,-0.095979,-0.162321,-191.595413,-507.775177,1343.250488,-0.147761,0.152719,0.155436,28.193581,-501.358215,1356.721069,0.672703,-0.162200,2.101219,179.920853,-229.205078,1463.625244
3,0,-0.172869,-0.048652,0.020582,-70.693604,-467.387543,1140.962036,0.168037,-0.096162,-0.155550,-191.861832,-508.484436,1343.123535,-0.150691,0.151097,0.156039,27.860657,-501.117279,1356.938843,0.657182,-0.157265,2.100298,179.603729,-218.055054,1465.307495
4,0,-0.145522,-0.041562,0.009100,-70.748802,-467.629669,1140.997314,0.168008,-0.094746,-0.147423,-192.141052,-509.241058,1343.036865,-0.150241,0.155463,0.158478,27.401541,-500.922668,1356.958496,0.640881,-0.154408,2.095851,179.220642,-206.599716,1466.871704
5,0,-0.158420,-0.038204,0.013708,-70.860260,-468.209961,1141.230103,0.171464,-0.111211,-0.133156,-192.767731,-510.082184,1343.297974,-0.153308,0.151563,0.162565,26.923307,-500.717651,1357.131226,0.625727,-0.141544,2.098130,178.563110,-195.053452,1468.483887
6,0,-0.157150,-0.035760,0.011527,-70.879616,-468.857819,1141.256104,0.182103,-0.126227,-0.101570,-192.820633,-511.065674,1342.935669,-0.153398,0.146730,0.169015,26.426752,-500.554810,1357.298584,0.610938,-0.133912,2.097669,178.062988,-183.161865,1469.888672
7,0,-0.153470,-0.035782,0.016566,-70.933578,-469.501404,1141.271606,0.184210,-0.125238,-0.092676,-193.225250,-511.960815,1342.914063,-0.153880,0.145639,0.177857,25.963320,-500.400116,1357.362305,0.596825,-0.121778,2.097265,177.556442,-171.061752,1471.203125
8,0,-0.151150,-0.034449,0.019759,-71.003769,-470.015472,1141.345337,0.183084,-0.126390,-0.082187,-193.621338,-512.979980,1342.908081,-0.168251,0.159860,0.165396,25.557234,-499.830780,1357.550293,0.580703,-0.110524,2.096704,177.035965,-158.887802,1472.504639
9,0,-0.152354,-0.034024,0.023481,-71.113968,-470.482941,1141.398315,0.183275,-0.127302,-0.074316,-194.079956,-513.956116,1342.912231,-0.179333,0.172700,0.160442,25.078775,-499.544220,1358.048340,0.562841,-0.096175,2.099570,176.510696,-146.761780,1473.786621
10,0,-0.113825,-0.023687,-0.000580,-71.105400,-471.625061,1141.442871,0.185786,-0.127713,-0.062498,-194.476410,-515.056641,1342.932007,-0.192985,0.175726,0.157033,24.414734,-499.282379,1358.222412,0.557086,-0.075885,2.087862,175.837112,-134.692719,1475.142944
11,0,-0.128227,-0.024960,0.015645,-71.211060,-471.844513,1141.367676,0.189197,-0.126812,-0.053047,-194.882568,-516.150391,1342.976440,-0.188349,0.175203,0.154902,23.764103,-498.941345,1358.209229,0.529219,-0.077459,2.081279,175.238464,-122.615654,1476.301514
