Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.007992,-0.005904,-0.032220,-39.778065,271.853424,1121.685181,-0.003533,0.019805,0.003522,-149.825363,219.030533,1368.892334,-0.025675,-0.010321,0.009330,38.847408,218.548431,1384.309082,0.900928,0.590315,1.438299,187.419250,396.156189,1464.175293
2,0,0.006668,-0.011577,-0.046075,-39.685219,271.532288,1121.921753,-0.003241,0.018557,0.001959,-150.043289,218.687088,1368.954590,-0.003936,-0.021712,0.020855,38.637375,218.145721,1384.562622,0.876239,0.598668,1.444791,186.123077,405.840179,1466.305664
3,0,0.012261,-0.009795,-0.056853,-39.536484,271.575409,1122.089600,-0.019912,0.005874,-0.005407,-149.938751,217.926071,1368.894409,-0.026966,-0.006780,0.001816,38.409607,217.687317,1384.869629,0.830657,0.612861,1.462669,184.994720,416.103973,1468.424683
4,0,0.010774,-0.009020,-0.051778,-39.439693,271.239838,1122.210938,-0.033565,-0.027327,-0.019574,-149.147171,216.830841,1367.595703,-0.028769,-0.008016,-0.000546,38.082401,217.246780,1385.225220,0.835793,0.622679,1.459405,184.046127,426.796234,1470.791504
5,0,0.045516,-0.013391,-0.046552,-39.186131,271.444977,1122.314331,-0.035614,-0.020698,-0.009357,-149.469742,216.261765,1367.857544,-0.033231,-0.000793,-0.008524,37.874798,216.582657,1385.579712,0.828191,0.636636,1.462172,182.911942,438.107086,1472.935059
6,0,0.015630,-0.007742,-0.057475,-39.216087,271.017334,1122.574707,-0.033651,-0.021838,-0.010224,-149.672653,215.828369,1367.932129,-0.031736,-0.001499,-0.009325,37.670788,215.990143,1385.829590,0.818587,0.641453,1.451923,181.972824,449.842438,1474.993896
7,0,0.015438,-0.008493,-0.060979,-39.022087,270.858124,1122.696167,-0.034793,-0.029954,-0.011742,-149.687561,215.241974,1367.816650,-0.026020,0.031488,-0.021445,38.042027,215.012955,1385.544556,0.805990,0.648820,1.447718,181.064026,461.756195,1477.217773
8,0,0.014726,-0.010156,-0.063397,-38.807434,270.702271,1122.844971,-0.023041,-0.036897,0.013074,-149.773849,214.730698,1367.859497,0.007246,0.008478,0.006753,37.653049,214.770508,1385.629272,0.796866,0.661123,1.443305,180.155838,474.012451,1479.438232
9,0,0.015098,-0.011089,-0.065842,-38.550476,270.570465,1123.036865,-0.028157,-0.023620,-0.013115,-150.168106,214.586426,1368.372070,-0.024691,0.020562,-0.022116,37.578056,213.632553,1385.551758,0.783505,0.675284,1.432751,179.317963,486.583344,1481.784058
10,0,0.015951,-0.011772,-0.067885,-38.279545,270.411774,1123.213867,-0.025454,0.018566,-0.049412,-151.178986,214.901703,1369.583130,-0.015029,0.024433,-0.017203,37.538403,213.503281,1386.126099,0.763172,0.675072,1.427944,178.139709,499.381409,1483.918945
11,0,0.018325,-0.011982,-0.071411,-37.968506,270.233887,1123.400879,-0.023856,0.006009,-0.041374,-150.910385,214.292450,1369.546021,-0.035558,0.045234,-0.046431,37.592884,212.243408,1386.057739,0.736666,0.698949,1.420820,177.340851,512.551880,1485.664307
12,0,0.021566,-0.011465,-0.075542,-37.643471,270.013763,1123.575195,-0.002626,0.022241,-0.040738,-151.341034,214.375488,1369.935913,-0.022191,0.019695,-0.025816,37.487244,211.882751,1386.357666,0.733764,0.706560,1.406927,176.772186,525.642578,1487.550781
13,0,0.026160,-0.010864,-0.079225,-37.297531,269.756683,1123.720703,0.000510,0.022206,-0.038203,-151.373398,213.985886,1370.093262,-0.036676,0.050960,-0.056680,37.663013,210.811066,1386.354614,0.723103,0.718915,1.394778,176.135315,538.791870,1489.336792
14,0,0.028121,-0.011045,-0.083232,-36.970119,269.557739,1123.876587,0.003462,0.022598,-0.037579,-151.380249,213.597214,1370.265137,-0.035034,0.044248,-0.057100,37.580467,210.298294,1386.653809,0.701472,0.731726,1.376121,175.437225,551.732910,1491.131348
15,0,0.025814,-0.012039,-0.087245,-36.662483,269.420197,1124.063599,0.022165,0.009811,-0.006078,-151.629868,213.284012,1370.826538,0.072528,-0.013800,0.021677,37.230659,209.149429,1386.533081,0.683307,0.745838,1.359399,174.717255,564.452148,1492.611816
16,0,0.025697,-0.011285,-0.092551,-36.335217,269.300507,1124.273438,0.022367,0.011752,-0.005722,-151.517471,212.947418,1370.919922,0.045540,-0.006869,-0.000732,37.070385,208.564850,1387.234985,0.662273,0.757801,1.342606,174.020462,576.986938,1493.826294
17,0,0.026505,-0.011572,-0.096087,-35.914524,269.153900,1124.498047,0.024998,0.010652,-0.004245,-151.475601,212.581848,1371.117432,0.097607,-0.031444,0.040705,37.085896,207.459915,1386.597046,0.649913,0.782828,1.318200,173.117233,589.243408,1494.738281
18,0,0.032310,-0.011786,-0.099902,-35.390289,269.025116,1124.692261,0.026150,0.009684,-0.006015,-151.409744,212.232590,1371.329102,0.075968,-0.010303,0.010278,37.333858,207.138733,1387.400269,0.624957,0.793607,1.300761,172.827911,601.223083,1495.197998
19,0,0.039149,-0.012005,-0.102773,-34.882824,268.827454,1124.791016,0.026568,0.008529,-0.006395,-151.347382,211.865311,1371.558838,0.029233,0.002574,-0.020988,37.065678,206.426682,1388.153442,0.590645,0.821566,1.290517,172.290054,612.985291,1495.012329
20,0,0.042289,-0.011317,-0.106474,-34.372002,268.656281,1124.921021,0.028369,0.007847,-0.005051,-151.270020,211.525040,1371.797119,0.066477,-0.000692,-0.000728,37.390606,205.689926,1387.994507,0.586689,0.838966,1.273862,172.061539,623.765808,1494.815063
21,0,0.047306,-0.011197,-0.109195,-33.933376,268.557739,1125.105469,0.017741,-0.003054,-0.008855,-150.906097,210.854050,1371.972412,0.070306,-0.004221,-0.001112,37.353428,205.255310,1388.352295,0.587888,0.846158,1.244187,172.442032,634.052124,1494.143677
22,0,0.049080,-0.011287,-0.111933,-33.540665,268.474396,1125.285034,0.033338,0.007431,-0.001874,-151.196396,210.759933,1372.278320,0.046884,-0.002629,-0.016362,37.088463,204.898376,1389.037964,0.552548,0.862774,1.245750,172.170959,643.420593,1493.406738
23,0,0.047673,-0.011365,-0.116241,-33.133636,268.454071,1125.480835,0.033161,0.006059,-0.001550,-151.200760,210.396698,1372.508667,0.025460,-0.000859,-0.027901,36.886692,204.532974,1389.602295,0.537393,0.866924,1.229404,172.346832,651.954895,1492.585449
24,0,0.044222,-0.011446,-0.120186,-32.716461,268.419861,1125.607788,0.034823,0.005601,0.000656,-151.253708,210.041183,1372.720337,0.033530,-0.004243,-0.020349,36.774445,204.208862,1389.859131,0.518187,0.886318,1.215060,172.721146,659.451599,1491.594604
