x,y,z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
185.353058,878.19928,1512.732666,9.304183,446.999573,1132.700562,96.450249,367.365143,1394.300537,-86.786568,359.12149,1384.270386
186.716507,878.040466,1514.75708,9.254495,446.996063,1132.667969,96.309883,367.529083,1394.464111,-87.189087,358.990295,1384.40564
187.953705,878.007141,1516.773682,9.166356,447.010681,1132.633545,96.016106,367.288422,1394.237549,-87.348137,359.116638,1384.393433
189.480118,877.897034,1519.076294,9.077553,447.017456,1132.580811,95.832664,367.517548,1394.413574,-87.4981,359.201416,1384.384277
190.788651,877.925049,1521.37146,8.95209,447.038696,1132.545288,95.847214,367.908752,1394.494751,-87.665573,359.322937,1384.382813
192.515686,878.181274,1523.736328,8.806196,447.069275,1132.505493,95.655403,368.059967,1394.555054,-87.824547,359.442627,1384.38855
194.064774,878.151672,1525.779175,8.659086,447.117889,1132.47998,95.284668,367.957611,1394.522339,-87.953903,359.563446,1384.393921
195.938248,878.539368,1527.719482,8.470301,447.164612,1132.439453,95.067429,368.12738,1394.674683,-88.07547,359.747284,1384.426758
197.877975,878.799988,1529.383545,8.295771,447.229095,1132.399536,94.837151,368.292236,1394.789185,-87.969078,360.042053,1383.87915
199.76152,879.061584,1530.73877,8.128286,447.300171,1132.367554,94.601181,368.464142,1394.912598,-88.177177,360.085266,1383.960571
201.595154,879.437317,1532.189819,7.956146,447.368591,1132.344482,94.367073,368.613007,1395.022095,-88.331383,360.274384,1384.022095
203.736893,879.953186,1533.790405,7.778569,447.455139,1132.328613,94.24659,368.811646,1394.951294,-88.504082,360.385925,1384.05481
205.993713,880.241699,1535.288086,7.602463,447.510162,1132.314087,93.829811,368.950836,1395.289673,-88.682648,360.453461,1384.059814
208.108459,880.575073,1536.410278,7.629144,447.592255,1132.087524,93.779526,369.352753,1395.471191,-88.852005,360.167786,1383.754395
210.319977,881.009033,1537.539551,7.406323,447.674866,1132.100464,93.558563,369.531891,1395.580322,-87.254272,364.963654,1384.318726
212.288025,881.53302,1538.371338,7.212473,447.757416,1132.122559,93.10511,369.320007,1395.500366,-87.219719,364.892578,1383.980347
214.411224,882.011475,1538.925659,7.021552,447.868042,1132.158691,92.838455,369.544037,1395.730713,-88.040718,363.836029,1383.900391
216.381073,882.349548,1539.354858,6.841776,448.004395,1132.212769,92.713348,369.984924,1395.970581,-88.083374,363.679138,1383.532349
218.703415,882.860535,1539.740234,6.676478,448.147186,1132.245361,92.459183,369.918945,1395.916992,-84.471008,368.484741,1385.339111
220.793854,883.229919,1539.863281,6.536407,448.344696,1132.298706,92.316681,370.021698,1395.980103,-84.864052,367.956451,1385.002441
222.869202,883.651489,1539.917358,6.423361,448.558777,1132.329346,92.335541,370.166351,1396.041382,-84.987129,367.942352,1385.02832
225.110489,883.953796,1539.60437,6.3384,448.793427,1132.373779,91.880417,370.4487,1396.484863,-85.247513,367.732239,1384.991821
